tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,0.078291,1,0,1
0.45,0.078291,0,0,1
0.6,0.078291,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,0.257745,1,0,1
1.5,0.257745,0,0,1
1.65,0.078291,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,0.003503,0,0,0
2.25,0.009342,2,0,0
2.4,0.095807,1,0,1
2.55,0.102813,0,0,1
2.7,0.10982,0,0,1
2.85,0.0362,0,0,0
3.0,0.038536,0,0,0
3.15,0.040871,0,0,0
3.3,0.040871,2,0,0
3.45,0.852945,1,1,1
3.6,0.119162,0,0,1
3.75,0.290442,0,1,1
3.9,0.113323,0,0,1
4.05,0.037368,0,0,0
4.2,0.038536,2,0,0
4.35,0.12033,1,0,1
4.5,0.307958,0,0,1
4.65,0.316132,0,0,1
4.8,0.058388,0,1,0
4.95,0.14602,0,0,1
5.1,0.077072,0,0,0
5.25,0.236798,2,0,1
5.4,0.349997,1,0,1
5.55,0.170543,0,0,1
5.7,0.161201,0,1,1
5.85,0.160033,0,1,1
6.0,0.154194,0,1,1
6.15,0.625587,2,1,0
6.3,0.232485,1,0,2
6.45,0.161201,1,0,1
6.6,0.089917,1,0,0
6.75,0.101594,1,0,0
6.9,0.108601,1,0,0
7.05,0.125944,1,0,0
7.2,0.129332,4,1,0
7.35,0.222688,4,0,1
7.5,0.161799,4,0,0
7.65,0.1792,4,0,0
7.8,0.195548,4,0,0
7.95,0.362946,4,0,1
8.1,0.23887,4,0,0
8.25,0.258722,7,0,0
8.4,0.246395,7,2,0
8.55,0.484412,7,0,2
8.7,0.259241,7,0,0
8.85,0.263912,7,0,0
9.0,0.258073,7,1,0
9.15,0.954089,10,2,0
9.3,0.391299,10,1,2
9.45,0.311841,10,1,1
9.6,0.309505,10,0,1
9.75,0.22284,10,1,0
9.9,0.300997,10,0,1
10.05,0.199218,10,2,0
10.2,1.676592,12,0,0
10.35,0.211623,12,0,0
10.5,0.200998,12,1,0
10.65,0.861213,12,0,0
10.8,0.19623,12,0,0
10.95,0.75057,12,2,1
11.1,1.066938,12,1,1
11.25,0.329903,12,1,1
11.4,0.268822,12,0,1
11.55,0.20443,12,0,0
11.7,0.215992,12,1,0
11.85,0.297786,12,1,1
