order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-31,0,1,56,picker-1,55
-38,0,1,76,picker-3,75
-43,0,1,76,picker-3,75
-8,0,1,100,picker-2,99
-95,0,1,112,picker-1,111
-89,0,1,150,picker-1,149
-87,0,1,264,picker-2,263
-58,0,1,298,picker-2,297
-54,0,57,300,picker-1,243
-80,0,1,313,picker-1,312
-47,0,1,320,picker-2,319
-4,0,113,378,picker-1,265
7,120,151,390,picker-1,239
-72,0,101,391,picker-2,290
-75,0,1,393,picker-1,392
-86,0,1,399,picker-1,398
-48,0,2,402,picker-3,400
-91,0,1,409,picker-2,408
-97,0,1,416,picker-2,415
-30,0,1,421,picker-2,420
-94,0,1,435,picker-1,434
-44,0,265,448,picker-2,183
-90,0,1,466,picker-2,465
-52,0,314,475,picker-1,161
-9,0,299,476,picker-2,177
-22,0,321,502,picker-2,181
-79,0,301,503,picker-1,202
-71,0,1,506,picker-1,505
-88,0,391,517,picker-1,126
12,300,379,553,picker-1,174
-73,0,2,565,picker-3,563
-33,0,77,591,picker-3,514
-12,0,77,591,picker-3,514
-93,0,394,594,picker-1,200
-96,0,403,605,picker-3,202
-67,0,410,633,picker-2,223
8,240,422,657,picker-2,235
-36,0,476,658,picker-1,182
-19,0,2,664,picker-3,662
-70,0,417,669,picker-2,252
-57,0,400,670,picker-1,270
-78,0,392,696,picker-2,304
2,60,467,709,picker-2,242
-21,0,2,734,picker-3,732
-100,0,477,747,picker-2,270
3,60,566,751,picker-3,185
-34,0,449,753,picker-2,304
-49,0,2,757,picker-3,755
-1,0,592,773,picker-3,181
-61,0,507,785,picker-1,278
0,60,634,804,picker-2,170
-7,0,436,804,picker-1,368
-69,0,504,820,picker-1,316
-98,0,592,838,picker-3,246
27,600,606,838,picker-3,232
-53,0,2,846,picker-3,844
23,480,503,852,picker-2,349
-59,0,659,856,picker-1,197
25,540,665,869,picker-3,204
-64,0,735,895,picker-3,160
17,360,595,915,picker-1,320
-76,0,658,916,picker-2,258
5,120,670,916,picker-2,246
28,720,786,1000,picker-1,214
29,780,839,1029,picker-3,190
30,780,839,1094,picker-3,255
-27,0,671,1104,picker-1,433
33,900,916,1104,picker-1,188
-17,0,870,1120,picker-3,250
-46,0,774,1155,picker-3,381
6,120,821,1192,picker-1,371
36,960,1001,1227,picker-1,226
-63,0,805,1233,picker-1,428
-56,0,518,1244,picker-1,726
-3,0,857,1259,picker-1,402
31,840,853,1268,picker-2,415
-16,0,758,1275,picker-3,517
26,540,1105,1282,picker-1,177
14,300,554,1289,picker-1,735
