tick,energy,job_queue_len,stop_and_go,turning
0.15,760.0586,2,0,0
0.3,0.0,1,0,0
0.45,26.096857,0,0,1
0.6,26.096857,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,1,0,0
1.35,1.16775,0,0,0
1.5,3.114,0,0,0
1.65,4.671,0,0,0
1.8,6.228,0,0,0
1.95,93.699862,0,0,1
2.1,8.5635,0,0,0
2.25,8.95275,2,0,0
2.4,36.217357,1,0,1
2.55,37.774357,0,0,1
2.7,35.828107,0,1,1
2.85,33.881857,0,1,1
3.0,35.438857,0,0,1
3.15,10.1205,0,0,0
3.3,9.342,2,0,0
3.45,35.438857,1,0,1
3.6,35.438857,0,0,1
3.75,90.975112,0,1,1
3.9,30.378607,0,0,1
4.05,3.50325,0,0,0
4.2,4.671,2,0,0
4.35,7.785,1,0,0
4.5,8.95275,0,1,0
4.65,66.206713,0,0,2
4.8,19.85175,0,0,0
4.95,25.30125,0,0,0
5.1,29.19375,0,0,0
5.25,37.614609,2,0,0
5.4,131.608627,1,0,1
5.55,80.259028,0,0,1
5.7,141.92819,0,2,1
5.85,113.172197,0,1,2
6.0,90.967841,0,0,1
6.15,64.187578,2,0,0
6.3,91.841435,1,0,1
6.45,94.176935,0,0,1
6.6,77.088607,0,1,1
6.75,77.867107,0,0,1
6.9,51.77025,0,0,0
7.05,48.65625,0,1,0
7.2,939.68831,3,0,0
7.35,52.1595,3,0,0
7.5,51.77025,3,1,0
7.65,79.813357,3,1,1
7.8,84.095107,3,0,1
7.95,61.11225,3,0,0
8.1,65.394,3,0,0
8.25,67.7295,6,1,0
8.4,99.665107,6,0,1
8.55,81.989109,6,1,0
8.7,90.068266,6,0,0
8.85,95.422672,6,0,0
9.0,186.30269,6,0,1
9.15,104.185234,9,0,0
9.3,107.20414,9,0,0
9.45,107.109047,9,1,0
9.6,132.038153,9,0,1
9.75,105.941297,9,0,0
9.9,101.659547,9,1,0
10.05,734.57218,9,2,0
10.2,134.580947,12,1,2
10.35,97.680185,12,2,1
10.5,119.884541,12,2,2
10.65,120.663041,12,0,2
10.8,48.65625,12,2,0
10.95,542.238207,12,0,1
11.1,47.4885,12,0,0
11.25,47.4885,13,0,0
11.4,47.87775,13,0,0
11.55,44.3745,13,1,0
11.7,531.75594,13,0,0
11.85,68.525107,13,1,1
12.0,71.639107,13,0,1
12.15,48.267,13,0,0
12.3,55.906549,13,1,0
12.45,89.821188,13,1,1
12.6,94.524971,13,1,1
12.75,169.024618,13,0,1
12.9,93.557195,13,0,0
13.05,99.690101,13,0,0
13.2,99.951475,13,0,0
13.35,96.742381,13,2,0
13.5,940.36968,13,0,2
13.65,86.426139,13,2,0
13.8,139.138403,13,2,2
13.95,652.946098,13,0,1
14.1,102.384042,13,0,0
14.25,106.890187,13,0,0
14.4,108.057937,13,0,0
14.55,106.276542,13,0,0
14.7,104.330292,13,1,0
14.85,129.648649,13,0,1
15.0,85.804265,13,2,0
15.15,138.776479,13,0,2
15.3,112.080146,13,1,1
15.45,114.794495,13,0,1
15.6,99.051537,13,0,0
15.75,184.98878,13,3,1
15.9,828.447134,13,0,2
16.05,117.488955,13,0,0
16.2,120.949052,13,0,0
16.35,129.458999,13,0,0
16.5,137.190446,13,0,0
16.65,120.997039,13,3,0
16.8,1044.173972,13,0,2
16.95,126.090967,13,0,0
17.1,128.245855,13,1,0
17.25,159.995174,13,0,1
17.4,126.510166,13,1,0
17.55,160.627768,13,0,1
17.7,167.645618,13,0,1
17.85,119.18422,13,2,0
18.0,967.352526,13,0,1
18.15,121.50837,13,0,0
18.3,108.821093,13,1,0
18.45,118.907622,13,1,1
18.6,130.499246,13,0,1
18.75,109.405388,13,1,0
18.9,144.008494,13,0,1
19.05,131.142116,13,0,0
19.2,139.424352,13,0,0
19.35,145.49346,13,0,0
19.5,149.219143,13,0,0
19.65,157.400065,13,0,0
19.8,193.702656,13,0,1
19.95,138.767909,13,3,0
20.1,936.05829,13,0,2
20.25,147.877916,13,2,0
20.4,1113.369363,13,2,0
20.55,201.132729,13,2,2
20.7,810.793344,13,1,1
20.85,742.60132,13,1,0
21.0,189.443712,13,0,1
21.15,176.460633,13,0,0
21.3,186.157497,13,0,0
21.45,190.274392,13,0,0
21.6,196.920898,13,0,0
21.75,194.790213,13,0,0
21.9,223.719409,13,0,1
22.05,202.073299,13,0,0
22.2,235.259316,13,0,1
22.35,213.796656,13,1,0
22.5,265.222146,13,0,2
22.65,225.22275,13,1,1
22.8,223.247739,13,1,1
22.95,207.140364,13,3,1
23.1,273.382833,13,0,3
23.25,209.91952,13,0,0
23.4,217.797527,13,0,0
23.55,224.897035,13,0,0
23.7,237.555558,13,0,0
23.85,244.692589,13,0,0
24.0,254.988781,13,0,0
24.15,262.481773,13,1,0
24.3,264.248706,13,1,1
24.45,246.919286,13,0,0
24.6,256.278607,13,0,0
24.75,262.905094,13,0,0
24.9,281.934546,13,0,0
25.05,281.940832,13,1,0
25.2,311.298981,13,0,1
25.35,270.445797,13,1,0
25.5,306.679206,13,0,1
25.65,276.794861,13,1,0
25.8,287.643289,13,2,1
25.95,312.453515,13,1,2
26.1,295.163229,13,0,1
26.25,270.530747,13,0,0
26.4,250.907043,13,1,0
26.55,272.805682,13,0,1
26.7,243.289109,13,0,0
26.85,230.371972,13,1,0
27.0,257.05393,13,0,1
27.15,214.744297,13,2,0
27.3,1098.095893,13,0,1
27.45,225.854294,13,1,0
27.6,259.231083,13,1,1
27.75,1083.237794,13,0,0
27.9,267.855077,13,1,0
28.05,308.313017,13,1,1
28.2,325.596488,13,0,1
28.35,330.36106,13,0,0
28.5,354.824831,13,0,0
28.65,370.857175,13,0,0
28.8,388.077968,13,0,0
28.95,409.119523,13,0,0
29.1,454.19969,13,0,1
29.25,434.397706,13,0,0
29.4,438.55007,13,0,0
29.55,472.361067,13,0,1
29.7,450.601218,13,0,0
29.85,454.011889,13,0,0
30.0,454.811751,13,0,0
30.15,460.637742,13,0,0
30.3,462.870339,13,0,0
30.45,441.843389,13,1,0
30.6,461.307652,13,0,1
30.75,411.740538,13,2,0
30.9,452.829684,13,1,2
31.05,429.992688,13,0,1
31.2,397.637991,13,0,0
31.35,387.588338,13,1,0
31.5,396.962662,13,0,0
31.65,384.220252,13,1,0
31.8,404.495653,13,1,1
31.95,367.712833,13,1,0
32.1,391.121918,13,0,1
32.25,343.147211,13,1,0
32.4,374.01786,13,0,1
32.55,345.975018,13,0,0
32.7,336.597449,13,1,0
32.85,350.343804,13,1,1
33.0,329.800174,13,0,0
33.15,338.083274,13,0,0
33.3,345.864849,13,0,0
33.45,345.428593,13,0,0
33.6,355.159789,13,0,0
33.75,344.865088,13,2,0
33.9,409.156504,13,0,2
34.05,334.18947,13,2,0
34.2,403.041495,13,0,2
34.35,354.997234,13,1,0
34.5,385.408397,13,0,1
34.65,369.107149,13,0,0
34.8,373.736718,13,0,0
34.95,381.566948,13,0,0
35.1,381.66943,13,0,0
35.25,360.384905,13,2,0
35.4,390.816964,13,0,1
35.55,348.031582,13,1,0
35.7,373.078487,13,1,1
35.85,380.175083,13,0,1
36.0,375.624693,13,0,0
36.15,387.102469,13,0,0
36.3,397.245413,13,1,0
36.45,435.820714,13,0,1
36.6,422.355821,13,0,0
36.75,430.870891,13,0,0
36.9,424.410291,13,1,0
37.05,456.667776,13,0,1
37.2,401.356352,13,1,0
37.35,402.050626,13,0,0
37.5,388.811728,13,1,0
37.65,418.898397,13,0,1
37.8,372.214279,13,1,0
37.95,378.205631,13,1,0
38.1,387.700232,13,0,0
38.25,382.052756,13,1,0
38.4,399.170001,13,0,0
38.55,406.858265,13,1,0
38.7,445.900736,13,0,1
38.85,437.432646,13,0,0
39.0,444.725579,13,0,0
39.15,454.385036,13,0,0
39.3,463.655243,13,0,0
39.45,471.254679,13,0,0
39.6,473.475031,13,0,0
39.75,446.455445,13,2,0
39.9,485.690844,13,0,1
40.05,468.688767,13,0,0
40.2,464.614759,13,0,0
40.35,461.128115,13,0,0
40.5,466.106474,13,0,0
40.65,454.30849,13,1,0
40.8,475.583084,13,0,1
40.95,443.836077,13,0,0
41.1,447.868068,13,0,0
41.25,455.943823,13,0,0
41.4,444.136064,13,1,0
41.55,435.24337,13,1,1
41.7,418.389006,13,0,0
41.85,423.046413,13,1,0
42.0,1235.222848,13,0,0
42.15,420.003444,13,0,0
42.3,404.97563,13,1,0
42.45,434.410881,13,0,1
42.6,409.067056,13,0,0
42.75,368.327777,13,1,0
42.9,334.060808,13,1,0
43.05,335.65059,13,1,0
43.2,838.452962,13,1,0
43.35,316.978423,13,0,0
43.5,318.640435,13,0,0
43.65,323.733468,13,0,0
43.8,359.803595,13,0,1
43.95,333.98453,13,0,0
44.1,334.585501,13,0,0
44.25,345.946253,13,0,0
44.4,353.281124,13,0,0
44.55,359.855642,13,0,0
44.7,350.257337,13,1,0
44.85,362.432828,13,0,0
45.0,397.495396,13,0,1
45.15,365.312157,13,1,0
45.3,376.465508,13,0,0
45.45,386.84036,13,0,0
45.6,403.554077,13,0,0
45.75,414.181186,13,0,0
45.9,421.832596,13,0,0
46.05,418.908783,13,1,0
46.2,449.339277,13,0,1
46.35,427.609361,13,0,0
46.5,378.990744,13,2,0
46.65,404.635082,13,0,1
46.8,378.224494,13,0,0
46.95,346.873439,13,2,0
47.1,374.443988,13,0,1
47.25,338.71324,13,0,0
47.4,306.790245,13,1,0
47.55,306.956696,13,0,0
47.7,314.47896,13,0,0
47.85,301.852118,13,1,0
48.0,329.620928,13,0,1
48.15,294.584583,13,1,0
48.3,316.847199,13,1,1
48.45,277.817869,13,1,0
48.6,312.168009,13,0,1
48.75,290.280673,13,0,0
48.9,291.956449,13,0,0
49.05,291.626995,13,0,0
49.2,261.787308,13,1,0
49.35,270.007287,13,0,0
49.5,285.729449,13,0,0
49.65,265.182413,13,2,0
49.8,300.586883,13,0,1
49.95,282.974774,13,0,0
50.1,262.956561,13,2,0
50.25,298.39678,13,0,1
50.4,278.438738,13,0,0
50.55,287.919724,13,0,0
50.7,297.400709,13,0,0
50.85,286.011994,13,1,0
51.0,317.41833,13,1,1
51.15,953.895641,13,0,0
51.3,311.036098,13,0,0
51.45,318.943969,13,0,0
51.6,326.008876,13,1,0
51.75,359.125381,13,0,1
51.9,303.233687,13,1,0
52.05,298.153169,13,1,0
52.2,338.762013,13,0,1
52.35,318.378334,13,0,0
52.5,288.959239,13,3,0
52.65,317.249107,13,0,1
52.8,293.342327,13,0,0
52.95,321.352292,13,0,1
53.1,291.955106,13,1,0
53.25,300.339784,13,0,0
53.4,288.793925,13,1,0
53.55,329.012051,13,0,1
53.7,298.52765,13,2,0
53.85,313.692837,13,1,1
54.0,295.196102,13,0,0
54.15,304.831714,13,0,0
54.3,309.829614,13,0,0
54.45,314.011093,13,0,0
54.6,287.472223,13,1,0
54.75,289.010702,13,0,0
54.9,284.964005,13,1,0
55.05,314.732898,13,0,1
55.2,281.287305,13,1,0
55.35,310.456951,13,0,1
55.5,286.46962,13,0,0
55.65,278.906068,13,1,0
55.8,266.962504,13,2,0
55.95,1026.833892,13,0,1
56.1,266.627858,13,1,0
56.25,303.523537,13,0,1
56.4,1018.647799,13,2,0
56.55,278.515152,13,0,0
56.7,296.542401,13,0,0
56.85,308.584356,13,0,0
57.0,319.257412,13,0,0
57.15,323.478159,13,0,0
57.3,329.855787,14,0,0
57.45,318.10858,14,1,0
57.6,343.674414,14,0,1
57.75,353.60044,14,0,1
57.9,306.732056,14,2,0
58.05,352.311497,14,0,1
58.2,341.152966,14,0,0
58.35,328.552788,14,1,0
58.5,351.103822,14,1,1
58.65,347.38935,14,1,1
58.8,312.725718,14,1,1
58.95,286.295547,14,0,0
59.1,285.962232,14,0,0
59.25,279.485439,14,0,0
59.4,281.861188,14,0,0
59.55,284.676765,14,0,0
59.7,272.401747,14,1,0
59.85,285.214234,14,0,0
60.0,279.869586,14,1,0
60.15,290.374544,14,0,0
60.3,301.693491,14,0,0
60.45,308.885605,14,1,0
60.6,332.076123,14,0,0
60.75,355.142494,14,0,0
60.9,339.782028,14,2,0
61.05,380.384745,14,0,1
61.2,363.164376,14,0,0
61.35,370.468178,14,0,0
61.5,365.688071,14,1,0
61.65,397.486334,14,0,1
61.8,385.74705,14,0,0
61.95,378.318058,14,1,0
62.1,378.498312,14,0,0
62.25,371.816135,14,0,0
62.4,323.158799,14,2,0
62.55,341.676553,14,0,1
62.7,308.89752,14,0,0
62.85,273.774854,14,1,0
63.0,246.05262,14,1,0
63.15,246.413401,14,0,0
63.3,250.571587,15,0,0
63.45,235.047565,15,2,0
63.6,299.468197,15,0,2
63.75,248.962957,15,1,0
63.9,256.720569,15,0,0
64.05,272.668901,15,0,0
64.2,298.687157,15,0,0
64.35,305.178785,15,1,0
64.5,350.143196,15,0,1
64.65,345.697569,15,1,0
64.8,353.623726,15,1,0
64.95,371.934949,15,0,0
65.1,392.268498,15,0,0
65.25,403.309379,15,0,0
65.4,389.04933,15,1,0
65.55,403.209941,15,0,0
65.7,386.642621,15,1,0
65.85,359.240787,15,1,0
66.0,354.60074,15,0,0
66.15,345.418737,15,1,0
66.3,379.972167,15,0,1
66.45,337.444741,15,1,0
66.6,375.712036,15,0,1
66.75,367.207201,15,0,0
66.9,356.892924,15,1,0
67.05,383.546089,15,0,1
67.2,360.863453,15,0,0
67.35,363.015266,15,0,0
67.5,365.485384,15,0,0
67.65,372.103584,15,0,0
67.8,346.78871,15,1,0
67.95,324.154516,15,1,0
