order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-95,0,1,64,picker-1,63
-50,0,1,64,picker-1,63
-98,0,1,76,picker-1,75
-38,0,1,81,picker-3,80
-43,0,1,81,picker-3,80
-92,0,1,90,picker-1,89
-82,0,1,103,picker-1,102
-88,0,1,112,picker-1,111
-78,0,1,121,picker-1,120
-89,0,1,135,picker-1,134
-9,0,65,233,picker-1,168
-33,0,1,264,picker-2,263
-22,0,77,267,picker-1,190
-44,0,65,280,picker-1,215
-4,0,91,293,picker-1,202
-48,0,1,329,picker-3,328
-79,0,104,358,picker-1,254
-96,0,136,369,picker-1,233
7,120,122,386,picker-1,264
-57,0,113,406,picker-1,293
-73,0,1,428,picker-3,427
-93,0,1,439,picker-2,438
-69,0,234,466,picker-1,232
-58,0,1,471,picker-3,470
-11,0,82,479,picker-3,397
-52,0,268,522,picker-1,254
12,300,330,541,picker-3,211
-53,0,1,547,picker-3,546
-72,0,370,580,picker-1,210
-21,0,1,606,picker-3,605
-59,0,429,624,picker-3,195
-56,0,387,632,picker-1,245
3,60,440,643,picker-2,203
-27,0,472,651,picker-3,179
-70,0,467,671,picker-1,204
-34,0,407,677,picker-1,270
24,480,542,732,picker-3,190
-35,0,1,739,picker-2,738
-100,0,523,748,picker-1,225
-63,0,359,753,picker-1,394
-30,0,548,755,picker-3,207
-77,0,281,766,picker-1,485
-61,0,294,783,picker-1,489
27,600,607,811,picker-3,204
-68,0,1,816,picker-2,815
26,540,644,831,picker-2,187
-15,0,633,832,picker-1,199
23,480,581,863,picker-1,282
2,60,652,873,picker-3,221
28,720,733,890,picker-3,157
4,120,480,893,picker-3,413
-47,0,625,909,picker-3,284
-99,0,1,912,picker-2,911
-49,0,1,919,picker-3,918
-86,0,82,949,picker-3,867
-7,0,740,955,picker-2,215
-19,0,1,959,picker-2,958
30,780,817,987,picker-2,170
-40,0,1,998,picker-2,997
-28,0,1,1004,picker-2,1003
-1,0,832,1028,picker-2,196
-76,0,265,1032,picker-2,767
-25,0,749,1050,picker-1,301
29,780,864,1106,picker-1,242
-36,0,913,1108,picker-2,195
35,960,960,1151,picker-2,191
-64,0,956,1157,picker-2,201
-62,0,767,1246,picker-1,479
-26,0,833,1253,picker-1,420
33,900,1107,1265,picker-1,158
-67,0,672,1279,picker-1,607
0,60,784,1284,picker-1,500
-23,0,756,1289,picker-3,533
36,960,1051,1301,picker-1,250
1,60,754,1305,picker-1,551
-5,0,950,1305,picker-3,355
-45,0,891,1351,picker-3,460
-85,0,812,1371,picker-3,559
-32,0,678,1405,picker-1,727
32,900,920,1422,picker-3,502
-54,0,1247,1424,picker-1,177
8,240,1254,1443,picker-1,189
40,1080,1280,1453,picker-1,173
-16,0,999,1456,picker-2,457
17,360,1266,1474,picker-1,208
-8,0,1285,1490,picker-1,205
41,1140,1152,1566,picker-2,414
47,1260,1290,1599,picker-3,309
48,1320,1352,1599,picker-3,247
10,240,1033,1623,picker-2,590
49,1380,1423,1682,picker-3,259
15,360,874,1752,picker-3,878
-91,0,910,1760,picker-3,850
-41,0,1005,1766,picker-2,761
-55,0,1406,1771,picker-1,365
58,1500,1567,1821,picker-2,254
63,1620,1624,1821,picker-2,197
37,960,1158,1852,picker-2,694
25,540,988,1860,picker-2,872
9,240,1457,1874,picker-2,417
-2,0,1109,1902,picker-2,793
-87,0,1306,1910,picker-1,604
-65,0,1029,1922,picker-2,893
16,360,1444,1934,picker-1,490
6,120,1454,1946,picker-1,492
34,960,1475,1963,picker-1,488
38,1020,1600,1971,picker-3,371
-75,0,1302,1980,picker-1,678
-18,0,1425,1980,picker-1,555
-3,0,1491,1986,picker-1,495
-24,0,1600,2005,picker-3,405
51,1440,1683,2013,picker-3,330
5,120,1753,2027,picker-3,274
-81,0,894,2068,picker-3,1174
56,1500,1761,2072,picker-3,311
44,1200,1372,2080,picker-3,708
-90,0,1307,2131,picker-3,824
43,1200,1853,2152,picker-2,299
55,1500,1935,2179,picker-1,244
61,1560,1911,2221,picker-1,310
-71,0,1822,2289,picker-2,467
52,1500,1875,2335,picker-2,460
-46,0,1903,2373,picker-2,470
71,1980,2069,2374,picker-3,305
59,1560,1972,2392,picker-3,420
64,1680,1861,2432,picker-2,571
68,1800,2073,2446,picker-3,373
-83,0,1767,2448,picker-2,681
67,1740,2006,2529,picker-3,523
