tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,26.096857,1,0,1
0.45,26.096857,0,0,1
0.6,26.096857,0,0,1
0.75,0.0,0,0,0
0.9,0.0,0,0,0
1.05,0.0,0,0,0
1.2,0.0,2,0,0
1.35,616.629177,1,0,1
1.5,0.0,0,0,0
1.65,26.096857,0,0,1
1.8,0.0,0,0,0
1.95,0.0,0,0,0
2.1,1.16775,0,0,0
2.25,3.114,2,0,0
2.4,31.935607,1,0,1
2.55,34.271107,0,0,1
2.7,36.606607,0,0,1
2.85,12.06675,0,0,0
3.0,12.84525,0,0,0
3.15,20.256087,0,0,0
3.3,17.127,2,1,0
3.45,41.666857,1,1,1
3.6,69.320713,0,0,2
3.75,103.820362,0,0,1
3.9,17.9055,0,0,0
4.05,17.9055,0,0,0
4.2,18.29475,2,0,0
4.35,45.559357,1,0,1
4.5,104.598862,0,1,1
4.65,68.931463,0,1,2
4.8,40.888357,0,1,1
4.95,42.445357,0,0,1
5.1,17.9055,0,0,0
5.25,19.85175,2,0,0
5.4,106.934362,1,1,1
5.55,823.720837,0,0,1
5.7,49.062607,0,1,1
5.85,52.176607,0,0,1
6.0,28.41525,0,0,0
6.15,31.14,2,0,0
6.3,59.572357,1,0,1
6.45,124.839862,1,0,1
6.6,44.76375,1,0,0
6.75,49.824,1,0,0
6.9,52.938,1,0,0
7.05,53.7165,1,1,0
7.2,895.90884,3,0,0
7.35,85.652107,3,0,1
7.5,62.28,3,0,0
7.65,65.78325,3,0,0
7.8,65.00475,3,1,0
7.95,89.155357,3,1,1
8.1,91.101607,3,0,1
8.25,65.78325,5,0,0
8.4,61.5015,5,1,0
8.55,1049.73116,5,0,0
8.7,58.3875,5,0,0
8.85,47.4885,5,2,0
9.0,114.49082,5,3,3
9.15,685.919698,7,2,2
9.3,90.235855,7,0,2
9.45,41.114399,7,0,0
9.6,34.844656,7,2,0
9.75,66.349269,7,0,1
9.9,41.420163,7,0,0
10.05,36.401656,7,1,0
10.2,769.816776,9,0,0
10.35,123.484267,9,1,1
10.5,48.673357,9,1,1
10.65,50.230357,9,0,1
10.8,34.966763,9,0,0
10.95,49.264161,9,0,0
11.1,61.981652,9,0,0
11.25,72.363642,9,0,0
11.4,82.745632,9,0,0
11.55,90.187197,9,0,0
11.7,88.414521,9,0,0
11.85,87.590207,9,0,0
12.0,175.840568,9,0,1
12.15,68.714166,9,3,0
12.3,997.720773,9,2,2
12.45,110.518598,9,1,2
12.6,933.417232,9,1,0
12.75,91.734005,9,0,1
12.9,66.763156,9,1,0
13.05,560.646853,9,0,0
13.2,74.464669,9,0,0
13.35,104.412283,9,0,1
13.5,76.327433,9,1,0
13.65,701.88026,9,0,0
13.8,93.460396,9,0,0
13.95,95.831676,9,0,0
14.1,130.851326,9,0,1
14.25,119.476897,9,0,0
14.4,149.769487,9,0,1
14.55,122.341341,9,1,0
14.7,931.207822,9,1,0
14.85,877.874672,9,0,1
15.0,114.095539,9,1,0
15.15,145.555879,9,0,1
15.3,126.805607,9,2,0
15.45,958.734815,9,0,2
15.6,126.65253,9,1,0
15.75,152.164048,9,1,1
15.9,982.864488,9,0,0
16.05,123.014954,9,1,0
16.2,150.410138,9,0,1
16.35,132.060306,9,0,0
16.5,163.215194,9,1,1
16.65,236.033564,9,1,2
16.8,147.548781,9,1,1
16.95,658.164786,9,0,0
17.1,108.202648,9,2,0
17.25,141.72377,9,2,3
17.4,91.512086,9,1,1
17.55,76.326774,9,1,1
17.7,168.505416,9,0,2
17.85,62.757477,9,0,0
18.0,61.743014,9,1,0
18.15,96.397407,9,0,1
18.3,85.596421,9,0,0
18.45,95.366651,9,0,0
18.6,106.772474,9,1,0
18.75,1047.338754,9,0,1
18.9,140.962505,9,0,0
19.05,168.755313,9,0,0
19.2,193.628283,9,0,0
19.35,217.634202,9,0,0
19.5,238.990325,9,0,0
19.65,246.489639,9,1,0
19.8,296.003721,9,0,1
19.95,293.869936,9,0,0
20.1,300.063035,9,1,0
20.25,346.392321,9,0,1
20.4,321.756039,9,1,0
20.55,381.175388,9,0,2
20.7,323.656564,9,1,0
20.85,328.081779,9,1,1
21.0,324.322395,9,0,1
21.15,297.1079,9,1,0
21.3,294.210458,9,2,1
21.45,295.098555,9,1,2
21.6,268.713672,9,0,1
21.75,235.672409,9,0,0
21.9,217.150878,9,1,0
22.05,233.212815,9,1,1
22.2,224.386007,9,1,1
22.35,217.408891,9,2,1
22.5,907.733534,9,0,1
22.65,196.782547,9,1,0
22.8,237.378249,9,0,1
22.95,199.592632,9,1,0
23.1,205.834419,9,0,0
23.25,216.905538,9,0,0
23.4,203.71992,9,2,0
23.55,249.515792,9,0,1
23.7,223.58968,9,1,0
23.85,270.093727,9,0,1
24.0,269.128735,9,0,0
24.15,302.137438,9,0,0
24.3,356.174621,9,0,1
24.45,359.550591,9,0,0
24.6,392.152505,9,0,0
24.75,409.679631,9,0,0
24.9,418.919001,9,0,0
25.05,428.499681,9,0,0
25.2,450.397901,9,0,0
25.35,464.85762,9,1,0
25.5,1012.14356,9,1,0
25.65,499.04802,9,0,1
25.8,479.539289,9,0,0
25.95,472.51676,9,1,0
26.1,503.179691,9,0,1
26.25,463.134298,9,2,0
26.4,519.180005,9,0,2
26.55,449.551532,9,1,0
26.7,482.375563,9,0,1
26.85,456.278706,9,0,0
27.0,427.64302,9,1,0
27.15,448.136724,9,0,1
27.3,420.915561,9,0,0
27.45,404.028986,9,2,0
27.6,463.181819,9,0,2
27.75,415.219254,9,0,0
27.9,421.733236,9,0,0
28.05,421.876301,9,0,0
