order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-44,0,1,100,picker-2,99
-89,0,1,126,picker-3,125
-58,0,1,168,picker-2,167
-34,0,1,179,picker-1,178
-27,0,1,179,picker-2,178
-62,0,1,179,picker-2,178
-95,0,1,186,picker-3,185
-92,0,1,201,picker-3,200
-73,0,1,226,picker-2,225
-25,0,1,248,picker-2,247
-98,0,1,285,picker-3,284
-48,0,1,315,picker-2,314
-97,0,1,322,picker-2,321
3,60,127,322,picker-3,195
-96,0,101,335,picker-2,234
-4,0,181,347,picker-2,166
-54,0,1,350,picker-1,349
-67,0,1,350,picker-1,349
-59,0,169,364,picker-2,195
-43,0,187,378,picker-3,191
-46,0,1,381,picker-1,380
-23,0,1,413,picker-1,412
-11,0,181,415,picker-2,234
-80,0,1,425,picker-3,424
-38,0,180,436,picker-1,256
7,120,227,444,picker-2,217
-86,0,1,448,picker-3,447
-79,0,202,448,picker-3,246
-9,0,249,452,picker-2,203
12,300,316,504,picker-2,188
-69,0,323,511,picker-2,188
-82,0,324,522,picker-3,198
-33,0,286,527,picker-3,241
-26,0,1,533,picker-1,532
-77,0,336,535,picker-2,199
-12,0,379,538,picker-3,159
-19,0,1,558,picker-3,557
-57,0,1,582,picker-1,581
-94,0,1,625,picker-3,624
-61,0,351,625,picker-1,274
-36,0,414,640,picker-1,226
-1,0,449,640,picker-3,191
-93,0,426,649,picker-3,223
-88,0,449,656,picker-3,207
-5,0,445,667,picker-2,222
-30,0,351,667,picker-1,316
-8,0,505,714,picker-2,209
-72,0,523,718,picker-3,195
-87,0,453,738,picker-2,285
-85,0,348,773,picker-2,425
-7,0,382,775,picker-1,393
-47,0,365,781,picker-2,416
-90,0,416,781,picker-2,365
26,540,583,787,picker-1,204
-52,0,536,792,picker-2,256
-64,0,528,802,picker-3,274
25,540,559,812,picker-3,253
-53,0,437,825,picker-1,388
2,60,626,837,picker-1,211
17,360,668,884,picker-1,216
-16,0,641,937,picker-1,296
-20,0,1,945,picker-1,944
-22,0,534,971,picker-1,437
29,780,788,1018,picker-1,230
8,240,776,1021,picker-1,245
30,780,826,1030,picker-1,204
0,60,838,1074,picker-1,236
5,120,885,1112,picker-1,227
-55,0,946,1140,picker-1,194
36,960,972,1178,picker-1,206
-63,0,539,1199,picker-3,660
-70,0,1019,1224,picker-1,205
-31,0,719,1235,picker-3,516
-100,0,1022,1258,picker-1,236
-17,0,1031,1270,picker-1,239
13,300,1113,1331,picker-1,218
33,900,1141,1346,picker-1,205
-13,0,813,1352,picker-3,539
-15,0,627,1357,picker-3,730
28,720,1179,1384,picker-1,205
-60,0,657,1395,picker-3,738
-83,0,938,1412,picker-1,474
27,600,1200,1424,picker-3,224
-76,0,803,1447,picker-3,644
41,1140,1225,1455,picker-1,230
-71,0,642,1462,picker-3,820
-49,0,650,1469,picker-3,819
24,480,1332,1497,picker-1,165
-50,0,1236,1602,picker-3,366
4,120,1259,1642,picker-1,383
-65,0,793,1642,picker-2,849
-24,0,774,1652,picker-2,878
