tick,energy,job_queue_len,stop_and_go,turning
0.15,0.0,2,0,0
0.3,26.096857,1,0,1
0.45,26.096857,0,0,1
0.6,1.16775,0,0,0
0.75,1.94625,0,0,0
0.9,2.72475,0,0,0
1.05,3.50325,0,0,0
1.2,4.28175,2,0,0
1.35,30.378607,1,0,1
1.5,29.600107,0,0,1
1.65,29.600107,0,0,1
1.8,3.50325,0,0,0
1.95,0.0,0,1,0
2.1,27.264607,0,0,1
2.25,3.114,2,0,0
2.4,30.767857,1,0,1
2.55,32.324857,0,0,1
2.7,33.881857,0,0,1
2.85,9.342,0,0,0
3.0,10.899,0,0,0
3.15,12.84525,0,0,0
3.3,15.57,2,0,0
3.45,45.170107,1,0,1
3.6,47.505607,0,0,1
3.75,49.062607,0,0,1
3.9,25.6905,0,0,0
4.05,28.026,0,0,0
4.2,29.19375,2,0,0
4.35,30.3615,1,1,0
4.5,680.975412,0,0,1
4.65,36.20025,0,1,0
4.8,66.189607,0,0,1
4.95,42.42825,0,0,0
5.1,45.54225,0,0,0
5.25,47.4885,2,0,0
5.4,70.471357,1,1,1
5.55,933.816432,0,0,1
5.7,68.135857,0,1,1
5.85,62.686357,0,2,1
6.0,872.991547,0,1,1
6.15,59.572357,2,1,1
6.3,112.54457,1,0,3
6.45,56.847607,1,1,1
6.6,58.793857,1,0,1
6.75,33.4755,1,0,0
6.9,32.697,1,0,0
7.05,31.14,1,0,0
7.2,28.8045,4,1,0
7.35,82.555213,4,0,2
7.5,29.583,4,1,0
7.65,55.679857,4,1,1
7.8,147.044218,4,0,2
7.95,40.09275,4,0,0
8.1,48.876527,4,0,0
8.25,57.716628,7,0,0
8.4,67.335229,7,0,0
8.55,74.61833,7,0,0
8.7,79.955181,7,0,0
8.85,85.015431,7,0,0
9.0,82.40333,7,1,0
9.15,113.669819,10,1,1
9.3,119.192242,10,0,1
9.45,84.333227,10,2,0
9.6,795.891046,10,1,1
9.75,107.072678,10,3,1
9.9,135.505035,10,0,2
10.05,81.681399,10,0,0
10.2,81.292149,13,1,0
10.35,108.946006,13,0,1
10.5,65.00475,13,1,0
10.65,81.370357,13,1,1
10.8,54.88425,13,0,0
10.95,55.2735,13,0,0
11.1,60.891319,13,0,0
11.25,63.339032,13,0,0
11.4,67.347198,13,1,0
11.55,74.727713,13,1,0
11.7,108.205084,13,2,1
11.85,140.402493,13,1,2
12.0,119.126225,13,0,1
12.15,96.030719,13,1,0
12.3,629.48012,13,0,0
12.45,86.584544,13,1,0
12.6,113.143573,13,1,1
12.75,100.632467,13,2,1
12.9,828.511918,13,0,1
13.05,72.571252,13,1,0
13.2,555.078013,13,1,0
13.35,71.661995,13,0,0
13.5,73.291918,13,1,0
13.65,92.962116,13,1,1
13.8,94.202789,13,2,1
13.95,121.467395,13,1,2
14.1,104.376519,13,0,1
14.25,85.062149,13,0,0
14.4,94.664783,13,0,0
14.55,105.841232,13,0,0
14.7,147.179464,13,0,1
14.85,128.502849,13,0,0
15.0,157.572961,13,0,1
15.15,136.560846,13,0,0
15.3,144.05401,13,0,0
15.45,134.926771,13,1,0
15.6,161.934682,13,1,1
15.75,166.794562,13,0,1
15.9,143.499122,13,0,0
16.05,135.219234,13,1,0
16.2,161.091228,13,0,1
16.35,137.995723,13,0,0
16.5,144.544831,13,1,0
16.65,875.920043,13,2,0
16.8,767.176045,13,1,1
16.95,166.778467,13,1,1
17.1,177.713838,13,0,1
17.25,152.774331,13,0,0
17.4,150.045638,13,0,0
17.55,148.766523,13,0,0
17.7,145.94081,13,0,0
17.85,112.839994,13,2,0
18.0,140.76847,13,2,1
18.15,1474.447801,13,2,0
18.3,165.636823,13,0,2
18.45,147.173875,13,0,1
18.6,135.999252,13,1,0
18.75,175.202164,13,0,1
18.9,159.321376,13,0,0
19.05,171.259681,13,0,0
19.2,186.866473,13,0,0
19.35,191.649686,13,0,0
19.5,189.277807,13,0,0
19.65,197.784546,13,0,0
19.8,208.17313,13,0,0
19.95,249.826654,13,1,2
20.1,230.110672,13,0,1
20.25,217.448269,13,0,0
20.4,220.395608,13,1,0
20.55,819.054933,13,0,0
20.7,209.24776,13,1,0
20.85,234.342749,13,0,1
21.0,187.370816,13,2,0
21.15,945.160048,13,2,1
21.3,1018.758617,13,0,1
21.45,141.352658,13,3,0
21.6,1615.765366,13,2,1
21.75,181.587926,13,0,2
21.9,137.945654,13,0,0
22.05,131.646452,13,1,0
22.2,167.926127,13,0,1
22.35,233.922238,13,0,1
22.5,147.192334,13,0,0
22.65,140.696499,13,0,0
22.8,140.50818,13,0,0
22.95,175.554521,13,0,1
23.1,150.603891,13,2,1
23.25,168.199279,13,1,2
23.4,204.219706,13,0,3
23.55,130.486082,13,1,0
23.7,172.117603,13,0,1
23.85,163.11241,13,0,0
24.0,185.698081,13,0,0
24.15,201.894065,13,0,0
24.3,217.311549,13,0,0
24.45,225.095124,13,0,0
24.6,232.324213,13,0,0
24.75,212.536884,13,1,0
24.9,218.280065,13,2,0
25.05,949.887462,13,0,1
25.2,267.300692,13,0,0
25.35,293.654342,13,1,0
25.5,1121.322382,13,0,0
25.65,340.983031,13,0,0
25.8,358.767249,13,0,0
25.95,373.218544,13,0,0
26.1,356.113646,13,2,0
26.25,407.338344,13,1,2
26.4,401.042102,13,0,1
26.55,337.062999,13,3,0
26.7,390.547076,13,0,2
26.85,429.440688,13,0,1
27.0,327.111099,13,1,0
27.15,348.270756,13,0,1
27.3,346.334906,13,0,1
27.45,318.3022,13,0,0
27.6,316.079349,13,0,0
27.75,313.077998,13,0,0
27.9,307.362298,13,0,0
28.05,314.626046,13,0,0
