order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time
-83,0,1,76,picker-1,75
-92,0,1,120,picker-1,119
-27,0,1,148,picker-3,147
-44,0,1,170,picker-3,169
-62,0,1,186,picker-3,185
-98,0,1,234,picker-1,233
-87,0,1,239,picker-3,238
-80,0,1,258,picker-1,257
-24,0,1,258,picker-3,257
-70,0,1,267,picker-3,266
-97,0,1,271,picker-3,270
-22,0,1,291,picker-3,290
-76,0,1,313,picker-1,312
3,60,77,313,picker-1,236
5,120,121,320,picker-1,199
-95,0,1,327,picker-1,326
-43,0,171,347,picker-3,176
-78,0,1,350,picker-1,349
-14,0,1,356,picker-1,355
-4,0,149,359,picker-3,210
7,120,187,384,picker-3,197
-7,0,235,402,picker-1,167
-86,0,259,405,picker-1,146
-38,0,240,410,picker-3,170
-9,0,260,445,picker-3,185
-79,0,268,465,picker-3,197
12,300,314,472,picker-1,158
-33,0,314,472,picker-1,158
-69,0,272,479,picker-3,207
-48,0,292,485,picker-3,193
-12,0,321,495,picker-1,174
-11,0,348,506,picker-3,158
-36,0,328,524,picker-1,196
-99,0,351,565,picker-1,214
-100,0,357,578,picker-1,221
-72,0,466,689,picker-3,223
-61,0,446,717,picker-3,271
-58,0,1,736,picker-2,735
0,60,411,738,picker-3,327
-68,0,1,748,picker-2,747
2,60,473,754,picker-1,281
17,360,486,775,picker-3,289
-96,0,473,784,picker-1,311
-55,0,507,791,picker-3,284
-77,0,385,796,picker-3,411
-18,0,1,800,picker-2,799
-25,0,360,801,picker-3,441
-53,0,1,825,picker-2,824
-73,0,566,827,picker-1,261
-91,0,1,832,picker-2,831
-2,0,1,846,picker-2,845
-57,0,480,847,picker-3,367
-54,0,690,853,picker-3,163
-30,0,1,857,picker-2,856
8,240,718,881,picker-3,163
-52,0,403,887,picker-1,484
-85,0,579,887,picker-1,308
-59,0,749,905,picker-2,156
-93,0,406,908,picker-1,502
-49,0,1,908,picker-2,907
-88,0,739,909,picker-3,170
27,600,737,922,picker-2,185
-63,0,776,964,picker-3,188
-47,0,525,988,picker-1,463
29,780,792,990,picker-3,198
28,720,888,1089,picker-1,201
-16,0,848,1107,picker-3,259
-46,0,826,1144,picker-2,318
33,900,906,1144,picker-2,238
36,960,965,1171,picker-3,206
-34,0,828,1198,picker-1,370
30,780,785,1208,picker-1,423
25,540,910,1215,picker-2,305
-1,0,989,1228,picker-1,239
-64,0,923,1247,picker-2,324
-56,0,909,1260,picker-1,351
13,300,882,1276,picker-3,394
-50,0,858,1283,picker-2,425
32,900,911,1286,picker-3,375
4,120,801,1294,picker-2,493
-5,0,1108,1300,picker-3,192
-82,0,991,1332,picker-3,341
24,480,1145,1337,picker-2,192
-67,0,802,1341,picker-3,539
-32,0,847,1354,picker-2,507
-35,0,854,1359,picker-3,505
-15,0,797,1365,picker-3,568
-31,0,1172,1388,picker-3,216
15,360,755,1466,picker-1,711
16,360,1216,1508,picker-2,292
48,1320,1333,1511,picker-3,178
-23,0,496,1524,picker-1,1028
23,480,888,1585,picker-1,697
35,960,1145,1638,picker-2,493
41,1140,1261,1692,picker-1,431
34,960,1199,1819,picker-1,620
18,360,1355,1824,picker-2,469
58,1500,1509,1837,picker-2,328
63,1620,1639,1837,picker-2,198
-66,0,1284,1844,picker-2,560
49,1380,1389,1852,picker-3,463
42,1200,1287,1865,picker-3,578
51,1440,1467,1874,picker-1,407
-26,0,1338,1917,picker-2,579
20,420,1090,1923,picker-1,833
46,1260,1366,1935,picker-3,569
43,1200,1693,1939,picker-1,246
52,1500,1586,1955,picker-1,369
-3,0,1248,1972,picker-2,724
-13,0,833,1980,picker-2,1147
14,300,1295,1983,picker-2,688
-37,0,1209,1986,picker-1,777
44,1200,1360,1999,picker-3,639
47,1260,1512,2013,picker-3,501
50,1380,1820,2019,picker-1,199
56,1500,1525,2049,picker-1,524
-65,0,1229,2058,picker-1,829
-8,0,1866,2065,picker-3,199
-51,0,1825,2081,picker-2,256
40,1080,1936,2100,picker-3,164
55,1500,1875,2104,picker-1,229
-40,0,1301,2195,picker-3,894
71,1980,1987,2312,picker-1,325
61,1560,2014,2352,picker-3,338
39,1020,2066,2377,picker-3,311
67,1740,2101,2406,picker-3,305
69,1800,2082,2490,picker-2,408
-90,0,1342,2500,picker-3,1158
77,2160,2196,2500,picker-3,304
-75,0,2000,2530,picker-3,530
54,1500,1853,2539,picker-3,686
70,1920,1924,2637,picker-1,713
22,420,1918,2641,picker-2,723
62,1620,2378,2655,picker-3,277
64,1680,1838,2663,picker-2,825
-39,0,2313,2699,picker-1,386
87,2460,2491,2702,picker-2,211
65,1740,1981,2796,picker-2,815
90,2520,2642,2859,picker-2,217
53,1500,1973,2898,picker-2,925
88,2520,2638,2900,picker-1,262
78,2220,2700,2900,picker-1,200
76,2160,2407,2972,picker-3,565
31,840,2020,2987,picker-1,967
101,2760,2797,3010,picker-2,213
57,1500,1956,3019,picker-1,1063
37,960,2050,3062,picker-1,1012
6,120,2059,3074,picker-1,1015
93,2640,2703,3080,picker-2,377
26,540,2901,3091,picker-1,190
-81,0,1940,3116,picker-1,1176
79,2280,2901,3125,picker-1,224
-41,0,1838,3161,picker-2,1323
21,420,2105,3164,picker-1,1059
11,300,1845,3165,picker-2,1320
73,2040,2664,3171,picker-2,507
89,2520,2973,3175,picker-3,202
103,2820,3011,3182,picker-2,171
113,3000,3020,3228,picker-1,208
-60,0,1984,3228,picker-2,1244
98,2760,2860,3254,picker-2,394
85,2460,2501,3306,picker-3,805
100,2760,3081,3309,picker-2,228
-6,0,2899,3328,picker-2,429
118,3060,3166,3328,picker-2,162
74,2040,3162,3340,picker-2,178
125,3120,3176,3359,picker-3,183
95,2640,2656,3399,picker-3,743
80,2340,2353,3411,picker-3,1058
111,3000,3075,3441,picker-1,366
106,2880,3230,3466,picker-2,236
119,3060,3229,3471,picker-1,242
68,1800,3307,3490,picker-3,183
92,2580,3172,3541,picker-2,369
-71,0,1277,3543,picker-3,2266
-21,0,2988,3568,picker-1,580
110,3000,3329,3646,picker-2,317
83,2400,3117,3670,picker-1,553
117,3060,3472,3670,picker-1,198
116,3000,3092,3725,picker-1,633
-17,0,3467,3738,picker-2,271
-89,0,3442,3763,picker-1,321
10,240,3329,3863,picker-2,534
136,3540,3544,3947,picker-3,403
127,3240,3255,3968,picker-2,713
59,1560,3647,3981,picker-2,334
121,3120,3491,4038,picker-3,547
109,2940,3310,4094,picker-2,784
9,240,3542,4127,picker-2,585
158,3840,3864,4151,picker-2,287
145,3720,3739,4175,picker-2,436
159,3840,3948,4208,picker-3,260
105,2880,3341,4223,picker-2,882
153,3780,3969,4223,picker-2,254
148,3780,3982,4267,picker-2,285
154,3780,4039,4290,picker-3,251
174,4140,4209,4389,picker-3,180
91,2520,3165,4393,picker-1,1228
-42,0,3412,4399,picker-3,987
124,3120,3569,4413,picker-1,844
177,4200,4224,4483,picker-2,259
-94,0,2531,4503,picker-3,1972
169,4080,4128,4507,picker-2,379
75,2100,4268,4517,picker-2,249
115,3000,3183,4578,picker-2,1395
161,3960,4400,4578,picker-3,178
120,3120,4390,4588,picker-3,198
140,3660,3764,4609,picker-1,845
160,3900,4394,4624,picker-1,230
132,3420,4414,4636,picker-1,222
97,2700,3360,4644,picker-3,1284
144,3720,4152,4660,picker-2,508
129,3300,3726,4669,picker-1,943
131,3360,4176,4675,picker-2,499
123,3120,4291,4684,picker-3,393
-29,0,2501,4687,picker-3,2186
162,3960,4224,4696,picker-2,472
102,2820,3671,4728,picker-1,1057
122,3120,3126,4763,picker-1,1637
126,3180,3400,4790,picker-3,1390
94,2640,3063,4795,picker-1,1732
-19,0,3671,4799,picker-1,1128
184,4500,4508,4800,picker-2,292
137,3540,4095,4813,picker-2,718
191,4620,4625,4834,picker-1,209
156,3780,4580,4845,picker-3,265
134,3480,4589,4845,picker-3,256
104,2880,4484,4869,picker-2,385
179,4320,4518,4885,picker-2,367
189,4560,4610,4895,picker-1,285
139,3660,4676,5022,picker-2,346
195,4740,4764,5048,picker-1,284
196,4800,4800,5048,picker-1,248
194,4740,4801,5049,picker-2,248
112,3000,4661,5111,picker-2,450
182,4440,4697,5170,picker-2,473
168,4080,4579,5174,picker-2,595
141,3720,4645,5229,picker-3,584
155,3780,5049,5245,picker-1,196
203,4980,5049,5245,picker-1,196
185,4500,4835,5282,picker-1,447
192,4680,4729,5349,picker-1,620
205,4980,5050,5378,picker-2,328
150,3780,4896,5379,picker-1,483
133,3480,4670,5498,picker-1,828
172,4080,4846,5508,picker-3,662
151,3780,5246,5512,picker-1,266
183,4500,5230,5538,picker-3,308
199,4860,5112,5560,picker-2,448
138,3600,5246,5567,picker-1,321
170,4080,4814,5575,picker-2,761
152,3780,4796,5581,picker-1,785
208,5160,5379,5609,picker-2,230
206,4980,5283,5622,picker-1,339
135,3540,4637,5631,picker-1,994
38,1020,4688,5673,picker-3,985
181,4380,4791,5680,picker-3,889
86,2460,5499,5711,picker-1,212
175,4200,4504,5744,picker-3,1240
-84,0,5171,5867,picker-2,696
215,5460,5681,6019,picker-3,338
212,5340,5539,6105,picker-3,566
222,5640,5712,6120,picker-1,408
96,2700,5610,6135,picker-2,525
186,4500,5023,6145,picker-2,1122
178,4260,5632,6151,picker-1,519
167,3960,5868,6181,picker-2,313
128,3300,4870,6198,picker-2,1328
114,3000,5175,6228,picker-2,1053
165,3960,5350,6232,picker-1,882
163,3960,4685,6238,picker-3,1553
233,5880,6020,6238,picker-3,218
143,3720,5674,6244,picker-3,570
226,5700,5745,6282,picker-3,537
211,5280,5509,6285,picker-3,776
201,4860,5623,6302,picker-1,679
147,3720,4846,6308,picker-3,1462
238,6060,6106,6326,picker-3,220
72,2040,2540,6370,picker-3,3830
202,4920,5513,6430,picker-1,917
241,6120,6239,6431,picker-3,192
219,5520,6233,6472,picker-1,239
204,4980,6239,6503,picker-3,264
232,5880,6146,6517,picker-2,371
225,5700,6121,6532,picker-1,411
227,5700,6303,6547,picker-1,244
217,5460,5568,6584,picker-1,1016
235,5940,6152,6590,picker-1,438
261,6360,6431,6631,picker-1,200
173,4140,5380,6635,picker-1,1255
180,4380,5582,6675,picker-1,1093
193,4680,6229,6692,picker-2,463
260,6360,6473,6702,picker-1,229
263,6420,6533,6780,picker-1,247
247,6180,6518,6781,picker-2,263
220,5580,6585,6792,picker-1,207
273,6540,6548,6811,picker-1,263
240,6120,6182,6821,picker-2,639
271,6480,6632,6822,picker-1,190
130,3360,6199,6903,picker-2,704
277,6600,6693,6968,picker-2,275
251,6240,6245,7020,picker-3,775
224,5640,6136,7150,picker-2,1014
292,6960,6969,7198,picker-2,229
288,6840,6904,7300,picker-2,396
264,6420,6432,7364,picker-3,932
249,6180,6286,7375,picker-3,1089
243,6120,6504,7399,picker-3,895
-74,0,5561,7434,picker-2,1873
289,6840,7199,7434,picker-2,235
272,6540,6591,7441,picker-1,850
-20,0,6822,7476,picker-2,654
296,7020,7151,7482,picker-2,331
245,6180,6636,7498,picker-1,862
274,6540,7365,7538,picker-3,173
276,6540,6793,7545,picker-1,752
257,6360,6703,7555,picker-1,852
60,1560,7376,7560,picker-3,184
278,6600,6782,7578,picker-2,796
198,4860,5576,7584,picker-2,2008
1,60,6283,7619,picker-3,1336
221,5580,6371,7626,picker-3,1255
313,7380,7435,7629,picker-2,194
269,6480,6676,7634,picker-1,958
314,7380,7435,7651,picker-2,216
149,3780,7301,7660,picker-2,359
84,2400,6327,7668,picker-3,1341
244,6120,7400,7697,picker-3,297
197,4860,7499,7702,picker-1,203
318,7500,7539,7708,picker-3,169
311,7380,7477,7712,picker-2,235
187,4560,6309,7712,picker-3,1403
236,5940,7442,7713,picker-1,271
286,6780,6812,7721,picker-1,909
304,7140,7546,7742,picker-1,196
305,7200,7483,7747,picker-2,264
283,6720,7561,7762,picker-3,201
146,3720,7021,7770,picker-3,749
216,5460,7579,7770,picker-2,191
326,7620,7627,7802,picker-3,175
317,7500,7585,7811,picker-2,226
306,7200,7620,7819,picker-3,199
329,7620,7630,7828,picker-2,198
213,5340,6781,7838,picker-1,1057
259,6360,6823,7845,picker-1,1022
254,6240,7556,7849,picker-1,293
320,7560,7652,7865,picker-2,213
293,6960,7698,7905,picker-3,207
290,6900,7748,7959,picker-2,211
176,4200,7722,7966,picker-1,244
285,6780,7635,8044,picker-1,409
298,7020,7743,8083,picker-1,340
265,6420,7846,8094,picker-1,248
299,7080,7866,8100,picker-2,234
308,7260,7772,8107,picker-3,335
142,3720,4886,8120,picker-2,3234
255,6300,7714,8130,picker-1,416
-10,0,7715,8278,picker-3,563
295,7020,7771,8291,picker-2,520
284,6720,7829,8303,picker-2,474
307,7260,8095,8338,picker-1,243
345,8100,8108,8339,picker-3,231
340,7980,8121,8345,picker-2,224
270,6480,7839,8414,picker-1,575
322,7560,7709,8422,picker-3,713
342,8040,8101,8435,picker-2,334
315,7500,7850,8440,picker-1,590
229,5820,7967,8465,picker-1,498
266,6420,7661,8471,picker-2,810
312,7380,8131,8477,picker-1,346
301,7140,7713,8478,picker-2,765
319,7560,8279,8485,picker-3,206
157,3780,7703,8508,picker-1,805
302,7140,7812,8529,picker-2,717
350,8220,8339,8547,picker-1,208
333,7860,8292,8557,picker-2,265
252,6240,8415,8567,picker-1,152
354,8280,8346,8572,picker-2,226
335,7860,8304,8600,picker-2,296
275,6540,7820,8610,picker-3,790
207,4980,7803,8617,picker-3,814
309,7260,7960,8627,picker-2,667
357,8340,8436,8657,picker-2,221
303,7140,7669,8675,picker-3,1006
321,7560,7906,8675,picker-3,769
360,8460,8466,8687,picker-1,221
82,2340,8340,8689,picker-3,349
280,6660,7763,8725,picker-3,962
356,8340,8486,8732,picker-3,246
256,6300,8045,8774,picker-1,729
