tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
651,81,1547,B,v13_piggyback
708,105,1650,B,v13_piggyback
723,120,1721,B,v13_piggyback
1029,433,903,A,v13_piggyback
1089,467,1081,A,v13_piggyback
1754,208,2138,B,v13_piggyback
3643,74,1516,B,v13_piggyback
3760,308,481,A,v13_piggyback
4064,303,466,A,v13_fetch
4335,486,1195,A,v13_piggyback
4965,450,993,A,v13_piggyback
5227,259,353,A,v13_piggyback
5609,350,604,A,v13_fetch
5612,428,880,A,v13_piggyback
5658,162,1926,B,v13_piggyback
5763,382,704,A,v13_piggyback
6048,207,227,A,v13_piggyback
6106,60,1454,B,v13_piggyback
6179,447,980,A,v13_piggyback
6399,10,1251,B,v13_piggyback
6606,203,227,A,v13_fetch
7149,268,379,A,v13_piggyback
7252,155,1890,B,v13_piggyback
7436,98,84,A,v13_piggyback
7893,126,1748,B,v13_piggyback
8598,21,1287,B,v13_piggyback
8973,100,84,A,v13_fetch
9372,235,288,A,v13_piggyback
9452,318,506,A,v13_piggyback
9664,266,374,A,v13_piggyback
9709,192,2061,B,v13_piggyback
9951,236,295,A,v13_piggyback
10912,244,312,A,v13_piggyback
11167,261,356,A,v13_piggyback
11249,237,273,A,v13_piggyback
11468,335,554,A,v13_piggyback
11468,335,558,A,v13_piggyback
12025,2,0,A,v13_fetch
12254,0,0,A,v13_piggyback
12720,213,246,A,v13_fetch
13256,89,66,A,v13_fetch
13937,343,579,A,v13_piggyback
14101,14,0,A,v13_piggyback
14138,111,99,A,v13_fetch
14502,32,1335,B,v13_piggyback
14877,1,0,A,v13_piggyback
15055,108,98,A,v13_piggyback
15055,108,99,A,v13_piggyback
15452,16,2,A,v13_piggyback
15531,78,66,A,v13_fetch
15654,72,55,A,v13_fetch
15751,46,35,A,v13_fetch
15795,336,548,A,v13_piggyback
15795,336,554,A,v13_piggyback
15795,336,2820,B,v13_piggyback
15798,256,348,A,v13_piggyback
15913,50,1411,B,v13_piggyback
16037,252,342,A,v13_fetch
16124,265,374,A,v13_fetch
16648,128,1761,B,v13_piggyback
17051,106,99,A,v13_piggyback
17627,158,161,A,v13_fetch
17630,221,265,A,v13_fetch
17796,248,329,A,v13_fetch
17942,247,324,A,v13_fetch
17951,120,114,A,v13_fetch
17960,65,53,A,v13_fetch
17963,217,253,A,v13_fetch
17971,103,1642,B,v13_fetch
17974,379,699,A,v13_fetch
18108,234,288,A,v13_fetch
18131,70,55,A,v13_fetch
18154,238,2289,B,v13_fetch
18804,17,0,A,v13_fetch
18804,17,2,A,v13_fetch
18806,0,0,A,v13_fetch
18836,327,536,A,v13_fetch
18863,3,0,A,v13_fetch
18880,157,161,A,v13_fetch
18883,177,186,A,v13_fetch
18974,321,509,A,v13_fetch
18974,321,515,A,v13_fetch
18988,67,55,A,v13_fetch
19025,18,1283,B,v13_piggyback
19111,303,466,A,v13_fetch
19170,210,2147,B,v13_fetch
19198,315,500,A,v13_fetch
19336,351,604,A,v13_piggyback
19336,351,608,A,v13_piggyback
19352,164,1933,B,v13_fetch
19366,341,550,A,v13_fetch
19366,341,567,A,v13_fetch
19366,341,568,A,v13_fetch
19594,222,2209,B,v13_piggyback
19594,222,268,A,v13_piggyback
19604,313,479,A,v13_piggyback
19604,313,492,A,v13_piggyback
19692,314,479,A,v13_fetch
19726,96,84,A,v13_fetch
19731,31,1333,B,v13_fetch
19836,279,405,A,v13_piggyback
20131,468,1081,A,v13_fetch
20148,178,186,A,v13_piggyback
20148,178,1996,B,v13_piggyback
20154,260,356,A,v13_fetch
20154,260,358,A,v13_fetch
20174,257,348,A,v13_fetch
20184,201,227,A,v13_fetch
20188,5,1231,B,v13_fetch
20198,272,385,A,v13_fetch
20198,272,384,A,v13_fetch
20198,272,388,A,v13_fetch
20316,55,1432,B,v13_fetch
20332,330,539,A,v13_piggyback
20332,330,540,A,v13_piggyback
20590,328,539,A,v13_piggyback
20590,328,540,A,v13_piggyback
20740,183,2021,B,v13_fetch
20768,300,460,A,v13_fetch
20949,212,248,A,v13_fetch
20972,220,248,A,v13_piggyback
20999,363,2976,B,v13_fetch
21057,174,186,A,v13_fetch
21098,308,481,A,v13_piggyback
21098,308,482,A,v13_piggyback
21146,338,548,A,v13_fetch
21191,352,608,A,v13_piggyback
21283,406,788,A,v13_piggyback
21350,337,548,A,v13_fetch
21360,98,84,A,v13_fetch
21363,277,2476,B,v13_fetch
22266,43,1380,B,v13_piggyback
22612,2,1224,B,v13_piggyback
22631,119,114,A,v13_fetch
22891,109,99,A,v13_fetch
22983,255,2372,B,v13_fetch
22984,21,1287,B,v13_fetch
22984,21,1290,B,v13_fetch
23107,410,806,A,v13_piggyback
23286,218,257,A,v13_piggyback
