order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-66,0,1,60,picker-3,59,60
-87,0,1,60,picker-3,59,60
-57,0,1,151,picker-2,150,151
-43,0,1,168,picker-3,167,168
-75,0,2,168,picker-3,166,168
-18,0,1,187,picker-2,186,187
-46,0,1,201,picker-1,200,201
-51,0,2,213,picker-3,211,213
-98,0,2,291,picker-3,289,291
-11,0,61,307,picker-3,246,307
-69,0,61,307,picker-3,246,307
-26,0,2,319,picker-3,317,319
-49,0,2,325,picker-3,323,325
-42,0,1,334,picker-1,333,334
-52,0,1,348,picker-1,347,348
-48,0,1,356,picker-1,355,356
-31,0,152,358,picker-2,206,358
-23,0,1,375,picker-2,374,375
-64,0,1,400,picker-2,399,400
-1,0,169,407,picker-3,238,407
7,180,202,411,picker-1,209,231
-38,0,214,427,picker-3,213,427
-27,0,169,432,picker-3,263,432
8,180,188,434,picker-2,246,254
-47,0,1,465,picker-2,464,465
-55,0,1,492,picker-2,491,492
-35,0,1,507,picker-2,506,507
-14,0,308,529,picker-3,221,529
-21,0,335,540,picker-1,205,540
-15,0,308,541,picker-3,233,541
-76,0,359,574,picker-2,215,574
1,60,412,576,picker-1,164,516
-22,0,349,588,picker-1,239,588
-80,0,357,600,picker-1,243,600
-86,0,428,696,picker-3,268,696
5,120,433,696,picker-3,263,576
-54,0,1,703,picker-1,702,703
-58,0,1,708,picker-2,707,708
-50,0,320,717,picker-3,397,717
20,360,466,739,picker-2,273,379
-19,0,541,742,picker-1,201,742
-40,0,1,758,picker-1,757,758
22,420,508,785,picker-2,277,365
-81,0,401,794,picker-2,393,794
-2,0,577,815,picker-1,238,815
16,300,493,817,picker-2,324,517
-74,0,601,853,picker-1,252,853
-79,0,589,888,picker-1,299,888
-73,0,704,904,picker-1,200,904
-32,0,575,918,picker-2,343,918
37,660,709,929,picker-2,220,269
25,480,740,939,picker-2,199,459
32,600,697,956,picker-3,259,356
48,780,816,982,picker-1,166,202
-63,0,408,987,picker-3,579,987
-89,0,530,987,picker-3,457,987
-96,0,376,1054,picker-2,678,1054
-53,0,542,1063,picker-3,521,1063
-82,0,854,1088,picker-1,234,1088
0,60,326,1091,picker-3,765,1031
-44,0,292,1120,picker-3,828,1120
18,360,697,1174,picker-3,477,814
9,240,988,1183,picker-3,195,943
57,840,940,1191,picker-2,251,351
-70,0,988,1201,picker-3,213,1201
33,600,818,1233,picker-2,415,633
-24,0,718,1241,picker-3,523,1241
64,960,983,1241,picker-1,258,281
56,840,1064,1251,picker-3,187,411
-5,0,795,1252,picker-2,457,1252
67,1020,1055,1262,picker-2,207,242
-45,0,905,1272,picker-1,367,1272
-33,0,1092,1281,picker-3,189,1281
-3,0,957,1288,picker-3,331,1288
-4,0,1121,1300,picker-3,179,1300
58,900,1089,1306,picker-1,217,406
42,720,786,1308,picker-2,522,588
-90,0,759,1314,picker-1,555,1314
23,420,435,1330,picker-2,895,910
-68,0,1,1338,picker-1,1337,1338
51,840,919,1344,picker-2,425,504
36,660,743,1344,picker-1,601,684
10,240,930,1364,picker-2,434,1124
-29,0,889,1381,picker-1,492,1381
-56,0,1,1416,picker-1,1415,1416
-13,0,1184,1427,picker-3,243,1427
-99,0,1273,1470,picker-1,197,1470
-72,0,1307,1540,picker-1,233,1540
85,1260,1315,1547,picker-1,232,287
-16,0,1175,1560,picker-3,385,1560
31,600,1243,1633,picker-3,390,1033
66,1020,1252,1642,picker-3,390,622
6,180,1192,1652,picker-2,460,1472
40,720,1301,1659,picker-3,358,939
53,840,1282,1669,picker-3,387,829
49,840,1346,1721,picker-2,375,881
90,1320,1345,1737,picker-1,392,417
30,600,1561,1773,picker-3,212,1173
68,1020,1365,1789,picker-2,424,769
91,1440,1471,1795,picker-1,324,355
14,300,1548,1818,picker-1,270,1518
72,1140,1234,1820,picker-2,586,680
27,480,1653,1888,picker-2,235,1408
76,1200,1331,1897,picker-2,566,697
88,1320,1428,1910,picker-3,482,590
78,1200,1339,1912,picker-1,573,712
74,1140,1796,1987,picker-1,191,847
93,1500,1738,1994,picker-1,256,494
102,1620,1670,2011,picker-3,341,391
-91,0,1253,2016,picker-2,763,2016
109,1800,1819,2021,picker-1,202,221
92,1440,1541,2026,picker-1,485,586
34,600,1790,2029,picker-2,239,1429
39,720,1382,2059,picker-1,677,1339
69,1080,1417,2080,picker-1,663,1000
79,1200,1889,2098,picker-2,209,898
-62,0,1634,2101,picker-3,467,2101
65,960,1202,2109,picker-3,907,1149
60,900,1913,2114,picker-1,201,1214
95,1500,1898,2120,picker-2,222,620
-85,0,1289,2144,picker-3,855,2144
86,1260,1722,2147,picker-2,425,887
28,600,1660,2149,picker-3,489,1549
47,780,1242,2161,picker-1,919,1381
41,720,1821,2179,picker-2,358,1459
-7,0,1774,2188,picker-3,414,2188
119,2040,2060,2289,picker-1,229,249
43,720,2099,2299,picker-2,200,1579
115,1980,2022,2365,picker-1,343,385
124,2100,2150,2425,picker-3,275,325
81,1200,2145,2457,picker-3,312,1257
