pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
243,316,7,-87,43,1,,
220,247,6,-64,53,1,,
220,259,10,-35,53,1,,
220,262,4,-35,53,1,,
0,0,1,-66,60,1,,
0,0,6,-87,60,1,,
0,0,5,-43,60,1,,
23,10,5,-56,63,1,,
23,1297,3,-56,63,1,,
23,3,11,-46,63,1,,
292,440,10,-55,68,1,,
247,327,6,-75,77,1,,
247,327,6,-26,77,1,,
58,46,7,-55,88,1,,
58,46,8,-47,88,1,,
100,78,11,-56,95,1,,
100,89,8,-52,95,1,,
100,84,6,-48,95,1,,
132,129,4,-75,99,1,,
132,117,12,-49,99,1,,
132,125,1,-49,99,1,,
179,186,8,-64,110,1,,
179,2001,2,-64,110,1,,
179,-1,-1,-999,110,2,v13_piggyback,0.25526315789473686
433,904,11,-56,111,1,,
242,314,10,-56,131,1,,
242,310,5,-52,131,1,,
41,19,4,-26,134,1,,
41,1369,12,-49,134,1,,
41,22,11,-98,134,1,,
59,36,6,-57,151,1,,
59,44,10,-58,151,1,,
59,41,4,-35,151,1,,
59,47,6,-35,151,1,,
59,42,5,-18,151,1,,
72,56,10,-56,158,1,,
72,1508,9,-48,158,1,,
302,2617,2,-55,167,1,,
302,462,8,-18,167,1,,
1,0,1,-43,168,1,,
1,8,8,-75,168,1,,
1,6,10,-49,168,1,,
1,5,8,-98,168,1,,
171,182,8,-56,172,1,,
244,316,7,-26,179,1,,
434,909,3,-35,187,1,,
434,903,10,-18,187,1,,
363,642,6,-51,188,1,,
430,890,10,-52,188,1,,
104,95,7,-46,201,1,,
221,247,1,-64,204,1,,
221,247,5,-47,204,1,,
221,262,4,-35,204,1,,
240,308,6,-51,213,1,,
340,570,8,-42,215,1,,
327,536,10,-35,220,1,,
64,48,5,-98,221,1,,
362,640,6,-56,226,1,,
122,114,3,-26,231,1,,
396,760,8,-55,234,1,,
364,648,6,-56,259,1,,
347,593,6,-58,266,1,,
67,1484,4,-98,270,1,,
46,36,5,-56,285,1,,
65,53,7,-58,287,1,,
246,2326,3,-98,291,1,,
38,19,6,-11,307,1,,
38,28,5,-69,307,1,,
105,1650,6,-58,310,1,,
105,-1,-1,-999,310,2,v13_piggyback,0.503680981595092
488,1213,2,-26,319,1,,
252,338,5,-42,320,1,,
250,2347,1,-49,325,1,,
128,118,4,-42,334,1,,
375,681,6,-47,334,1,,
401,3199,2,-47,344,1,,
401,3199,3,-23,344,1,,
470,1096,5,-52,348,1,,
96,1609,3,-48,356,1,,
96,84,2,-48,356,1,,
348,593,8,-31,358,1,,
43,33,4,-23,375,1,,
66,55,6,-1,386,1,,
66,50,8,-1,386,1,,
270,387,4,-56,393,1,,
174,186,4,-64,400,1,,
117,1705,2,-1,407,1,,
117,106,9,-1,407,1,,
37,27,6,7,411,1,,
408,3239,4,-54,418,1,,
322,520,4,-58,423,1,,
108,101,6,-38,424,1,,
200,222,1,-38,427,1,,
454,1015,4,-56,431,1,,
118,112,2,-27,432,1,,
44,33,5,8,434,1,,
338,562,4,-68,450,1,,
213,248,4,-40,459,1,,
212,247,4,-47,465,1,,
214,248,4,-40,468,1,,
72,55,10,-44,479,1,,
72,61,3,-44,479,1,,
184,2028,3,-35,485,1,,
361,2963,2,-55,492,1,,
203,232,10,-44,494,1,,
32,19,1,-35,507,1,,
47,28,10,-44,510,1,,
47,37,2,-44,510,1,,
71,58,6,-14,529,1,,
71,60,8,-15,529,1,,
335,547,6,-21,540,1,,
335,2813,2,-21,540,1,,
308,481,8,-15,541,1,,
178,192,10,-96,549,1,,
307,478,9,0,554,1,,
296,2581,3,-76,557,1,,
221,263,5,-22,559,1,,
176,187,6,-76,569,1,,
390,3131,3,-56,569,1,,
65,53,12,0,570,1,,
396,3168,1,-76,574,1,,
222,265,4,1,576,1,,
409,796,8,-22,588,1,,
177,191,10,-81,591,1,,
410,801,8,-80,600,1,,
328,540,6,-81,605,1,,
422,854,3,-56,605,1,,
21,14,6,-50,622,1,,
21,16,8,-63,622,1,,
416,823,6,-44,636,1,,
416,809,4,-63,636,1,,
81,1547,2,-54,651,1,,
81,-1,-1,-999,651,2,v13_piggyback,0.0009267840593141785
60,49,9,-63,653,1,,
12,1260,2,-56,655,1,,
67,56,2,-56,679,1,,
315,500,2,-40,687,1,,
17,14,4,-86,696,1,,
17,12,9,5,696,1,,
82,1547,2,-54,703,1,,
82,66,6,-19,703,1,,
223,271,8,0,707,1,,
105,1650,6,-58,708,1,,
105,-1,-1,-999,708,2,v13_piggyback,0.503680981595092
72,61,6,-50,717,1,,
120,115,8,23,723,1,,
120,1721,1,20,723,1,,
120,-1,-1,-999,723,2,v13_piggyback,0.0038167938931297773
45,35,7,0,727,1,,
32,1336,6,-63,736,1,,
2,9,10,20,739,1,,
85,66,3,-19,742,1,,
18,1280,6,-53,745,1,,
140,140,5,-44,754,1,,
22,16,1,-81,756,1,,
22,3,10,23,756,1,,
212,248,2,-40,758,1,,
40,1366,2,-96,769,1,,
40,1367,5,22,769,1,,
110,103,10,22,785,1,,
187,207,4,-81,794,1,,
303,472,5,-63,799,1,,
59,1451,4,23,803,1,,
88,70,6,-2,815,1,,
0,7,2,16,817,1,,
0,4,6,-32,817,1,,
452,1007,3,-79,825,1,,
474,1120,3,-96,833,1,,
474,1121,6,-32,833,1,,
138,137,4,-74,838,1,,
316,498,6,-79,847,1,,
83,69,3,-74,853,1,,
229,2241,2,-56,857,1,,
243,314,2,-56,862,1,,
106,96,4,-44,874,1,,
463,1063,4,0,881,1,,
250,336,8,-32,881,1,,
107,96,4,-44,888,1,,
304,2631,2,-79,888,1,,
133,131,6,-73,904,1,,
251,337,6,32,912,1,,
188,209,6,-32,918,1,,
405,787,6,18,922,1,,
121,116,6,37,929,1,,
141,140,1,-44,932,1,,
141,138,6,18,932,1,,
248,332,4,25,939,1,,
137,135,6,-24,941,1,,
39,30,6,32,956,1,,
39,24,5,18,956,1,,
227,275,10,36,961,1,,
379,696,5,-24,965,1,,
58,46,11,42,968,1,,
241,311,4,18,971,1,,
134,120,4,-90,982,1,,
134,132,9,48,982,1,,
417,809,1,-63,987,1,,
417,819,2,-89,987,1,,
46,36,7,-5,997,1,,
14,11,6,-90,1003,1,,
14,4,10,-90,1003,1,,
318,506,8,-5,1011,1,,
278,403,3,-96,1019,1,,
433,903,10,-90,1028,1,,
433,-1,-1,-999,1029,2,v13_piggyback,0.18224530168150344
293,444,10,42,1035,1,,
128,120,4,-90,1040,1,,
128,117,4,-90,1040,1,,
1,6,6,-5,1046,1,,
483,1175,3,-96,1054,1,,
376,685,8,-90,1055,1,,
64,52,3,-53,1063,1,,
78,67,6,36,1065,1,,
292,441,5,36,1073,1,,
453,1011,2,-44,1077,1,,
373,678,8,-82,1088,1,,
467,1081,6,-5,1089,1,,
467,-1,-1,-999,1089,2,v13_piggyback,0.30277008310249304
478,3669,2,0,1091,1,,
0,1,1,-24,1093,1,,
177,191,3,-44,1100,1,,
447,975,1,-56,1109,1,,
447,977,4,36,1109,1,,
157,1898,1,-44,1120,1,,
15,11,8,-29,1123,1,,
55,44,12,51,1130,1,,
55,36,11,51,1130,1,,
186,205,4,-5,1139,1,,
275,393,12,57,1157,1,,
129,122,4,-45,1158,1,,
151,1872,1,18,1174,1,,
76,64,10,64,1174,1,,
34,26,12,57,1176,1,,
160,152,5,9,1183,1,,
294,439,9,57,1191,1,,
148,148,4,36,1199,1,,
147,148,7,-70,1201,1,,
330,2781,4,-5,1208,1,,
236,294,4,36,1226,1,,
236,295,5,64,1226,1,,
318,505,10,33,1233,1,,
278,2479,2,-24,1241,1,,
2,9,9,64,1241,1,,
487,1202,4,51,1242,1,,
111,104,4,-29,1250,1,,
170,181,2,56,1251,1,,
468,1081,4,-5,1252,1,,
48,40,4,67,1262,1,,
232,2257,3,-45,1272,1,,
161,152,8,-33,1281,1,,
453,1010,4,-3,1288,1,,
158,160,8,-4,1300,1,,
449,979,12,58,1306,1,,
449,990,8,58,1306,1,,
172,183,2,42,1308,1,,
451,1000,3,-90,1314,1,,
92,79,1,23,1330,1,,
92,84,2,10,1330,1,,
222,2207,3,36,1331,1,,
237,2281,2,10,1337,1,,
347,2885,2,-68,1338,1,,
289,430,2,51,1344,1,,
192,210,2,36,1344,1,,
381,704,7,-13,1352,1,,
184,198,1,-16,1355,1,,
55,1429,7,10,1364,1,,
96,83,4,6,1373,1,,
471,1105,2,-29,1381,1,,
436,925,6,-13,1384,1,,
434,912,6,6,1385,1,,
159,163,12,-13,1400,1,,
0,9,2,-13,1405,1,,
370,668,1,-56,1416,1,,
97,78,6,72,1418,1,,
1,2,7,65,1424,1,,
175,189,1,-13,1427,1,,
282,411,9,-91,1440,1,,
238,299,11,-60,1462,1,,
348,595,2,-99,1470,1,,
448,3478,4,72,1471,1,,
178,193,12,-85,1477,1,,
2,3,6,85,1486,1,,
180,181,8,31,1491,1,,
180,2007,2,31,1491,1,,
406,789,3,-72,1501,1,,
89,76,7,-91,1506,1,,
89,77,11,29,1506,1,,
114,107,4,85,1510,1,,
4,0,11,31,1521,1,,
4,1230,4,31,1521,1,,
4,6,8,66,1521,1,,
70,59,9,76,1521,1,,
368,657,6,85,1522,1,,
259,356,10,29,1537,1,,
94,75,3,66,1539,1,,
94,1601,10,40,1539,1,,
369,664,12,-72,1540,1,,
371,657,2,85,1547,1,,
188,211,8,-60,1551,1,,
158,1906,3,-16,1560,1,,
158,164,4,53,1560,1,,
158,162,9,40,1560,1,,
111,104,8,78,1561,1,,
3,1,8,90,1575,1,,
5,5,11,-85,1575,1,,
263,367,6,68,1599,1,,
200,226,6,76,1614,1,,
39,29,12,69,1620,1,,
322,520,8,31,1633,1,,
68,57,6,49,1636,1,,
68,51,10,68,1636,1,,
189,211,6,66,1642,1,,
176,168,3,-60,1644,1,,
176,189,2,49,1644,1,,
46,36,9,39,1646,1,,
46,1,9,39,1646,1,,
69,43,2,-85,1651,1,,
69,58,4,-85,1651,1,,
318,506,5,6,1652,1,,
308,483,5,40,1659,1,,
0,5,4,29,1661,1,,
475,1125,6,53,1669,1,,
255,350,12,39,1673,1,,
204,232,4,-85,1676,1,,
370,664,6,49,1679,1,,
28,18,4,-85,1683,1,,
205,235,10,39,1687,1,,
129,120,4,-60,1695,1,,
152,154,7,69,1700,1,,
130,120,4,-60,1711,1,,
334,554,4,-85,1719,1,,
47,36,4,49,1721,1,,
160,166,8,39,1726,1,,
75,63,7,90,1737,1,,
335,554,2,-85,1749,1,,
208,2138,4,29,1754,1,,
208,-1,-1,-999,1754,2,v13_piggyback,0.1689523809523809
157,161,12,92,1756,1,,
439,939,4,-85,1764,1,,
144,144,9,14,1769,1,,
438,937,6,30,1773,1,,
78,1536,10,14,1783,1,,
102,91,4,68,1789,1,,
302,466,3,-60,1795,1,,
48,36,2,91,1795,1,,
48,27,6,92,1795,1,,
333,552,11,-62,1804,1,,
286,422,7,92,1807,1,,
303,466,3,-60,1809,1,,
256,349,6,14,1818,1,,
114,108,4,72,1820,1,,
1,1,8,54,1830,1,,
1,6,3,54,1830,1,,
300,462,8,27,1831,1,,
109,102,6,39,1848,1,,
63,51,10,54,1857,1,,
2,8,11,102,1873,1,,
3,1,6,27,1877,1,,
427,873,8,27,1888,1,,
