tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
651,81,1547,B,v13_piggyback
708,105,1650,B,v13_piggyback
723,120,1721,B,v13_piggyback
1029,433,903,A,v13_piggyback
1089,467,1081,A,v13_piggyback
1754,208,2138,B,v13_piggyback
2714,382,704,A,v13_piggyback
3581,309,481,A,v13_fetch
3646,74,1516,B,v13_piggyback
3682,259,353,A,v13_piggyback
4462,340,568,A,v13_piggyback
5543,428,880,A,v13_piggyback
5750,206,227,A,v13_piggyback
6512,306,466,A,v13_piggyback
6512,306,476,A,v13_piggyback
7153,266,375,A,v13_fetch
7576,361,635,A,v13_fetch
7935,309,479,A,v13_fetch
7935,309,481,A,v13_fetch
8189,10,1251,B,v13_piggyback
8204,203,227,A,v13_fetch
8388,450,993,A,v13_fetch
8465,210,2147,B,v13_piggyback
8842,61,1459,B,v13_piggyback
9015,40,1367,B,v13_piggyback
9135,476,1133,A,v13_piggyback
9539,419,841,A,v13_piggyback
9579,406,788,A,v13_piggyback
9648,336,2820,B,v13_piggyback
9805,21,1290,B,v13_piggyback
9966,343,579,A,v13_piggyback
10252,359,630,A,v13_piggyback
10252,359,2954,B,v13_piggyback
10835,98,84,A,v13_piggyback
11539,303,466,A,v13_piggyback
11969,330,540,A,v13_piggyback
12797,305,466,A,v13_piggyback
12857,97,1613,B,v13_piggyback
12857,97,84,A,v13_piggyback
13059,379,699,A,v13_piggyback
13335,351,604,A,v13_piggyback
13742,304,466,A,v13_piggyback
14484,359,630,A,v13_fetch
15508,341,568,A,v13_piggyback
15797,380,699,A,v13_fetch
16204,20,0,A,v13_fetch
16204,20,1287,B,v13_fetch
16772,359,630,A,v13_fetch
17056,18,0,A,v13_piggyback
17056,18,2,A,v13_piggyback
17056,18,1283,B,v13_piggyback
17149,155,154,A,v13_piggyback
17149,155,1888,B,v13_piggyback
17149,155,1890,B,v13_piggyback
17377,416,819,A,v13_piggyback
18212,128,1761,B,v13_piggyback
18878,96,84,A,v13_fetch
19004,417,819,A,v13_fetch
19004,417,830,A,v13_fetch
19370,345,586,A,v13_piggyback
19844,95,84,A,v13_fetch
20223,222,2209,B,v13_piggyback
20811,98,84,A,v13_fetch
20944,255,2372,B,v13_piggyback
20944,255,348,A,v13_piggyback
20944,255,349,A,v13_piggyback
21019,308,479,A,v13_piggyback
21019,308,481,A,v13_piggyback
21019,308,482,A,v13_piggyback
21760,303,466,A,v13_piggyback
21760,303,468,A,v13_piggyback
21861,94,84,A,v13_fetch
22025,0,0,A,v13_piggyback
22025,0,2,A,v13_piggyback
22315,435,913,A,v13_piggyback
22315,435,914,A,v13_piggyback
22612,43,1380,B,v13_piggyback
22612,43,1382,B,v13_piggyback
23006,2,0,A,v13_piggyback
23006,2,2,A,v13_piggyback
23006,2,1224,B,v13_piggyback
23299,300,460,A,v13_fetch
24558,261,355,A,v13_fetch
24558,261,356,A,v13_fetch
24558,261,358,A,v13_fetch
25122,247,319,A,v13_piggyback
25122,247,324,A,v13_piggyback
25126,1,0,A,v13_piggyback
25126,1,2,A,v13_piggyback
25205,256,348,A,v13_fetch
25205,256,349,A,v13_fetch
25216,92,76,A,v13_piggyback
25216,92,84,A,v13_piggyback
25368,128,1761,B,v13_fetch
25693,335,553,A,v13_fetch
25693,335,554,A,v13_fetch
25693,335,558,A,v13_fetch
25909,336,553,A,v13_fetch
26264,267,374,A,v13_fetch
26264,267,380,A,v13_fetch
26264,267,379,A,v13_fetch
26273,289,425,A,v13_fetch
26273,289,428,A,v13_fetch
26712,158,159,A,v13_fetch
26712,158,161,A,v13_fetch
26808,44,31,A,v13_fetch
26808,44,34,A,v13_fetch
26808,44,1385,B,v13_fetch
26826,346,583,A,v13_fetch
26826,346,586,A,v13_fetch
26872,351,604,A,v13_piggyback
26872,351,608,A,v13_piggyback
26883,338,2832,B,v13_fetch
26890,339,565,A,v13_fetch
26890,339,567,A,v13_fetch
27260,14,0,A,v13_fetch
27260,14,2,A,v13_fetch
27260,14,11,A,v13_fetch
27364,236,288,A,v13_piggyback
27364,236,290,A,v13_piggyback
27364,236,295,A,v13_piggyback
27609,325,523,A,v13_piggyback
27609,325,531,A,v13_piggyback
27625,106,92,A,v13_piggyback
27625,106,93,A,v13_piggyback
27625,106,96,A,v13_piggyback
27625,106,98,A,v13_piggyback
27625,106,99,A,v13_piggyback
27663,452,1004,A,v13_fetch
27663,452,1007,A,v13_fetch
27673,352,608,A,v13_fetch
27674,306,466,A,v13_fetch
27674,306,476,A,v13_fetch
27685,6,0,A,v13_piggyback
27685,6,2,A,v13_piggyback
27685,6,1233,B,v13_piggyback
27805,93,1594,B,v13_fetch
27805,93,84,A,v13_fetch
27818,328,539,A,v13_fetch
27818,328,540,A,v13_fetch
27878,265,370,A,v13_piggyback
27878,265,371,A,v13_piggyback
27878,265,374,A,v13_piggyback
28025,318,2710,B,v13_piggyback
28025,318,506,A,v13_piggyback
