order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-66,0,1,60,picker-3,59,60
-87,0,1,60,picker-3,59,60
-57,0,1,151,picker-2,150,151
-43,0,1,168,picker-3,167,168
-75,0,2,168,picker-3,166,168
-18,0,1,187,picker-2,186,187
-46,0,1,201,picker-1,200,201
-51,0,2,213,picker-3,211,213
-98,0,2,291,picker-3,289,291
-11,0,61,307,picker-3,246,307
-69,0,61,307,picker-3,246,307
-26,0,2,319,picker-3,317,319
-49,0,2,325,picker-3,323,325
-42,0,1,334,picker-1,333,334
-52,0,1,348,picker-1,347,348
-48,0,1,356,picker-1,355,356
-31,0,152,358,picker-2,206,358
-23,0,1,375,picker-2,374,375
-64,0,1,400,picker-2,399,400
-1,0,169,407,picker-3,238,407
7,180,202,411,picker-1,209,231
-38,0,214,427,picker-3,213,427
-27,0,169,432,picker-3,263,432
8,180,188,434,picker-2,246,254
-47,0,1,465,picker-2,464,465
-55,0,1,492,picker-2,491,492
-35,0,1,507,picker-2,506,507
-14,0,308,529,picker-3,221,529
-21,0,335,540,picker-1,205,540
-15,0,308,541,picker-3,233,541
-76,0,359,574,picker-2,215,574
1,60,412,576,picker-1,164,516
-22,0,349,588,picker-1,239,588
-80,0,357,600,picker-1,243,600
-86,0,428,696,picker-3,268,696
5,120,433,696,picker-3,263,576
-54,0,1,703,picker-1,702,703
-58,0,1,708,picker-2,707,708
-50,0,320,717,picker-3,397,717
20,360,466,739,picker-2,273,379
-40,0,1,749,picker-1,748,749
-19,0,541,754,picker-1,213,754
22,420,508,785,picker-2,277,365
-81,0,401,794,picker-2,393,794
-2,0,577,805,picker-1,228,805
16,300,493,808,picker-2,315,508
-74,0,601,859,picker-1,258,859
-79,0,589,869,picker-1,280,869
-73,0,704,878,picker-1,174,878
-32,0,575,916,picker-2,341,916
32,600,697,927,picker-3,230,327
25,480,740,931,picker-2,191,451
37,660,709,942,picker-2,233,282
-63,0,408,989,picker-3,581,989
-89,0,530,989,picker-3,459,989
48,780,806,997,picker-1,191,217
-96,0,376,1021,picker-2,645,1021
-53,0,542,1027,picker-3,485,1027
-82,0,860,1052,picker-1,192,1052
18,360,697,1090,picker-3,393,730
0,60,326,1100,picker-3,774,1040
-44,0,292,1103,picker-3,811,1103
-5,0,795,1181,picker-2,386,1181
-70,0,998,1182,picker-1,184,1182
-4,0,990,1197,picker-3,207,1197
9,240,990,1197,picker-3,207,957
51,840,932,1198,picker-2,266,358
56,840,1028,1202,picker-3,174,362
23,420,435,1204,picker-2,769,784
67,1020,1022,1215,picker-2,193,195
-90,0,755,1218,picker-1,463,1218
-10,0,809,1220,picker-2,411,1220
-24,0,718,1239,picker-3,521,1239
-45,0,879,1244,picker-1,365,1244
64,960,1053,1265,picker-1,212,305
-33,0,1091,1281,picker-3,190,1281
-3,0,928,1303,picker-3,375,1303
65,960,1101,1310,picker-3,209,350
36,660,750,1312,picker-1,562,652
-68,0,1,1321,picker-1,1320,1321
-99,0,1183,1325,picker-1,142,1325
42,720,786,1334,picker-2,548,614
31,600,1104,1356,picker-3,252,756
72,1140,1182,1357,picker-2,175,217
-29,0,870,1393,picker-1,523,1393
-56,0,1,1396,picker-1,1395,1396
58,900,1199,1399,picker-2,200,499
78,1200,1205,1452,picker-2,247,252
-72,0,1245,1462,picker-1,217,1462
85,1260,1266,1492,picker-1,226,232
-13,0,1198,1511,picker-3,313,1511
33,600,917,1576,picker-2,659,976
90,1320,1322,1577,picker-1,255,257
14,300,1400,1649,picker-2,249,1349
60,900,1463,1652,picker-1,189,752
66,1020,1198,1659,picker-3,461,639
53,840,1282,1677,picker-3,395,837
68,1020,1394,1701,picker-1,307,681
40,720,1304,1707,picker-3,403,987
11,240,1221,1757,picker-2,536,1517
93,1500,1577,1805,picker-2,228,305
91,1440,1453,1812,picker-2,359,372
30,600,1660,1849,picker-3,189,1249
-37,0,1493,1920,picker-1,427,1920
10,240,943,1923,picker-2,980,1683
-62,0,1678,1935,picker-3,257,1935
102,1620,1653,1939,picker-1,286,319
76,1200,1397,1947,picker-1,550,747
-91,0,1358,1949,picker-2,591,1949
69,1080,1326,1959,picker-1,633,879
81,1200,1708,1978,picker-3,270,778
-12,0,1216,1980,picker-2,764,1980
75,1140,1702,1980,picker-1,278,840
49,840,1313,1988,picker-1,675,1148
54,840,1311,2004,picker-3,693,1164
-85,0,1240,2036,picker-3,796,2036
38,720,1578,2039,picker-1,461,1319
17,300,1813,2058,picker-2,245,1758
47,780,1219,2073,picker-1,854,1293
28,600,1357,2095,picker-3,738,1495
92,1440,1850,2110,picker-3,260,670
111,1860,1921,2113,picker-1,192,253
-7,0,1512,2118,picker-3,606,2118
77,1200,1950,2129,picker-2,179,929
109,1800,1936,2129,picker-3,193,329
26,480,1650,2151,picker-2,501,1671
-16,0,1203,2165,picker-3,962,2165
-92,0,1806,2191,picker-2,385,2191
100,1620,1758,2221,picker-2,463,601
-17,0,1982,2234,picker-2,252,2234
3,60,1335,2242,picker-2,907,2182
