tick,pod_id,sku,item_class,trigger
110,179,2001,B,v13_piggyback
310,105,1650,B,v13_piggyback
708,105,1650,B,v13_piggyback
1012,433,903,A,v13_piggyback
1147,467,1081,A,v13_piggyback
1730,329,540,A,v13_piggyback
1939,309,481,A,v13_piggyback
2290,486,1195,A,v13_piggyback
2678,351,604,A,v13_piggyback
3462,306,466,A,v13_piggyback
3757,382,704,A,v13_piggyback
3924,74,1516,B,v13_piggyback
4459,429,886,A,v13_piggyback
4662,428,880,A,v13_piggyback
4771,208,2138,B,v13_piggyback
4786,204,227,A,v13_piggyback
4985,155,1890,B,v13_piggyback
5095,450,993,A,v13_piggyback
5128,205,227,A,v13_piggyback
5274,152,1876,B,v13_piggyback
5875,467,1081,A,v13_piggyback
6427,10,1251,B,v13_piggyback
6692,406,788,A,v13_piggyback
6746,201,227,A,v13_fetch
7110,201,227,A,v13_piggyback
7471,408,3242,B,v13_piggyback
7750,93,84,A,v13_piggyback
7959,362,635,A,v13_piggyback
7980,210,2147,B,v13_piggyback
8163,473,1115,A,v13_piggyback
8426,40,1367,B,v13_piggyback
8470,61,1459,B,v13_piggyback
8525,309,481,A,v13_piggyback
8644,341,567,A,v13_piggyback
8644,341,568,A,v13_piggyback
8923,307,466,A,v13_piggyback
8945,306,466,A,v13_piggyback
9017,252,343,A,v13_piggyback
9056,336,2820,B,v13_piggyback
9116,305,466,A,v13_piggyback
9572,244,312,A,v13_piggyback
9616,476,1133,A,v13_piggyback
10066,276,2469,B,v13_piggyback
10565,236,288,A,v13_piggyback
10565,236,295,A,v13_piggyback
10594,50,1411,B,v13_piggyback
10762,95,84,A,v13_piggyback
10938,21,1290,B,v13_piggyback
10978,480,1154,A,v13_piggyback
10987,259,356,A,v13_piggyback
11019,318,506,A,v13_piggyback
11354,362,635,A,v13_piggyback
11833,268,374,A,v13_piggyback
12023,333,2798,B,v13_piggyback
12765,305,466,A,v13_piggyback
13400,359,630,A,v13_piggyback
13414,163,1926,B,v13_fetch
13430,330,539,A,v13_piggyback
13430,330,540,A,v13_piggyback
13452,350,604,A,v13_fetch
13797,359,630,A,v13_piggyback
13827,302,466,A,v13_fetch
13955,305,466,A,v13_piggyback
13976,474,1123,A,v13_piggyback
14054,97,1613,B,v13_piggyback
14054,97,84,A,v13_piggyback
14196,261,356,A,v13_piggyback
14289,255,2372,B,v13_piggyback
14366,103,1642,B,v13_piggyback
14640,24,1300,B,v13_piggyback
14913,380,699,A,v13_piggyback
14988,358,630,A,v13_fetch
15305,478,1141,A,v13_fetch
15618,305,466,A,v13_piggyback
15618,305,476,A,v13_piggyback
15769,20,0,A,v13_piggyback
15769,20,1287,B,v13_piggyback
16006,340,568,A,v13_fetch
16153,20,1287,B,v13_piggyback
16442,278,2480,B,v13_piggyback
16535,340,568,A,v13_piggyback
16559,446,973,A,v13_piggyback
16579,106,99,A,v13_fetch
16672,321,515,A,v13_piggyback
16712,32,18,A,v13_piggyback
16712,32,1335,B,v13_piggyback
16743,212,246,A,v13_fetch
16762,2,0,A,v13_fetch
16762,2,2,A,v13_fetch
16898,370,3016,B,v13_piggyback
16966,155,1888,B,v13_piggyback
17028,285,417,A,v13_piggyback
17141,363,644,A,v13_piggyback
17216,179,2001,B,v13_piggyback
17483,380,699,A,v13_piggyback
17545,345,586,A,v13_fetch
17599,438,913,A,v13_piggyback
17599,438,935,A,v13_piggyback
17864,416,819,A,v13_piggyback
17976,304,466,A,v13_piggyback
17976,304,468,A,v13_piggyback
17987,406,788,A,v13_piggyback
18096,128,1761,B,v13_piggyback
18295,417,819,A,v13_piggyback
18295,417,830,A,v13_piggyback
18399,462,1048,A,v13_piggyback
18399,462,1056,A,v13_piggyback
18407,313,492,A,v13_piggyback
18499,155,1888,B,v13_piggyback
18639,9,0,A,v13_piggyback
18639,9,2,A,v13_piggyback
18682,178,186,A,v13_piggyback
18682,178,1996,B,v13_piggyback
18804,308,481,A,v13_piggyback
18804,308,482,A,v13_piggyback
19123,259,353,A,v13_piggyback
19123,259,356,A,v13_piggyback
19439,222,2209,B,v13_piggyback
19439,222,268,A,v13_piggyback
19774,346,586,A,v13_piggyback
19821,433,902,A,v13_piggyback
19821,433,903,A,v13_piggyback
19829,277,2476,B,v13_piggyback
20005,281,405,A,v13_piggyback
20110,470,1097,A,v13_piggyback
20487,128,1761,B,v13_piggyback
20496,18,0,A,v13_piggyback
20496,18,2,A,v13_piggyback
20496,18,1283,B,v13_piggyback
20692,397,755,A,v13_piggyback
20853,95,84,A,v13_piggyback
20863,2,0,A,v13_fetch
20863,2,2,A,v13_fetch
21128,247,324,A,v13_piggyback
21214,257,348,A,v13_fetch
21214,257,349,A,v13_fetch
21214,257,353,A,v13_fetch
21216,338,2832,B,v13_piggyback
