order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-16,0,1,51,picker-2,50,51
-63,0,1,96,picker-3,95,96
-42,0,1,117,picker-2,116,117
-33,0,1,229,picker-3,228,229
-100,0,1,234,picker-2,233,234
-72,0,52,348,picker-2,296,348
-43,0,118,348,picker-2,230,348
0,60,97,380,picker-3,283,320
-93,0,1,462,picker-2,461,462
-11,0,1,476,picker-3,475,476
-68,0,235,510,picker-2,275,510
-12,0,230,519,picker-3,289,519
-96,0,1,528,picker-3,527,528
-4,0,1,561,picker-3,560,561
-13,0,349,566,picker-2,217,566
-88,0,381,584,picker-3,203,584
-84,0,349,595,picker-2,246,595
-8,0,1,616,picker-2,615,616
-10,0,1,620,picker-3,619,620
11,420,477,643,picker-3,166,223
-82,0,1,645,picker-2,644,645
-27,0,463,668,picker-2,205,668
-85,0,511,675,picker-2,164,675
-58,0,520,679,picker-3,159,679
-73,0,1,711,picker-1,710,711
-92,0,529,729,picker-3,200,729
-83,0,596,792,picker-2,196,792
14,540,617,845,picker-2,228,305
-29,0,680,882,picker-3,202,882
-87,0,621,908,picker-3,287,908
-53,0,585,914,picker-3,329,914
-48,0,644,929,picker-3,285,929
15,540,676,943,picker-2,267,403
-50,0,1,961,picker-1,960,961
-66,0,730,966,picker-3,236,966
-69,0,1,980,picker-1,979,980
8,300,793,988,picker-2,195,688
-38,0,562,996,picker-3,434,996
-62,0,1,1040,picker-1,1039,1040
-71,0,883,1040,picker-3,157,1040
3,120,846,1082,picker-2,236,962
-54,0,1,1093,picker-1,1092,1093
-30,0,909,1115,picker-3,206,1115
-6,0,944,1159,picker-2,215,1159
-23,0,989,1186,picker-2,197,1186
-17,0,981,1194,picker-1,213,1194
-36,0,962,1202,picker-1,240,1202
-14,0,967,1215,picker-3,248,1215
-78,0,567,1215,picker-2,648,1215
-55,0,669,1244,picker-2,575,1244
2,120,646,1251,picker-2,605,1131
1,60,1041,1283,picker-1,242,1223
-94,0,1094,1294,picker-1,200,1294
22,960,1083,1314,picker-2,231,354
-64,0,1160,1377,picker-2,217,1377
-56,0,1195,1429,picker-1,234,1429
-51,0,1,1432,picker-1,1431,1432
-24,0,712,1471,picker-1,759,1471
-1,0,1216,1486,picker-2,270,1486
-97,0,1203,1496,picker-1,293,1496
-95,0,997,1507,picker-3,510,1507
23,1080,1116,1520,picker-3,404,440
-81,0,930,1554,picker-3,624,1554
-91,0,1217,1569,picker-3,352,1569
-20,0,1042,1576,picker-3,534,1576
31,1380,1430,1626,picker-1,196,246
27,1140,1508,1664,picker-3,156,524
21,900,1433,1675,picker-1,242,775
-80,0,1521,1680,picker-3,159,1680
-39,0,1295,1689,picker-1,394,1689
-44,0,1487,1719,picker-2,232,1719
30,1200,1378,1755,picker-2,377,555
-52,0,1284,1783,picker-1,499,1783
-86,0,1187,1802,picker-2,615,1802
-77,0,1245,1817,picker-2,572,1817
-5,0,1555,1826,picker-3,271,1826
-59,0,1252,1894,picker-2,642,1894
16,600,1497,1905,picker-1,408,1305
-74,0,1627,1920,picker-1,293,1920
-49,0,1720,1951,picker-2,231,1951
19,780,1681,1979,picker-3,298,1199
-67,0,1690,1999,picker-1,309,1999
-45,0,1315,2021,picker-2,706,2021
-18,0,1676,2065,picker-1,389,2065
32,1500,1665,2104,picker-3,439,604
35,1620,1906,2124,picker-1,218,504
-2,0,1577,2156,picker-3,579,2156
43,1800,1921,2200,picker-1,279,400
-22,0,1472,2217,picker-1,745,2217
-9,0,1570,2226,picker-3,656,2226
39,1740,1784,2229,picker-1,445,489
37,1620,2000,2233,picker-1,233,613
-98,0,1980,2234,picker-3,254,2234
-60,0,2022,2260,picker-2,238,2260
33,1500,1827,2283,picker-3,456,783
9,360,1895,2338,picker-2,443,1978
-79,0,1818,2364,picker-2,546,2364
47,1980,2201,2383,picker-1,182,403
46,1920,1952,2420,picker-2,468,500
12,480,1803,2478,picker-2,675,1998
-47,0,2261,2515,picker-2,254,2515
51,2100,2218,2577,picker-1,359,477
59,2280,2284,2623,picker-3,339,343
6,240,2066,2695,picker-1,629,2455
56,2220,2227,2711,picker-3,484,491
18,780,2105,2734,picker-3,629,1954
45,1860,2339,2742,picker-2,403,882
54,2160,2235,2770,picker-3,535,610
-25,0,2230,2774,picker-1,544,2774
-7,0,2479,2786,picker-2,307,2786
5,240,2157,2788,picker-3,631,2548
52,2100,2365,2868,picker-2,503,768
-34,0,2125,2895,picker-1,770,2895
-75,0,2578,2903,picker-1,325,2903
-99,0,2384,3004,picker-1,620,3004
78,2640,2696,3012,picker-1,316,372
49,2040,2775,3030,picker-1,255,990
62,2340,2624,3034,picker-3,410,694
74,2580,2712,3034,picker-3,322,454
70,2520,2789,3118,picker-3,329,598
-26,0,1756,3126,picker-2,1370,3126
82,2760,2771,3169,picker-3,398,409
29,1200,2896,3187,picker-1,291,1987
60,2280,2787,3193,picker-2,406,913
7,300,2869,3237,picker-2,368,2937
34,1500,2421,3246,picker-2,825,1746
75,2640,3035,3260,picker-3,225,620
65,2460,2735,3281,picker-3,546,821
55,2220,3035,3284,picker-3,249,1064
63,2400,2516,3316,picker-2,800,916
10,420,2234,3322,picker-1,1088,2902
72,2580,2904,3337,picker-1,433,757
96,3120,3188,3380,picker-1,192,260
66,2460,3005,3405,picker-1,400,945
85,2820,3031,3411,picker-1,380,591
92,3060,3119,3430,picker-3,311,370
93,3120,3170,3444,picker-3,274,324
88,3000,3261,3466,picker-3,205,466
50,2040,3013,3485,picker-1,472,1445
91,3060,3282,3504,picker-3,222,444
61,2340,3285,3514,picker-3,229,1174
80,2700,3247,3560,picker-2,313,860
87,2940,3238,3572,picker-2,334,632
-28,0,3431,3644,picker-3,213,3644
-21,0,2743,3688,picker-2,945,3688
68,2520,3194,3700,picker-2,506,1180
94,3120,3467,3726,picker-3,259,606
58,2220,3317,3799,picker-2,482,1579
90,3060,3701,3936,picker-2,235,876
98,3240,3800,4072,picker-2,272,832
-70,0,3573,4094,picker-2,521,4094
-40,0,3561,4106,picker-2,545,4106
103,3420,3727,4127,picker-3,400,707
-15,0,3689,4145,picker-2,456,4145
86,2880,3486,4145,picker-1,659,1265
77,2640,3127,4168,picker-2,1041,1528
126,3900,3937,4197,picker-2,260,297
73,2580,3445,4199,picker-3,754,1619
57,2220,3412,4215,picker-1,803,1995
-90,0,3323,4255,picker-1,932,4255
-76,0,3515,4256,picker-3,741,4256
-61,0,3505,4263,picker-3,758,4263
107,3540,3645,4278,picker-3,633,738
102,3420,4073,4313,picker-2,240,893
71,2520,4128,4325,picker-3,197,1805
99,3360,3381,4330,picker-1,949,970
-32,0,3338,4352,picker-1,1014,4352
116,3600,4146,4360,picker-1,214,760
124,3900,4200,4429,picker-3,229,529
115,3600,4256,4544,picker-1,288,944
100,3360,4169,4663,picker-2,494,1303
119,3660,4314,4690,picker-2,376,1030
125,3900,4147,4712,picker-2,565,812
109,3540,4107,4754,picker-2,647,1214
69,2520,4198,4760,picker-2,562,2240
104,3480,4095,4777,picker-2,682,1297
147,4440,4664,4831,picker-2,167,391
156,4680,4691,4860,picker-2,169,180
142,4320,4545,4890,picker-1,345,570
67,2460,4257,4930,picker-3,673,2470
159,4800,4832,5013,picker-2,181,213
25,1080,4264,5017,picker-3,753,3937
-37,0,4279,5031,picker-3,752,5031
139,4320,4361,5040,picker-1,679,720
128,3960,4326,5054,picker-3,728,1094
143,4380,4755,5056,picker-2,301,676
129,4020,4891,5081,picker-1,190,1061
4,180,4430,5088,picker-3,658,4908
64,2400,4216,5106,picker-1,890,2706
140,4320,4713,5131,picker-2,418,811
110,3540,4353,5131,picker-1,778,1591
154,4620,4761,5138,picker-2,377,518
76,2640,4861,5149,picker-2,288,2509
131,4080,5018,5204,picker-3,186,1124
136,4260,4778,5288,picker-2,510,1028
141,4320,5132,5366,picker-1,234,1046
168,4980,5089,5371,picker-3,282,391
24,1080,4931,5397,picker-3,466,4317
135,4260,5150,5417,picker-2,267,1157
160,4800,5055,5463,picker-3,408,663
145,4380,5032,5467,picker-3,435,1087
101,3360,5205,5473,picker-3,268,2113
28,1200,5107,5515,picker-1,408,4315
127,3900,5041,5548,picker-1,507,1648
178,5340,5372,5562,picker-3,190,222
138,4260,5057,5565,picker-2,508,1305
148,4440,5289,5611,picker-2,322,1171
26,1140,4331,5645,picker-1,1314,4505
95,3120,3406,5659,picker-1,2253,2539
166,4920,5464,5661,picker-3,197,741
152,4620,5398,5666,picker-3,268,1046
177,5220,5367,5671,picker-1,304,451
108,3540,5014,5680,picker-2,666,2140
170,5040,5418,5726,picker-2,308,686
185,5520,5549,5733,picker-1,184,213
181,5460,5566,5939,picker-2,373,479
179,5400,5734,6007,picker-1,273,607
176,5220,5516,6063,picker-1,547,843
183,5460,5667,6072,picker-3,405,612
118,3660,5660,6078,picker-1,418,2418
134,4200,5672,6096,picker-1,424,1896
105,3480,5563,6101,picker-3,538,2621
149,4500,5474,6115,picker-3,641,1615
189,5640,5646,6119,picker-1,473,479
113,3600,5662,6135,picker-3,473,2535
165,4920,5612,6156,picker-2,544,1236
174,5160,5681,6206,picker-2,525,1046
169,5040,6008,6222,picker-1,214,1182
84,2820,5139,6224,picker-2,1085,3404
184,5520,6073,6234,picker-3,161,714
193,5700,5727,6264,picker-2,537,564
201,5820,5940,6268,picker-2,328,448
150,4560,5133,6362,picker-2,1229,1802
206,5940,6116,6389,picker-3,273,449
186,5580,6136,6407,picker-3,271,827
114,3600,6064,6470,picker-1,406,2870
196,5760,6157,6473,picker-2,316,713
-89,0,6102,6487,picker-3,385,6487
207,6060,6223,6518,picker-1,295,458
187,5640,6097,6525,picker-1,428,885
217,6240,6269,6536,picker-2,267,296
44,1800,6120,6549,picker-1,429,4749
211,6120,6235,6550,picker-3,315,430
97,3180,5468,6564,picker-3,1096,3384
106,3540,6079,6567,picker-1,488,3027
215,6240,6363,6608,picker-2,245,368
167,4920,6390,6609,picker-3,219,1689
221,6420,6474,6681,picker-2,207,261
195,5700,6225,6721,picker-2,496,1021
-3,0,6207,6779,picker-2,572,6779
216,6240,6265,6796,picker-2,531,556
219,6360,6609,6835,picker-2,226,475
180,5400,6551,6918,picker-3,367,1518
188,5640,6537,6955,picker-2,418,1315
212,6180,6565,6978,picker-3,413,798
130,4020,6550,7003,picker-1,453,2983
198,5760,6488,7032,picker-3,544,1272
122,3840,6408,7045,picker-3,637,3205
132,4200,6568,7076,picker-1,508,2876
161,4800,6526,7089,picker-1,563,2289
38,1740,6471,7180,picker-1,709,5440
17,720,6519,7190,picker-1,671,6470
182,5460,6797,7215,picker-2,418,1755
190,5640,6780,7259,picker-2,479,1619
220,6360,6956,7301,picker-2,345,941
202,5880,6682,7321,picker-2,639,1441
203,5880,6836,7363,picker-2,527,1483
224,6420,6722,7380,picker-2,658,960
81,2700,7216,7458,picker-2,242,4758
210,6120,7033,7505,picker-3,472,1385
238,7080,7302,7505,picker-2,203,425
245,7200,7260,7523,picker-2,263,323
157,4680,7191,7535,picker-1,344,2855
172,5100,7364,7582,picker-2,218,2482
146,4440,7004,7612,picker-1,608,3172
133,4200,7046,7640,picker-3,594,3440
204,5940,6979,7683,picker-3,704,1743
20,840,6610,7700,picker-3,1090,6860
235,7080,7507,7728,picker-3,221,648
36,1620,6919,7757,picker-3,838,6137
213,6180,7381,7826,picker-2,445,1646
247,7200,7583,7843,picker-2,260,643
197,5760,7613,7946,picker-1,333,2186
236,7080,7459,7966,picker-2,507,886
230,6780,7536,7966,picker-1,430,1186
249,7260,7827,7987,picker-2,160,727
214,6240,7077,7993,picker-1,916,1753
89,3000,7524,7998,picker-2,474,4998
232,6900,7090,8019,picker-1,929,1119
194,5700,7181,8030,picker-1,849,2330
228,6660,7947,8110,picker-1,163,1450
163,4860,7844,8123,picker-2,279,3263
264,7740,7967,8159,picker-1,192,419
265,7800,7994,8176,picker-1,182,376
261,7680,7968,8220,picker-2,252,540
257,7560,7641,8251,picker-3,610,691
253,7440,7701,8260,picker-3,559,820
153,4620,7758,8270,picker-3,512,3650
260,7680,7684,8279,picker-3,595,599
240,7140,8031,8316,picker-1,285,1176
255,7500,7729,8332,picker-3,603,832
79,2640,7999,8337,picker-2,338,5697
121,3840,8020,8339,picker-1,319,4499
155,4680,7506,8348,picker-2,842,3668
246,7200,7322,8397,picker-2,1075,1197
256,7560,8252,8463,picker-3,211,903
274,8100,8160,8472,picker-1,312,372
242,7200,8221,8499,picker-2,278,1299
279,8280,8317,8507,picker-1,190,227
162,4800,8177,8562,picker-1,385,3762
263,7740,8340,8576,picker-1,236,836
280,8280,8349,8607,picker-2,258,327
273,8040,8111,8608,picker-1,497,568
254,7500,8338,8615,picker-2,277,1115
231,6780,7988,8639,picker-2,651,1859
252,7380,8333,8702,picker-3,369,1322
269,7860,8500,8711,picker-2,211,851
173,5100,8271,8718,picker-3,447,3618
267,7800,8398,8719,picker-2,321,919
233,6960,8124,8755,picker-2,631,1795
293,8580,8608,8817,picker-2,209,237
275,8160,8261,8832,picker-3,571,672
288,8400,8464,8839,picker-3,375,439
192,5640,8280,8856,picker-3,576,3216
291,8580,8640,8860,picker-2,220,280
286,8340,8703,8879,picker-3,176,539
209,6120,8616,8889,picker-2,273,2769
296,8640,8719,8942,picker-3,223,302
-46,0,915,8955,picker-3,8040,8955
285,8340,8833,9010,picker-3,177,670
284,8340,8756,9044,picker-2,288,704
287,8340,8840,9053,picker-3,213,713
-31,0,8508,9135,picker-1,627,9135
227,6600,8609,9159,picker-1,550,2559
268,7800,8861,9214,picker-2,353,1414
225,6480,8577,9273,picker-1,696,2793
229,6660,8563,9287,picker-1,724,2627
298,8700,9136,9322,picker-1,186,622
314,9000,9160,9335,picker-1,175,335
42,1800,8473,9350,picker-1,877,7550
300,8700,9054,9373,picker-3,319,673
244,7200,8720,9381,picker-2,661,2181
294,8580,9215,9406,picker-2,191,826
243,7200,8943,9409,picker-3,466,2209
319,9240,9288,9449,picker-1,161,209
299,8700,8857,9479,picker-3,622,779
311,8880,8890,9504,picker-2,614,624
295,8640,9323,9515,picker-1,192,875
305,8760,8956,9531,picker-3,575,771
316,9000,9045,9560,picker-2,515,560
239,7140,9011,9562,picker-3,551,2422
310,8880,8880,9568,picker-3,688,688
323,9360,9382,9618,picker-2,236,258
325,9360,9407,9638,picker-2,231,278
322,9300,9374,9689,picker-3,315,389
330,9480,9505,9699,picker-2,194,219
13,480,8712,9719,picker-2,1007,9239
248,7200,8818,9758,picker-2,940,2558
335,9600,9619,9812,picker-2,193,212
329,9420,9561,9821,picker-2,260,401
315,9000,9639,9853,picker-2,214,853
313,8940,9480,9887,picker-3,407,947
297,8640,9410,9900,picker-3,490,1260
270,7920,9336,9901,picker-1,565,1981
302,8700,9450,9913,picker-1,463,1213
321,9300,9516,9950,picker-1,434,650
332,9540,9759,9953,picker-2,194,413
301,8700,9351,9956,picker-1,605,1256
199,5760,9274,9960,picker-1,686,4200
278,8280,9700,9961,picker-2,261,1681
205,5940,9813,9993,picker-2,180,4053
317,9060,9690,10062,picker-3,372,1002
137,4260,9720,10135,picker-2,415,5875
334,9600,9854,10210,picker-2,356,610
303,8700,10063,10273,picker-3,210,1573
258,7560,9888,10328,picker-3,440,2768
306,8820,9901,10328,picker-3,427,1508
292,8580,9532,10352,picker-3,820,1772
208,6060,9569,10365,picker-3,796,4305
-35,0,9822,10473,picker-2,651,10473
277,8160,9994,10473,picker-2,479,2313
327,9420,10136,10509,picker-2,373,1089
304,8700,9951,10537,picker-1,586,1837
308,8820,9962,10540,picker-2,578,1720
341,9840,10211,10557,picker-2,346,717
-19,0,9954,10607,picker-2,653,10607
359,10440,10474,10641,picker-2,167,201
237,7080,9957,10675,picker-1,718,3595
354,10320,10329,10687,picker-3,358,367
-65,0,9902,10688,picker-1,786,10688
347,10140,10474,10700,picker-2,226,560
324,9360,9961,10716,picker-1,755,1356
353,10320,10510,10719,picker-2,209,399
41,1800,10353,10889,picker-3,536,9089
318,9180,10642,10950,picker-2,308,1770
222,6420,10689,10983,picker-1,294,4563
283,8340,10541,11007,picker-2,466,2667
259,7560,10329,11009,picker-3,680,3449
355,10380,10558,11023,picker-2,465,643
320,9240,10274,11038,picker-3,764,1798
111,3540,9914,11062,picker-1,1148,7522
369,10680,10688,11065,picker-3,377,385
345,10080,10676,11069,picker-1,393,989
333,9540,10366,11074,picker-3,708,1534
40,1800,10717,11098,picker-1,381,9298
372,10800,10890,11107,picker-3,217,307
326,9420,10538,11122,picker-1,584,1702
336,9720,10984,11196,picker-1,212,1476
376,10920,10951,11201,picker-2,250,281
356,10380,11039,11268,picker-3,229,888
366,10620,10701,11314,picker-2,613,694
348,10260,11010,11350,picker-3,340,1090
383,11040,11070,11360,picker-1,290,320
375,10920,11099,11392,picker-1,293,472
371,10680,11063,11404,picker-1,341,724
388,11220,11315,11489,picker-2,174,269
343,10080,11008,11570,picker-2,562,1490
391,11340,11351,11590,picker-3,239,250
393,11400,11405,11632,picker-1,227,232
363,10560,11108,11634,picker-3,526,1074
342,9900,10720,11653,picker-2,933,1753
361,10440,10608,11698,picker-2,1090,1258
364,10560,11202,11703,picker-2,501,1143
290,8520,11361,11746,picker-1,385,3226
382,11040,11393,11754,picker-1,361,714
357,10440,11075,11778,picker-3,703,1338
362,10440,11591,11800,picker-3,209,1360
395,11460,11571,11882,picker-2,311,422
381,10980,11269,11899,picker-3,630,919
312,8940,9563,11905,picker-3,2342,2965
392,11340,11699,11907,picker-2,208,567
331,9480,11066,11910,picker-3,844,2430
387,11220,11635,11945,picker-3,310,725
385,11160,11654,11948,picker-2,294,788
394,11400,11633,11953,picker-1,320,553
400,11640,11779,11986,picker-3,207,346
251,7320,11024,12008,picker-2,984,4688
411,11700,11801,12016,picker-3,215,316
407,11700,11755,12025,picker-1,270,325
390,11280,11490,12042,picker-2,552,762
344,10080,11197,12123,picker-1,926,2043
408,11700,11906,12136,picker-3,230,436
417,11820,11883,12142,picker-2,259,322
409,11700,11704,12154,picker-2,450,454
389,11280,11911,12187,picker-3,276,907
358,10440,11123,12193,picker-1,1070,1753
370,10680,12009,12236,picker-2,227,1556
403,11640,12043,12292,picker-2,249,652
402,11640,11949,12389,picker-2,440,749
373,10800,12137,12452,picker-3,315,1652
426,12180,12237,12586,picker-2,349,406
428,12300,12453,12658,picker-3,205,358
360,10440,12194,12662,picker-1,468,2222
423,12120,12188,12774,picker-3,586,654
378,10980,11954,12777,picker-1,823,1797
398,11520,12124,12808,picker-1,684,1288
406,11700,11946,12824,picker-3,878,1124
340,9840,12017,12848,picker-3,831,3008
120,3660,12026,12854,picker-1,828,9194
404,11700,11747,12860,picker-1,1113,1160
397,11460,12659,12861,picker-3,202,1401
440,12600,12663,12894,picker-1,231,294
437,12540,12778,12981,picker-1,203,441
442,12660,12775,13012,picker-3,237,352
377,10920,12825,13024,picker-3,199,2104
433,12420,12849,13054,picker-3,205,634
435,12480,12809,13060,picker-1,251,580
431,12360,12862,13067,picker-3,205,707
309,8820,12587,13087,picker-2,500,4267
424,12180,12293,13096,picker-2,803,916
432,12360,12390,13147,picker-2,757,787
405,11700,11908,13234,picker-2,1326,1534
446,12780,13025,13243,picker-3,218,463
365,10620,13068,13285,picker-3,217,2665
444,12720,13097,13344,picker-2,247,624
438,12600,13148,13382,picker-2,234,782
349,10260,13013,13402,picker-3,389,3142
200,5820,13055,13443,picker-3,388,7623
384,11100,13244,13471,picker-3,227,2371
429,12300,13235,13497,picker-2,262,1197
436,12480,12982,13519,picker-1,537,1039
419,12000,12855,13525,picker-1,670,1525
458,13020,13345,13541,picker-2,196,521
-57,0,13088,13600,picker-2,512,13600
451,12900,13061,13609,picker-1,548,709
422,12120,13403,13652,picker-3,249,1532
453,12900,13286,13677,picker-3,391,777
449,12780,12895,13730,picker-1,835,950
443,12660,13520,13826,picker-1,306,1166
430,12360,13444,13839,picker-3,395,1479
465,13260,13472,13848,picker-3,376,588
250,7320,12861,13885,picker-1,1024,6565
481,13680,13731,13960,picker-1,229,280
456,13020,13678,14013,picker-3,335,993
485,13800,13827,14038,picker-1,211,238
450,12900,13610,14097,picker-1,487,1197
448,12780,13498,14101,picker-2,603,1321
477,13560,13653,14155,picker-3,502,595
352,10320,13849,14168,picker-3,319,3848
467,13260,13840,14181,picker-3,341,921
484,13800,13886,14224,picker-1,338,424
421,12060,13383,14248,picker-2,865,2188
337,9720,13601,14254,picker-2,653,4534
468,13260,14039,14254,picker-1,215,994
478,13560,13961,14260,picker-1,299,700
241,7140,13526,14278,picker-1,752,7138
476,13560,14014,14279,picker-3,265,719
367,10620,14098,14318,picker-1,220,3698
454,12960,14102,14367,picker-2,265,1407
379,10980,13542,14403,picker-2,861,3423
490,14040,14182,14437,picker-3,255,397
434,12420,14249,14447,picker-2,198,2027
461,13140,14225,14448,picker-1,223,1308
500,14220,14256,14539,picker-2,283,319
503,14220,14280,14571,picker-3,291,351
401,11640,14156,14586,picker-3,430,2946
494,14100,14169,14610,picker-3,441,510
502,14220,14438,14667,picker-3,229,447
413,11760,14255,14764,picker-1,509,3004
466,13260,14279,14776,picker-1,497,1516
459,13140,14572,14782,picker-3,210,1642
493,14040,14448,14803,picker-2,355,763
509,14460,14668,14911,picker-3,243,451
112,3600,14449,14914,picker-1,465,11314
262,7680,14404,14926,picker-2,522,7246
486,13860,14319,14961,picker-1,642,1101
439,12600,14765,14971,picker-1,206,2371
492,14040,14261,14976,picker-1,715,936
447,12780,14783,15116,picker-3,333,2336
463,13200,14368,15225,picker-2,857,2025
496,14100,14540,15244,picker-2,704,1144
462,13200,14804,15257,picker-2,453,2057
276,8160,12143,15295,picker-2,3152,7135
416,11820,15117,15323,picker-3,206,3503
223,6420,14912,15352,picker-3,440,8932
457,13020,14962,15373,picker-1,411,2353
471,13440,14611,15413,picker-3,802,1973
514,14640,14972,15431,picker-1,459,791
399,11520,14777,15443,picker-1,666,3923
517,14700,14977,15449,picker-1,472,749
234,7020,15226,15523,picker-2,297,8503
452,12900,14587,15524,picker-3,937,2624
524,15000,15324,15605,picker-3,281,605
498,14100,15374,15622,picker-1,248,1522
464,13200,15296,15653,picker-2,357,2453
425,12180,15432,15661,picker-1,229,3481
475,13560,15444,15709,picker-1,265,2149
531,15360,15414,15718,picker-3,304,358
537,15420,15525,15725,picker-3,200,305
164,4860,14915,15732,picker-1,817,10872
536,15420,15524,15745,picker-2,221,325
539,15540,15606,15757,picker-3,151,217
427,12240,15245,15760,picker-2,515,3520
491,14040,15623,15769,picker-1,146,1729
455,13020,14927,15772,picker-2,845,2752
483,13800,15353,15783,picker-3,430,1983
520,14820,15710,15864,picker-1,154,1044
545,15660,15719,15884,picker-3,165,224
535,15420,15758,15961,picker-3,203,541
527,15180,15726,15974,picker-3,248,794
460,13140,15450,16017,picker-1,567,2877
510,14520,15662,16017,picker-1,355,1497
487,13860,15746,16062,picker-2,316,2202
541,15600,15770,16069,picker-1,299,469
534,15420,15784,16137,picker-3,353,717
558,15960,15962,16157,picker-3,195,197
544,15660,15865,16246,picker-1,381,586
501,14220,15773,16275,picker-2,502,2055
532,15420,15975,16289,picker-3,314,869
529,15240,15258,16296,picker-2,1038,1056
528,15240,15761,16303,picker-2,542,1063
415,11820,15654,16356,picker-2,702,4536
543,15600,16063,16465,picker-2,402,865
560,15960,16276,16490,picker-2,214,530
546,15660,16297,16502,picker-2,205,842
547,15720,16290,16523,picker-3,233,803
271,8040,15733,16525,picker-1,792,8485
564,16020,16304,16533,picker-2,229,513
565,16020,16070,16562,picker-1,492,542
567,16140,16158,16629,picker-3,471,489
158,4740,16138,16637,picker-3,499,11897
482,13680,16018,16643,picker-1,625,2963
488,13860,16357,16661,picker-2,304,2801
582,16500,16526,16736,picker-1,210,236
519,14760,16524,16755,picker-3,231,1995
566,16080,16563,16778,picker-1,215,698
549,15720,16630,16987,picker-3,357,1267
538,15540,16638,17033,picker-3,395,1493
589,16740,16779,17105,picker-1,326,365
368,10620,16662,17115,picker-2,453,6495
513,14580,16737,17142,picker-1,405,2562
526,15120,16756,17143,picker-3,387,2023
144,4380,16503,17151,picker-2,648,12771
587,16620,16644,17176,picker-1,532,556
570,16320,16988,17215,picker-3,227,895
506,14400,15885,17221,picker-3,1336,2821
578,16440,16466,17228,picker-2,762,788
591,16800,17034,17233,picker-3,199,433
507,14400,16018,17243,picker-1,1225,2843
593,16860,17106,17349,picker-1,243,489
508,14400,17144,17365,picker-3,221,2965
569,16200,17152,17374,picker-2,222,1174
480,13620,16534,17377,picker-2,843,3757
611,17160,17177,17413,picker-1,236,253
