pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score
0,0,5,-16,51,1,,
0,0,7,-42,51,1,,
137,39,8,-69,55,1,,
137,560,2,-69,55,1,,
137,712,11,-51,55,1,,
137,5,6,-51,55,1,,
230,1962,9,-8,68,1,,
354,499,7,-33,68,1,,
354,393,10,-10,68,1,,
149,1781,8,-69,85,1,,
149,80,5,-50,85,1,,
149,80,10,-69,85,1,,
364,156,12,-8,85,1,,
96,2,6,-63,96,1,,
96,2,6,-96,96,1,,
96,441,9,-10,96,1,,
1,0,1,-42,117,1,,
1,0,10,-93,117,1,,
1,29,8,-82,117,1,,
1,231,6,-8,117,1,,
274,205,8,-10,122,1,,
274,95,12,-10,122,1,,
63,71,10,-54,123,1,,
63,1,6,-54,123,1,,
63,332,8,-51,123,1,,
63,439,6,-51,123,1,,
133,79,8,-8,134,1,,
133,128,4,-8,134,1,,
58,1303,8,-11,141,1,,
58,1,6,-11,141,1,,
66,1633,8,-82,148,1,,
430,407,8,-69,157,1,,
430,633,7,-54,157,1,,
430,26,9,-54,157,1,,
193,43,8,-8,162,1,,
92,2,1,-96,163,1,,
92,2,7,-33,163,1,,
92,2,4,-11,163,1,,
92,1316,5,-4,163,1,,
282,1190,8,-82,176,1,,
86,2,3,-11,182,1,,
86,2,7,-4,182,1,,
86,2,2,-10,182,1,,
86,74,2,-11,182,1,,
225,46,7,-62,186,1,,
225,9,10,-51,186,1,,
225,88,4,-51,186,1,,
337,392,8,-93,190,1,,
387,500,4,-96,198,1,,
387,817,8,-4,198,1,,
116,4,7,-82,203,1,,
196,733,11,-4,214,1,,
14,233,7,-54,219,1,,
14,233,10,-51,219,1,,
14,322,7,-51,219,1,,
184,1863,10,-33,229,1,,
184,265,1,-10,229,1,,
151,6,3,-8,234,1,,
151,456,4,-100,234,1,,
318,211,10,-11,244,1,,
318,16,1,-11,244,1,,
279,1187,4,-69,249,1,,
279,13,12,-62,249,1,,
279,144,5,-51,249,1,,
171,82,6,-8,255,1,,
171,7,4,-72,255,1,,
405,1480,10,-11,258,1,,
118,345,9,-10,271,1,,
115,37,3,-73,277,1,,
115,37,4,-51,277,1,,
115,903,2,-69,277,1,,
115,445,11,-62,277,1,,
172,82,3,-8,298,1,,
172,460,10,-43,298,1,,
186,42,8,-62,304,1,,
186,83,6,-62,304,1,,
186,1868,5,-51,304,1,,
397,159,6,-82,307,1,,
277,975,7,-8,318,1,,
15,233,8,-10,324,1,,
447,111,7,-69,331,1,,
447,64,6,-54,331,1,,
447,28,6,-51,331,1,,
313,386,6,-82,333,1,,
192,1884,8,-10,335,1,,
134,184,5,-72,348,1,,
134,184,6,-43,348,1,,
67,2,8,-10,353,1,,
49,663,10,-69,357,1,,
49,239,8,-50,357,1,,
210,741,6,-8,358,1,,
133,681,6,-10,362,1,,
265,13,7,0,380,1,,
331,54,8,-54,382,1,,
331,212,10,-51,382,1,,
175,265,1,-10,399,1,,
175,82,4,-4,399,1,,
269,597,4,-8,401,1,,
120,181,8,-54,407,1,,
120,557,5,-54,407,1,,
120,38,4,-54,407,1,,
460,1269,6,-8,411,1,,
384,295,4,-8,418,1,,
445,111,6,-4,429,1,,
170,566,4,-68,431,1,,
170,7,5,-68,431,1,,
316,150,6,-62,433,1,,
316,992,6,-62,433,1,,
316,387,2,-54,433,1,,
316,53,4,-51,433,1,,
385,500,4,-96,436,1,,
314,387,4,-8,437,1,,
215,45,4,-11,457,1,,
240,476,8,-62,458,1,,
240,47,4,-54,458,1,,
240,90,5,-51,458,1,,
338,392,4,-93,462,1,,
119,345,4,-12,468,1,,
159,262,3,-11,476,1,,
159,458,1,-4,476,1,,
287,146,4,-51,481,1,,
287,146,6,-69,481,1,,
287,50,6,-62,481,1,,
0,231,2,-8,495,1,,
348,1223,9,-62,504,1,,
348,20,6,-62,504,1,,
171,566,3,-68,510,1,,
176,265,1,-10,519,1,,
176,360,2,-12,519,1,,
310,281,11,-51,521,1,,
373,1017,4,-82,525,1,,
386,500,2,-96,528,1,,
304,16,9,-84,540,1,,
375,103,8,-69,540,1,,
375,1236,4,-51,540,1,,
5,1061,2,-10,543,1,,
59,668,10,-51,556,1,,
165,190,12,-13,556,1,,
313,2175,4,-4,561,1,,
128,38,6,-13,566,1,,
70,1639,10,-69,572,1,,
4,529,10,-88,584,1,,
98,76,3,-69,589,1,,
98,178,6,-54,589,1,,
98,125,1,-51,589,1,,
106,898,2,-10,591,1,,
360,1450,7,-84,595,1,,
251,93,10,-51,609,1,,
301,988,2,-8,616,1,,
177,265,1,-10,620,1,,
295,147,10,-69,625,1,,
99,178,8,-27,636,1,,
166,1822,9,-54,640,1,,
2,0,4,11,643,1,,
394,159,2,-82,645,1,,
372,103,10,-27,660,1,,
230,581,6,-51,664,1,,
230,473,3,-51,664,1,,
294,96,5,-27,668,1,,
96,36,4,-85,675,1,,
178,361,8,-58,679,1,,
395,298,2,-69,683,1,,
395,220,8,-54,683,1,,
167,460,2,-92,691,1,,
167,7,6,-92,691,1,,
80,246,7,-54,697,1,,
80,125,1,-51,697,1,,
118,556,6,-92,701,1,,
322,18,4,-92,707,1,,
153,355,8,-73,711,1,,
319,211,10,-38,722,1,,
20,426,7,-69,725,1,,
20,68,1,-62,725,1,,
349,20,4,-92,729,1,,
348,20,2,-78,730,1,,
348,101,6,-78,730,1,,
196,1893,8,-54,739,1,,
398,23,12,-78,747,1,,
261,203,6,-78,767,1,,
342,55,5,-38,775,1,,
342,290,8,-53,775,1,,
140,185,6,-78,777,1,,
260,12,8,-62,778,1,,
409,25,6,-38,785,1,,
262,203,6,-83,792,1,,
114,77,10,-38,799,1,,
91,250,6,-51,799,1,,
91,125,1,-51,799,1,,
405,24,2,-62,811,1,,
405,625,6,-54,811,1,,
410,25,2,-38,817,1,,
410,160,10,-87,817,1,,
358,291,8,-51,823,1,,
407,403,6,-48,826,1,,
258,273,4,-55,828,1,,
258,375,4,-55,828,1,,
362,1452,8,-62,835,1,,
141,185,7,-69,845,1,,
132,5,6,14,845,1,,
1,65,2,-62,854,1,,
1,65,4,-51,854,1,,
133,5,10,2,864,1,,
165,41,5,-38,874,1,,
165,131,6,-29,874,1,,
0,65,10,2,878,1,,
6,421,6,-69,880,1,,
134,681,5,-29,882,1,,
3,0,4,-78,885,1,,
13,67,6,-55,904,1,,
13,0,8,15,904,1,,
387,218,4,-87,908,1,,
273,2067,3,-53,914,1,,
22,427,6,-54,915,1,,
156,918,6,-62,925,1,,
408,403,3,-48,929,1,,
408,61,6,-66,929,1,,
246,139,4,15,932,1,,
246,11,9,15,932,1,,
164,41,5,-38,937,1,,
306,280,2,-55,943,1,,
306,486,5,15,943,1,,
411,25,5,-62,950,1,,
411,829,1,-51,950,1,,
102,179,7,2,953,1,,
331,54,2,-66,956,1,,
180,193,6,-50,961,1,,
135,5,7,-66,966,1,,
20,1,6,2,976,1,,
42,118,6,-69,980,1,,
15,115,8,8,988,1,,
194,732,6,-62,992,1,,
166,41,1,-38,996,1,,
33,1075,5,-62,1012,1,,
348,1009,8,2,1018,1,,
178,1145,2,-54,1019,1,,
282,482,3,-54,1025,1,,
239,475,2,-62,1040,1,,
329,492,6,-71,1040,1,,
433,27,5,-51,1048,1,,
293,381,6,2,1052,1,,
430,837,2,-30,1056,1,,
321,99,6,2,1064,1,,
234,90,3,-30,1064,1,,
21,1,6,3,1073,1,,
132,5,10,-30,1078,1,,
422,62,6,3,1082,1,,
317,2187,1,-51,1083,1,,
134,681,6,-54,1093,1,,
93,251,6,-55,1099,1,,
235,90,9,-46,1103,1,,
124,907,6,-55,1111,1,,
91,250,8,-30,1115,1,,
333,18,9,-81,1130,1,,
23,168,9,-6,1133,1,,
259,375,4,-55,1146,1,,
137,128,8,-46,1150,1,,
137,5,1,-81,1150,1,,
137,1131,2,-81,1150,1,,
274,95,9,-6,1159,1,,
81,125,1,-51,1159,1,,
55,435,7,-46,1160,1,,
283,145,6,-36,1176,1,,
283,378,2,-36,1176,1,,
51,1,12,-14,1186,1,,
51,1610,8,-14,1186,1,,
