item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
10021026001,0,10,120,29,3
14503003001,1,22,520,135,7
14023056001,2,13,160,41,4
10021025001,3,18,2520,659,37
14805012001,4,8,680,181,23
14804007001,5,8,700,183,23
14010040001,6,5,100,25,5
14502009001,7,8,680,180,23
14500000001,8,7,560,147,21
10000011001,9,15,1720,462,31
10033043001,10,9,400,108,12
14020026001,11,2,80,21,11
14112013001,12,7,80,19,3
10002018001,13,6,540,140,24
14831007001,14,2,400,110,55
14502014001,15,6,140,37,7
14505013001,16,5,440,118,24
14000057001,17,6,60,15,3
14102249001,18,6,60,16,3
10021008001,19,6,1000,252,42
14821003001,20,2,160,42,21
14011003001,21,4,60,10,3
10035035001,22,6,1000,266,45
14502011001,23,6,280,74,13
10031013001,24,5,580,156,32
14840003001,25,2,260,68,34
14840006001,26,2,140,36,18
14501010001,27,7,160,36,6
10034042001,28,5,800,215,43
10032006001,29,4,720,183,46
10010002001,30,5,840,225,45
14611010001,31,8,60,12,2
14203017001,32,2,60,15,8
14832021001,33,2,180,45,23
14102250001,34,5,60,13,3
14131033001,35,3,40,11,4
14505016001,36,6,160,36,6
10031001001,37,5,800,214,43
10021035001,38,5,160,41,9
10032013001,39,5,500,130,26
10000998001,40,8,40,10,2
10031005001,41,5,780,207,42
14112007001,42,6,60,15,3
10033018001,43,10,460,120,12
10032016001,44,5,740,194,39
10033004001,45,11,520,137,13
15020047001,46,6,1180,325,55
10033025001,47,4,640,174,44
14131047001,48,4,40,11,3
14501012001,49,4,80,20,5
10001006001,50,5,460,125,25
10001009001,51,7,760,194,28
14110015001,52,2,60,12,6
14021010001,53,2,60,12,6
14501045001,54,6,140,33,6
14133023001,55,4,60,12,3
14505009001,56,4,40,9,3
14011053001,57,6,140,38,7
10032047001,58,4,580,152,38
14500013001,59,10,220,60,6
14510039001,60,5,80,18,4
14810006001,61,2,120,30,15
10034019001,62,4,660,178,45
10033037001,63,5,760,209,42
14501063001,64,6,220,57,10
10000005001,65,5,440,113,23
14010011001,66,7,40,10,2
10000026001,67,3,340,91,31
14112014001,68,4,40,11,3
14110009001,69,6,80,17,3
14100003001,70,3,40,9,3
14501022001,71,3,120,32,11
14133003001,72,4,60,11,3
14121106001,73,2,60,15,8
14000039001,74,2,40,10,5
14505041001,75,3,440,121,41
14131041001,76,5,40,9,2
14502077001,77,7,160,40,6
14503019001,78,6,140,31,6
14101025001,79,3,40,8,3
14000197001,80,5,60,14,3
10030048001,81,7,320,83,12
10002021001,82,5,700,191,39
10030007001,83,6,280,73,13
14500037001,84,5,40,7,2
14820012001,85,1,100,23,23
14000032001,86,3,40,9,3
14113066001,87,3,40,9,3
10001012001,88,6,700,187,32
10032010001,89,3,500,133,45
14011052001,90,7,180,44,7
14810016001,91,2,120,29,15
14011028001,92,3,40,7,3
14001042001,93,3,40,8,3
14020053001,94,2,60,12,6
14501014001,95,3,240,63,21
14805013001,96,9,40,10,2
14011032001,97,6,40,9,2
14104118001,98,3,40,9,3
14000006001,99,3,40,7,3
10000002001,100,8,100,25,4
14001047001,101,5,40,10,2
14104012001,102,3,40,8,3
14505014001,103,8,180,48,6
10033064001,104,3,360,96,32
14121014001,105,2,40,9,5
14132015001,106,3,40,9,3
10010035001,107,3,480,126,42
14104129001,108,3,40,7,3
14502006001,109,2,100,25,13
10010004001,110,4,520,141,36
14121019001,111,3,40,10,4
14130007001,112,4,40,8,2
14505899001,113,3,340,93,31
14510050001,114,3,40,10,4
10002008001,115,5,540,140,28
10034025001,116,3,500,136,46
10002102001,117,6,500,138,23
14502081001,118,3,240,64,22
10001004001,119,7,80,21,3
10040039001,120,15,60,16,2
10002006001,121,6,80,18,3
14101048001,122,3,40,9,3
14503000001,123,3,240,66,22
14830010001,124,1,140,38,38
10030023001,125,5,40,6,2
10002019001,126,4,400,105,27
12201105001,127,2,60,13,7
14832018001,128,2,160,42,21
10021001001,129,6,660,178,30
10021006001,130,10,480,131,14
10002005001,131,3,240,60,20
14501011001,132,2,60,13,7
14011034001,133,3,40,7,3
14003029001,134,2,40,9,5
14103009001,135,3,40,6,2
14501013001,136,4,100,25,7
14000017001,137,4,40,7,2
14131075001,138,3,40,7,3
10020007001,139,4,400,108,27
10002992001,140,4,20,4,1
10035034001,141,3,540,150,50
14000073001,142,2,40,7,4
14102246001,143,3,40,7,3
10033057001,144,7,300,81,12
14001045001,145,4,40,7,2
14502026001,146,2,60,13,7
10031910001,147,3,480,126,42
14102258001,148,3,40,6,2
10040062001,149,13,300,82,7
14000196001,150,4,40,10,3
10032008001,151,3,440,117,39
14500010001,152,6,140,35,6
10014090001,153,3,400,107,36
14104002001,154,3,40,7,3
14011059001,155,2,40,6,3
14820014001,156,1,80,19,19
10033015001,157,5,240,65,13
14133922001,158,6,40,8,2
14010247001,159,2,40,8,4
10030013001,160,3,380,104,35
14003041001,161,2,40,7,4
14820028001,162,2,180,48,24
14502041001,163,3,220,63,21
14506087001,164,3,20,4,2
10033041001,165,7,300,79,12
10034003001,166,2,380,104,52
14121020001,167,2,40,10,5
10040004001,168,13,60,13,1
14010034001,169,4,40,7,2
10002001001,170,4,460,127,32
14370004001,171,2,60,12,6
14820013001,172,1,80,21,21
14120012001,173,1,40,6,6
14011031001,174,2,20,5,3
14244003001,175,1,40,7,7
14615017001,176,4,60,11,3
10040063001,177,11,520,141,13
14022019001,178,3,40,7,3
14820045001,179,1,20,5,5
14023047001,180,2,20,5,3
10033013001,181,6,280,76,13
14002002001,182,2,40,6,3
14805016001,183,2,180,46,23
14820008001,184,3,340,103,35
10000007001,185,3,300,81,27
14131027001,186,3,20,5,2
14121068001,187,2,40,10,5
14370020001,188,2,60,15,8
14132031001,189,2,40,7,4
14500042001,190,4,20,6,2
10034036001,191,3,360,97,33
10001025001,192,4,420,115,29
14505917001,193,2,240,66,33
14833010001,194,1,80,17,17
14510107001,195,3,40,11,4
14831020001,196,1,120,29,29
12220012001,197,8,40,8,1
14110106001,198,5,60,14,3
14521157001,199,1,60,13,13
14505138001,200,2,80,19,10
14840017001,201,1,80,18,18
14504055001,202,2,100,26,13
14104067001,203,2,40,7,4
14112016001,204,2,20,5,3
10031031001,205,2,260,72,36
14010031001,206,4,20,5,2
10021016001,207,6,300,79,14
10040025001,208,11,60,11,1
10033074001,209,4,180,49,13
11103136001,210,5,60,14,3
14504006001,211,2,160,42,21
14505005001,212,2,140,37,19
14503013001,213,3,120,27,9
10035021001,214,6,280,75,13
14121074001,215,1,40,6,6
14000011001,216,4,20,5,2
14600005001,217,1,40,11,11
14022032001,218,3,20,4,2
14132229001,219,5,40,9,2
14830009001,220,1,80,21,21
10035015001,221,3,200,55,19
14104017001,222,2,40,6,3
10041067001,223,7,320,86,13
10033068001,224,3,380,104,35
14510258001,225,3,40,8,3
14121063001,226,1,40,7,7
14112041001,227,4,20,4,1
15021001001,228,2,340,92,46
14502012001,229,2,160,43,22
10030003001,230,4,180,47,12
12201079001,231,8,300,81,11
14001017001,232,3,40,6,2
10031033001,233,5,200,54,11
14600023001,234,1,40,8,8
14001090001,235,3,40,8,3
14501086001,236,1,60,13,13
14001049001,237,3,20,4,2
14200069001,238,2,20,5,3
14000022001,239,1,40,8,8
10034999001,240,2,280,78,39
10002045001,241,4,40,11,3
14502004001,242,5,60,14,3
10033050001,243,4,180,48,12
14502015001,244,4,100,23,6
14502111001,245,2,60,14,7
14620907001,246,2,40,6,3
10040026001,247,7,60,11,2
12220002001,248,4,20,4,1
14020031001,249,2,20,5,3
14830069001,250,1,60,17,17
14231003001,251,1,20,5,5
14110054001,252,1,40,6,6
14001093001,253,2,20,5,3
14500023001,254,3,80,18,6
14011024001,255,2,20,3,2
10011003001,256,1,140,37,37
14023049001,257,2,20,4,2
14204059001,258,1,20,5,5
10034004001,259,2,200,50,25
10021027001,260,3,320,83,28
14223003001,261,1,20,5,5
10031916001,262,5,20,5,1
14520065001,263,1,40,10,10
14810001001,264,1,60,15,15
14131025001,265,2,20,4,2
14501005001,266,1,60,14,14
14501026001,267,3,40,9,3
14804012001,268,3,20,4,2
10002010001,269,4,420,119,30
15020050001,270,3,580,168,56
10014028001,271,2,300,78,39
14353039001,272,6,40,7,2
14010210001,273,6,20,5,1
14023006001,274,3,20,5,2
10013003001,275,2,180,43,22
10033005001,276,2,260,68,34
10033030001,277,4,180,49,13
10002009001,278,4,180,51,13
14505115001,279,4,220,59,15
14510139001,280,2,20,5,3
14620014001,281,2,20,5,3
14121017001,282,1,20,5,5
14509001001,283,2,40,6,3
10034011001,284,2,240,66,33
14023248001,285,1,40,7,7
10032019001,286,2,300,80,40
14502010001,287,1,100,24,24
14112018001,288,2,20,5,3
11103021001,289,4,40,10,3
14011095001,290,2,20,4,2
14501004001,291,2,160,44,22
14023015001,292,1,20,5,5
14616006001,293,1,40,6,6
10015007001,294,4,400,111,28
14131092001,295,2,20,4,2
10002907001,296,2,200,52,26
15023012001,297,1,180,47,47
14501902001,298,1,100,21,21
14110084001,299,2,20,4,2
14621041001,300,2,40,9,5
10015010001,301,2,300,82,41
14500056001,302,2,40,8,4
14204041001,303,1,40,6,6
14502078001,304,4,100,23,6
14010036001,305,1,20,5,5
10014023001,306,2,220,59,30
14612018002,307,1,20,5,5
14001052001,308,2,40,7,4
14831002001,309,1,60,13,13
14503005001,310,2,100,27,14
14130017001,311,1,20,3,3
14610002001,312,3,20,5,2
14801002001,313,1,60,13,13
14102238001,314,2,20,4,2
14023127001,315,1,20,4,4
14501038001,316,1,60,12,12
10040005001,317,8,340,94,12
10034014001,318,2,240,63,32
14010212001,319,4,20,4,1
14611022001,320,2,20,4,2
10011001001,321,2,260,73,37
14501016001,322,2,80,20,10
14132050001,323,2,20,5,3
14003019001,324,1,20,5,5
14120019001,325,1,20,5,5
14505011001,326,1,60,14,14
10011016001,327,2,200,52,26
14111001001,328,3,20,3,1
14611002001,329,1,40,6,6
10040003001,330,8,180,50,7
14121057001,331,1,20,6,6
14003037001,332,2,20,4,2
14500067001,333,3,140,33,11
14504015001,334,2,100,26,13
14505031001,335,3,80,18,6
10002007001,336,2,160,40,20
14833024001,337,1,80,17,17
14810004001,338,1,80,20,20
10020018001,339,3,300,81,27
14131081001,340,2,20,4,2
14000042001,341,1,40,6,6
14014020001,342,2,20,4,2
12221009001,343,1,20,4,4
14000071001,344,1,20,4,4
15022004001,345,3,460,137,46
10033054001,346,3,140,39,13
15020010001,347,3,560,164,55
14130016001,348,2,20,5,3
14131022001,349,2,20,4,2
14822014001,350,1,40,11,11
14500026001,351,3,80,16,6
14501053001,352,2,60,12,6
14510150001,353,2,20,5,3
14021005001,354,1,20,6,6
14130001001,355,2,20,4,2
14104169001,356,2,20,4,2
14504001001,357,1,80,21,21
14361106001,358,2,40,6,3
14000075001,359,2,20,4,2
14001074001,360,2,20,5,3
10032049001,361,1,140,33,33
14023083001,362,1,20,5,5
14509008001,363,1,20,3,3
14620006001,364,2,20,5,3
11111017001,365,5,20,5,1
10033011001,366,3,140,36,12
14831021001,367,1,60,11,11
14311004001,368,2,40,6,3
10002035001,369,3,40,7,3
14010060001,370,2,20,5,3
14131105001,371,2,20,4,2
14804010001,372,1,80,22,22
14850010001,373,9,20,2,1
14001012001,374,2,20,4,2
14104042001,375,1,20,4,4
10033066001,376,3,140,38,13
14804004001,377,1,100,27,27
10033070001,378,4,180,47,12
14000060001,379,2,20,5,3
14204061001,380,2,20,4,2
10024007001,381,1,160,39,39
14010173001,382,1,20,5,5
10040023001,383,6,220,59,10
14023198001,384,4,20,4,1
14131020001,385,2,20,4,2
14000014001,386,3,20,4,2
14521158001,387,1,40,8,8
14023027001,388,3,20,4,2
14804002001,389,2,120,34,17
14105102001,390,1,20,3,3
14121136001,391,1,20,3,3
14504027001,392,1,80,23,23
10002003001,393,3,140,35,12
12121064001,394,1,20,2,2
14851058001,395,7,20,4,1
14000003001,396,3,20,7,3
14244016001,397,2,20,5,3
14505021001,398,1,80,23,23
14505099001,399,2,40,10,5
15022026001,400,2,260,76,38
12201068001,401,2,20,7,4
11103090001,402,5,40,8,2
14621069001,403,1,20,5,5
10014033001,404,2,160,40,20
14244021001,405,2,20,5,3
14244020001,406,1,100,24,24
12221012001,407,3,40,9,3
10001014001,408,2,140,35,18
14500014001,409,3,20,6,2
14014018001,410,2,20,4,2
10031016001,411,2,220,60,30
10032003001,412,2,160,43,22
14020015001,413,2,20,4,2
11103022001,414,5,40,8,2
14010027001,415,1,60,15,15
14506072001,416,1,20,4,4
14130010001,417,2,20,2,1
14831011001,418,1,40,8,8
14244017001,419,2,20,4,2
10013005001,420,2,260,71,36
14222068001,421,1,20,4,4
14833009001,422,1,40,11,11
14130009001,423,2,20,2,1
14501047001,424,1,100,23,23
14121062001,425,2,20,5,3
14003009001,426,1,20,5,5
14000040001,427,1,20,3,3
14506056001,428,1,20,3,3
14023503001,429,1,20,7,7
10031911001,430,2,240,62,31
10002017001,431,6,80,20,4
14110029001,432,1,20,4,4
14012019001,433,1,20,4,4
10032064001,434,1,180,50,50
14505020001,435,1,80,22,22
14020006001,436,2,20,3,2
14506001001,437,1,20,3,3
12122032001,438,1,20,2,2
10000003001,439,2,160,44,22
10034017001,440,2,200,56,28
14121115001,441,1,20,4,4
14104101001,442,2,20,4,2
14130042001,443,1,20,2,2
14510004001,444,2,40,7,4
11040005001,445,1,20,6,6
14000043001,446,1,20,4,4
14805004001,447,1,80,20,20
10022030001,448,1,120,32,32
14615070001,449,5,60,22,5
14102040001,450,1,20,4,4
10030014001,451,3,120,30,10
10030011001,452,2,80,21,11
12100039001,453,1,20,3,3
14001046001,454,1,20,4,4
10002071001,455,2,60,16,8
10000010001,456,4,60,11,3
14204892001,457,2,20,2,1
10002014001,458,2,140,40,20
10002046001,459,2,120,31,16
14132052001,460,1,20,3,3
10020041001,461,1,180,52,52
14502022001,462,1,60,13,13
14613026001,463,1,20,3,3
14131008001,464,1,20,2,2
10013012001,465,1,100,27,27
14021021001,466,3,20,2,1
12220003001,467,3,20,3,1
14615084001,468,1,20,3,3
14223179001,469,1,20,3,3
10012011001,470,2,180,51,26
10021012001,471,3,220,58,20
14502007001,472,3,60,15,5
10035017001,473,2,100,27,14
10040049001,474,7,40,8,2
14111036001,475,2,20,2,1
14100026001,476,1,20,2,2
10001001001,477,3,40,7,3
14500007001,478,1,60,16,16
10040094001,479,7,40,7,1
10002943001,480,2,140,37,19
14111039001,481,1,20,3,3
14121164001,482,1,20,3,3
10020027001,483,2,140,38,19
14000002001,484,2,20,4,2
10034027001,485,2,160,43,22
14133029001,486,2,20,4,2
14112054001,487,2,20,3,2
10031017001,488,2,220,58,29
14223215001,489,1,20,3,3
14130054001,490,2,20,3,2
12220013001,491,3,20,3,1
14011074001,492,1,20,3,3
14361101001,493,2,40,6,3
11040009001,494,1,20,5,5
12106105001,495,1,20,3,3
10040032001,496,3,200,51,17
11040035001,497,1,20,5,5
14511051001,498,2,20,6,3
14010037001,499,1,20,2,2
12212033001,500,1,20,3,3
14110081001,501,2,20,4,2
14121143001,502,1,20,3,3
14506065001,503,1,20,3,3
14011006001,504,2,20,4,2
14831022001,505,1,40,10,10
14222072001,506,1,20,3,3
10001022001,507,2,80,21,11
14101024001,508,2,20,4,2
14010043001,509,2,20,3,2
10033028001,510,3,120,31,11
14520068001,511,1,40,7,7
14353019001,512,3,20,4,2
14103018001,513,1,20,2,2
12122999001,514,1,60,13,13
14833018001,515,1,20,3,3
14851025001,516,5,20,3,1
14601026001,517,1,20,3,3
14110006001,518,1,20,3,3
14832012001,519,1,40,8,8
10032055001,520,1,120,29,29
11040006001,521,1,20,5,5
10033075001,522,2,40,8,4
14311005001,523,2,20,5,3
14010178001,524,1,20,4,4
14000033001,525,1,20,3,3
14504052001,526,1,20,4,4
10014009001,527,2,140,38,19
10012004001,528,3,60,16,6
14504008001,529,1,80,18,18
10031004001,530,3,120,29,10
14510007001,531,1,20,3,3
10014083001,532,1,40,10,10
14100012001,533,1,20,3,3
10002944001,534,1,100,25,25
14023102001,535,1,20,3,3
14510025001,536,2,40,6,3
10031025001,537,3,80,18,6
12201043001,538,3,100,26,9
14102009001,539,2,20,3,2
14330005001,540,2,20,3,2
14112040001,541,3,20,4,2
14014011001,542,1,20,3,3
14010094001,543,1,20,3,3
10011023001,544,1,100,25,25
10035028001,545,1,140,37,37
11103070001,546,2,20,6,3
10033019001,547,4,40,11,3
14850011001,548,7,20,2,1
14223045001,549,1,20,3,3
10040019001,550,6,40,6,1
14504002001,551,1,100,25,25
14200119001,552,1,20,3,3
14000027001,553,2,20,2,1
11050035001,554,3,20,2,1
10033044001,555,2,40,8,4
14500064001,556,1,60,20,20
14244014001,557,1,20,3,3
11061071001,558,1,20,2,2
14021107001,559,3,20,2,1
14011010001,560,1,20,4,4
14244052001,561,2,20,4,2
14121104001,562,1,20,3,3
14501021001,563,2,160,58,29
10032011001,564,1,140,34,34
31501021001,565,1,20,3,3
14840018001,566,1,40,7,7
14104019001,567,1,20,2,2
14000010001,568,2,20,2,1
14500003001,569,2,160,59,30
10032020001,570,1,60,13,13
14361099001,571,2,40,6,3
14502054001,572,2,40,7,4
14204054001,573,1,20,3,3
12000178001,574,1,20,5,5
14203001001,575,1,20,2,2
14510033001,576,2,20,4,2
14510041001,577,1,20,3,3
31501010001,578,1,20,4,4
14105130001,579,1,20,2,2
10033010001,580,4,100,24,6
14503002001,581,1,40,9,9
14613902001,582,1,20,4,4
14121094001,583,2,20,2,1
10035002001,584,2,40,9,5
14001034001,585,1,20,3,3
14112021001,586,1,20,2,2
15020046001,587,2,220,62,31
14811007001,588,1,20,2,2
10001020001,589,1,100,26,26
14020022001,590,1,20,3,3
10033014001,591,2,80,22,11
10034039001,592,1,100,26,26
14110086001,593,1,20,3,3
14510252001,594,2,20,5,3
14804005001,595,1,60,16,16
10000012001,596,3,80,18,6
31533008001,597,1,20,4,4
14020014001,598,1,20,2,2
14242011001,599,1,20,3,3
10033016001,600,3,60,16,6
14616002001,601,1,40,6,6
14132003001,602,1,20,2,2
14820017001,603,1,60,17,17
14131056001,604,1,20,2,2
10034050001,605,2,120,30,15
14242012001,606,1,20,3,3
14020951001,607,2,20,4,2
14100013001,608,1,20,2,2
10015011001,609,1,120,31,31
14131121001,610,1,20,4,4
14510029001,611,2,20,4,2
14506090001,612,1,20,2,2
12201031001,613,4,140,38,10
15020920001,614,3,520,272,91
14222142001,615,1,20,3,3
11103050001,616,4,20,6,2
11103019001,617,6,40,9,2
14502023001,618,1,40,16,16
10030016001,619,2,60,16,8
14502029001,620,1,40,9,9
10021009001,621,5,60,14,3
14830002001,622,1,40,11,11
14204071001,623,1,20,4,4
14850001001,624,6,20,2,1
14001002001,625,1,20,4,4
14223094001,626,1,20,3,3
14510175001,627,2,40,10,5
10002074001,628,1,20,5,5
14000041001,629,1,20,2,2
14506002001,630,1,20,2,2
14133030001,631,2,20,4,2
14510069001,632,1,20,3,3
14504053001,633,1,20,3,3
14630016001,634,1,20,3,3
14021054001,635,2,20,2,1
14223039001,636,1,20,2,2
11050004001,637,2,20,3,2
14620030001,638,1,20,3,3
10000004001,639,4,60,11,3
14831013001,640,1,60,13,13
11040010001,641,1,20,5,5
14023025001,642,1,20,4,4
14504028001,643,1,60,13,13
14120020001,644,1,20,3,3
10030046001,645,3,120,33,11
14510111001,646,1,20,2,2
14330010001,647,2,20,3,2
14001031001,648,1,20,3,3
15024004001,649,1,120,31,31
14500008001,650,4,80,21,6
10034024001,651,2,100,29,15
15021035001,652,1,140,37,37
14103030001,653,1,20,3,3
14222114001,654,1,20,3,3
14223037001,655,1,20,3,3
11102002001,656,1,20,3,3
10040079001,657,4,20,5,2
14510100001,658,1,20,2,2
31500006001,659,1,20,3,3
14010019001,660,1,20,3,3
14121173001,661,1,20,2,2
14011078001,662,1,20,2,2
14100001001,663,1,20,3,3
14510109001,664,1,20,4,4
14000135001,665,5,20,8,2
14244896001,666,1,60,12,12
14111134001,667,1,20,5,5
14111024001,668,1,20,2,2
10002906001,669,1,60,13,13
10033065001,670,4,80,22,6
10031901001,671,2,60,12,6
11111033001,672,3,20,9,3
10012006001,673,1,80,21,21
14805017001,674,1,60,12,12
10002025001,675,2,20,4,2
10001005001,676,1,100,26,26
10022007001,677,2,180,48,24
10033056001,678,2,100,23,12
14500006001,679,1,40,9,9
10012899001,680,2,100,27,14
14505105001,681,1,20,5,5
14010187001,682,1,20,3,3
14503034001,683,1,40,8,8
14620062001,684,1,20,5,5
10021007001,685,4,60,12,3
14603003001,686,1,20,2,2
14121179001,687,2,20,4,2
15023020001,688,1,120,32,32
14010030001,689,1,20,3,3
10035001001,690,3,40,8,3
14020008001,691,1,20,3,3
14132038001,692,1,20,1,1
14613915001,693,1,20,2,2
10035012001,694,2,100,27,14
14130015001,695,1,20,2,2
14810012001,696,1,40,7,7
10021019001,697,1,120,31,31
14615894001,698,1,20,3,3
14506490001,699,1,20,2,2
10041085001,700,2,100,26,13
14001036001,701,1,20,3,3
12201120001,702,1,20,5,5
15022005001,703,3,500,183,61
14010049001,704,1,20,2,2
14110154001,705,1,20,10,10
10032046001,706,1,120,34,34
14222046001,707,1,20,2,2
14104096001,708,1,20,5,5
11111011001,709,1,20,3,3
10016015001,710,1,160,42,42
14003013001,711,1,20,2,2
10020011001,712,1,140,38,38
10034020001,713,1,100,26,26
11050017001,714,1,20,2,2
14022029001,715,2,20,2,1
10031007001,716,2,60,17,9
10014113001,717,1,100,27,27
14511052001,718,1,20,3,3
10001035001,719,1,40,11,11
10033034001,720,4,100,26,7
14100021001,721,1,20,2,2
14506015001,722,1,20,1,1
10014020001,723,1,80,20,20
14010150001,724,1,20,2,2
14311112001,725,2,20,4,2
14506039001,726,2,20,6,3
14244059001,727,1,20,4,4
14104126001,728,1,40,8,8
14022003001,729,1,20,2,2
10014032001,730,1,120,31,31
14506275001,731,2,60,23,12
14104085001,732,1,20,2,2
14510110001,733,1,20,3,3
14132013001,734,1,20,2,2
10040041001,735,2,140,36,18
14810013001,736,1,40,7,7
10040081001,737,4,100,27,7
14101004001,738,1,20,3,3
14010079001,739,1,20,3,3
14111002001,740,1,20,2,2
10024011001,741,2,60,14,7
14501942001,742,1,60,24,24
14010078001,743,1,20,2,2
10021017001,744,3,100,29,10
10040042001,745,5,20,5,1
12201065001,746,3,100,25,9
14805005001,747,1,60,14,14
14200006001,748,1,20,2,2
14111009001,749,1,20,3,3
14361100001,750,1,20,3,3
14131043001,751,2,20,2,1
14601004001,752,1,20,4,4
14613019001,753,1,20,3,3
10033082001,754,2,80,20,10
12202007001,755,2,20,2,1
10031011001,756,2,40,11,6
14613904001,757,2,20,2,1
10033049001,758,2,40,7,4
10040020001,759,4,160,43,11
14104113001,760,1,20,2,2
14510057001,761,1,20,3,3
14352060001,762,1,20,3,3
10033053001,763,3,40,10,4
31473013001,764,1,20,2,2
14612900001,765,1,20,3,3
14501929001,766,1,40,9,9
14000078001,767,2,20,5,3
10033027001,768,1,60,13,13
12220005001,769,3,20,5,2
12201013001,770,2,80,21,11
14804001001,771,1,40,9,9
14011051001,772,1,20,3,3
10031902001,773,3,60,17,6
10000021001,774,1,100,24,24
14104150001,775,1,20,2,2
10040037001,776,4,20,4,1
14111132001,777,1,20,3,3
10041040001,778,2,80,21,11
14001009001,779,1,20,4,4
12201037001,780,3,120,33,11
14600013001,781,1,20,1,1
10040033001,782,4,60,14,4
14133901001,783,1,20,2,2
14010149001,784,1,20,3,3
14511056001,785,1,20,4,4
14504009001,786,1,60,14,14
10010026001,787,1,100,26,26
11111021001,788,1,20,3,3
14011005001,789,1,20,2,2
14501037001,790,1,20,4,4
14506084001,791,1,20,2,2
15022017001,792,1,120,30,30
14830005001,793,1,20,6,6
14001138001,794,1,20,2,2
14222043001,795,1,20,2,2
11103015001,796,2,20,4,2
14615009001,797,1,20,3,3
31502025001,798,1,20,2,2
12102140001,799,1,20,3,3
12120052001,800,1,40,7,7
10002040001,801,2,20,5,3
14506898001,802,1,40,8,8
10030015001,803,1,60,11,11
10040058001,804,3,140,41,14
10040010001,805,3,120,31,11
11050077001,806,3,20,5,2
14104079001,807,1,20,4,4
14615133001,808,2,40,6,3
10040040001,809,4,20,3,1
14506067001,810,1,20,4,4
11103137001,811,5,60,16,4
14023295001,812,2,20,2,1
14510133001,813,1,20,2,2
15023011001,814,1,100,24,24
14003054001,815,1,20,2,2
14011011001,816,1,20,2,2
14830001001,817,1,40,6,6
10030012001,818,2,40,7,4
14121269001,819,2,20,2,1
11040021001,820,1,20,3,3
14621029001,821,1,20,4,4
14111123001,822,1,20,6,6
14500024001,823,3,60,15,5
14831009001,824,1,60,15,15
11061068001,825,1,20,2,2
14101007001,826,1,20,2,2
12102095001,827,1,20,3,3
14505046001,828,1,20,2,2
12010110001,829,1,20,2,2
11051002001,830,1,20,3,3
14501058001,831,2,40,9,5
14022002001,832,1,20,2,2
14502019001,833,1,40,9,9
15023013001,834,1,80,23,23
14105129001,835,1,20,2,2
14243058001,836,1,20,2,2
10052025001,837,1,20,4,4
10014092001,838,1,20,4,4
10040008001,839,4,60,12,3
11050020001,840,1,20,2,2
14000123001,841,1,20,1,1
14244918001,842,1,20,2,2
12011033001,843,2,20,4,2
14311158001,844,1,40,7,7
14244058001,845,1,20,2,2
10035006001,846,1,80,20,20
14121059001,847,1,20,3,3
14010097001,848,2,20,4,2
14510218001,849,2,20,5,3
10040013001,850,2,140,41,21
14011042001,851,1,20,2,2
10030018001,852,2,40,7,4
