item_code,item_id,n_slots,s_total,rop_global,rop_per_pod
10021026001,0,29,348,79,3
14503003001,1,50,1200,277,6
14023056001,2,34,408,102,3
14804007001,3,18,1728,406,23
14010040001,4,17,340,87,6
14502009001,5,15,1350,285,19
14500000001,6,17,1530,369,22
10000011001,7,103,12360,3739,37
10033043001,8,22,1056,261,12
14020026001,9,5,240,53,11
14112013001,10,19,190,50,3
10002018001,11,14,1344,310,23
14831007001,12,5,960,222,45
14505013001,13,11,990,237,22
14000057001,14,13,130,32,3
14102249001,15,15,150,39,3
14821003001,16,3,432,79,27
10035035001,17,14,2352,563,41
14011003001,18,12,144,37,4
14502011001,19,17,816,204,12
14501010001,20,30,720,193,7
10031013001,21,13,1560,377,29
14840003001,22,6,864,202,34
14840006001,23,4,384,80,20
14611010001,24,19,114,26,2
10034042001,25,8,1536,311,39
10032006001,26,14,2688,702,51
10010002001,27,13,2184,513,40
10000002001,28,171,2052,621,4
14203017001,29,3,120,28,10
14102250001,30,11,110,27,3
14832021001,31,3,360,70,24
10033018001,32,38,1824,495,14
14505016001,33,24,576,154,7
14131033001,34,7,105,25,4
10031001001,35,11,1848,415,38
10032013001,36,10,1200,286,29
10021035001,37,11,352,86,8
10033004001,38,29,1392,332,12
10000998001,39,19,95,24,2
10032016001,40,10,1680,395,40
15020047001,41,13,2808,729,57
10033025001,42,7,1344,307,44
14131047001,43,9,108,26,3
10001006001,44,10,960,214,22
14501012001,45,8,192,46,6
10001009001,46,23,2760,730,32
14500013001,47,52,1248,364,7
14501045001,48,22,528,141,7
14021010001,49,3,108,25,9
14011053001,50,18,432,113,7
14133023001,51,8,96,22,3
10032047001,52,8,1344,321,41
14810006001,53,6,432,99,17
14510039001,54,10,130,28,3
10034019001,55,9,1512,333,37
14011052001,56,44,1056,296,7
14010011001,57,16,96,24,2
10033037001,58,11,1848,455,42
14501063001,59,14,504,125,9
10000005001,60,18,1728,468,26
14112014001,61,10,100,25,3
10000026001,62,7,840,177,26
14100003001,63,6,72,16,3
14501022001,64,5,240,50,10
14502077001,65,31,744,210,7
14121106001,66,4,120,28,7
14133003001,67,9,108,26,3
14131041001,68,11,88,21,2
14000039001,69,3,108,20,7
14505041001,70,6,960,220,37
14000197001,71,10,120,27,3
10030048001,72,13,624,133,11
10002021001,73,14,2016,525,38
14500037001,74,10,60,14,2
14820012001,75,3,288,45,15
14113066001,76,5,80,20,4
14011032001,77,18,108,27,2
14011028001,78,8,96,23,3
14001042001,79,6,72,17,3
14020053001,80,3,96,18,6
14505014001,81,22,528,132,6
10001004001,82,36,432,121,4
10033064001,83,8,960,215,27
10021006001,84,32,1536,353,12
10040039001,85,53,212,57,2
14121014001,86,4,96,19,5
14132015001,87,6,72,18,3
10002006001,88,22,264,72,4
