item_code,item_id,n_slots,s_total,rop_global,rop_per_pod
10021026001,0,29,348,104,4
14503003001,1,50,1200,360,8
14023056001,2,34,408,122,4
14804007001,3,18,1728,518,29
14010040001,4,17,340,102,6
14502009001,5,15,1350,405,27
14500000001,6,17,1530,459,27
10000011001,7,103,12360,3708,36
10033043001,8,22,1056,317,15
14020026001,9,5,240,72,15
14112013001,10,19,190,57,3
10002018001,11,14,1344,403,29
14831007001,12,5,960,288,58
14505013001,13,11,990,297,27
14000057001,14,13,130,39,3
14102249001,15,15,150,45,3
14821003001,16,3,432,130,44
10035035001,17,14,2352,706,51
14011003001,18,12,144,43,4
14502011001,19,17,816,245,15
14501010001,20,30,720,216,8
10031013001,21,13,1560,468,36
14840003001,22,6,864,259,44
14840006001,23,4,384,115,29
14611010001,24,19,114,34,2
10034042001,25,8,1536,461,58
10032006001,26,14,2688,806,58
10010002001,27,13,2184,655,51
10000002001,28,171,2052,616,4
14203017001,29,3,120,36,12
14102250001,30,11,110,33,3
14832021001,31,3,360,108,36
10033018001,32,38,1824,547,15
14505016001,33,24,576,173,8
14131033001,34,7,105,32,5
10031001001,35,11,1848,554,51
10032013001,36,10,1200,360,36
10021035001,37,11,352,106,10
10033004001,38,29,1392,418,15
10000998001,39,19,95,28,2
10032016001,40,10,1680,504,51
15020047001,41,13,2808,842,65
10033025001,42,7,1344,403,58
14131047001,43,9,108,32,4
10001006001,44,10,960,288,29
14501012001,45,8,192,58,8
10001009001,46,23,2760,828,36
14500013001,47,52,1248,374,8
14501045001,48,22,528,158,8
14021010001,49,3,108,32,11
14011053001,50,18,432,130,8
14133023001,51,8,96,29,4
10032047001,52,8,1344,403,51
14810006001,53,6,432,130,22
14510039001,54,10,130,39,4
10034019001,55,9,1512,454,51
14011052001,56,44,1056,317,8
14010011001,57,16,96,29,2
10033037001,58,11,1848,554,51
14501063001,59,14,504,151,11
10000005001,60,18,1728,518,29
14112014001,61,10,100,30,3
10000026001,62,7,840,252,36
14100003001,63,6,72,22,4
14501022001,64,5,240,72,15
14502077001,65,31,744,223,8
14121106001,66,4,120,36,9
14133003001,67,9,108,32,4
14131041001,68,11,88,26,3
14000039001,69,3,108,32,11
14505041001,70,6,960,288,48
14000197001,71,10,120,36,4
10030048001,72,13,624,187,15
10002021001,73,14,2016,605,44
14500037001,74,10,60,18,2
14820012001,75,3,288,86,29
14113066001,76,5,80,24,5
14011032001,77,18,108,32,2
14011028001,78,8,96,29,4
14001042001,79,6,72,22,4
14020053001,80,3,96,29,10
14505014001,81,22,528,158,8
10001004001,82,36,432,130,4
10033064001,83,8,960,288,36
10021006001,84,32,1536,461,15
10040039001,85,53,212,64,2
14121014001,86,4,96,29,8
14132015001,87,6,72,22,4
10002006001,88,22,264,79,4
10010035001,89,6,1152,346,58
14130007001,90,9,72,22,3
14121019001,91,7,84,25,4
10002008001,92,21,2520,756,36
14510050001,93,6,78,23,4
14505899001,94,7,840,252,36
10030023001,95,20,100,30,2
10034025001,96,7,1176,353,51
10002019001,97,11,1056,317,29
14503000001,98,6,540,162,27
12201105001,99,3,111,33,11
14501013001,100,32,768,230,8
14011034001,101,7,70,21,3
10040062001,102,33,792,238,8
10002005001,103,6,576,173,29
12220012001,104,40,160,48,2
14103009001,105,7,56,17,3
14003029001,106,5,90,27,6
10020007001,107,10,1200,360,36
14000017001,108,8,56,17,3
10033057001,109,14,672,202,15
14500010001,110,27,648,194,8
10002992001,111,12,60,18,2
10035034001,112,7,1344,403,58
14102258001,113,6,60,18,3
14502026001,114,5,120,36,8
14000196001,115,8,96,29,4
14104002001,116,5,60,18,4
10014090001,117,6,1008,302,51
14820014001,118,2,192,58,29
10033015001,119,10,480,144,15
10030013001,120,5,840,252,51
12201079001,121,67,2680,804,12
14820028001,122,3,432,130,44
10040063001,123,50,2400,720,15
14010034001,124,12,72,22,2
10040004001,125,31,124,37,2
14506087001,126,8,64,19,3
14502041001,127,6,540,162,27
10033041001,128,13,624,187,15
10034003001,129,5,960,288,58
14121020001,130,3,90,27,9
14502004001,131,51,612,184,4
10002001001,132,8,960,288,36
14370004001,133,3,120,36,12
14120012001,134,2,48,14,7
14011031001,135,6,72,22,4
10041067001,136,34,1632,490,15
14615017001,137,7,84,25,4
14820045001,138,2,80,24,12
10033013001,139,13,624,187,15
14805016001,140,5,480,144,29
10000007001,141,6,576,173,29
14132031001,142,4,48,14,4
14500042001,143,9,54,16,2
10034036001,144,5,840,252,51
14833010001,145,2,288,86,43
14110106001,146,13,130,39,3
14831020001,147,2,384,115,58
10040025001,148,26,104,31,2
14010031001,149,10,60,18,2
14505138001,150,7,252,76,11
14104067001,151,5,60,18,4
10031031001,152,6,864,259,44
10021016001,153,14,672,202,15
12201031001,154,54,2214,664,13
11103136001,155,9,108,32,4
14503013001,156,12,432,130,11
14505005001,157,4,360,108,27
14600005001,158,3,144,43,15
14830009001,159,2,288,86,43
10035015001,160,5,480,144,29
14510258001,161,6,78,23,4
14112041001,162,10,50,15,2
10033068001,163,6,1008,302,51
14001017001,164,5,50,15,3
10031033001,165,11,528,158,15
15021001001,166,5,1080,324,65
10030003001,167,8,384,115,15
10002045001,168,10,120,36,4
10040026001,169,18,108,32,2
12220002001,170,9,36,11,2
14001049001,171,8,64,19,3
10033050001,172,10,480,144,15
14200069001,173,4,48,14,4
10034999001,174,4,768,230,58
14502015001,175,8,192,58,8
14020031001,176,4,48,14,4
14500023001,177,8,192,58,8
10011003001,178,2,384,115,58
14001093001,179,6,72,22,4
14011024001,180,4,48,14,4
14850001001,181,70,70,21,1
14204059001,182,2,48,14,7
10034004001,183,4,768,230,58
10021027001,184,9,1080,324,36
14810001001,185,2,144,43,22
