item_id,current_global_qty,max_global_qty,global_inv_level
1331,36,36,1.0
3620,12,12,1.0
103,432,432,1.0
460,30,30,1.0
3867,4,4,1.0
793,18,18,1.0
1189,60,60,1.0
2033,18,18,1.0
257,60,60,1.0
1156,450,450,1.0
3164,96,96,1.0
819,23,23,1.0
327,144,144,1.0
3001,72,72,1.0
2786,60,60,1.0
40,672,672,1.0
1847,120,120,1.0
148,481,481,1.0
2190,12,12,1.0
3011,4,4,1.0
291,25,25,1.0
1067,30,30,1.0
277,39,39,1.0
2850,80,80,1.0
702,72,72,1.0
2107,72,72,1.0
3283,24,24,1.0
267,40,40,1.0
34,672,672,1.0
1752,60,60,1.0
2899,4,4,1.0
2977,240,240,1.0
2148,180,180,1.0
10,480,480,1.0
1807,24,24,1.0
989,24,24,1.0
3541,24,24,1.0
17,1176,1176,1.0
1950,24,24,1.0
3313,24,24,1.0
2035,96,96,1.0
46,624,624,1.0
570,96,96,1.0
192,418,418,1.0
2053,24,24,1.0
96,336,336,1.0
741,132,132,1.0
1238,24,24,1.0
1423,48,48,1.0
1372,30,30,1.0
1071,12,12,1.0
326,48,48,1.0
2499,48,48,1.0
159,1010,1010,1.0
275,32,32,1.0
26,960,960,1.0
92,1160,1160,1.0
362,48,48,1.0
672,192,192,1.0
54,168,168,1.0
2150,72,72,1.0
2755,18,18,1.0
500,72,72,1.0
3159,45,45,1.0
4176,30,30,1.0
3520,30,30,1.0
3210,60,60,1.0
3983,24,24,1.0
1717,6,6,1.0
2515,6,6,1.0
3262,36,36,1.0
1455,6,6,1.0
85,384,384,1.0
3751,72,72,1.0
1669,30,30,1.0
2185,24,24,1.0
302,36,36,1.0
3,3312,3312,1.0
944,18,18,1.0
348,36,36,1.0
101,288,288,1.0
470,96,96,1.0
64,144,144,1.0
33,1008,1008,1.0
255,72,72,1.0
816,48,48,1.0
1010,24,24,1.0
334,48,48,1.0
77,270,270,1.0
771,90,90,1.0
586,48,48,1.0
537,108,108,1.0
491,90,90,1.0
844,36,36,1.0
193,304,304,1.0
1,624,624,1.0
451,192,192,1.0
142,192,192,1.0
1517,216,216,1.0
638,96,96,1.0
1342,24,24,1.0
1852,144,144,1.0
2087,24,24,1.0
2769,6,6,1.0
98,324,324,1.0
254,40,40,1.0
3848,48,48,1.0
1257,14,14,1.0
1754,12,12,1.0
94,768,768,1.0
363,25,25,1.0
1984,12,12,1.0
150,384,384,1.0
2590,72,72,1.0
1732,60,60,1.0
325,96,96,1.0
4207,96,96,1.0
1811,36,36,1.0
2789,48,48,1.0
2968,12,12,1.0
237,50,50,1.0
1204,9,9,1.0
757,48,48,1.0
217,407,407,1.0
519,24,24,1.0
1341,20,20,1.0
4052,72,72,1.0
2166,60,60,1.0
958,24,24,1.0
108,480,480,1.0
454,96,96,1.0
2075,32,32,1.0
1938,48,48,1.0
1114,24,24,1.0
371,23,23,1.0
204,273,273,1.0
402,24,24,1.0
994,16,16,1.0
1872,20,20,1.0
1886,24,24,1.0
3229,96,96,1.0
742,60,60,1.0
229,518,518,1.0
3811,24,24,1.0
1885,60,60,1.0
2167,12,12,1.0
3918,96,96,1.0
440,40,40,1.0
449,30,30,1.0
556,48,48,1.0
1935,10,10,1.0
1468,20,20,1.0
3615,48,48,1.0
2318,4,4,1.0
1560,72,72,1.0
14,540,540,1.0
21,720,720,1.0
2541,12,12,1.0
1338,18,18,1.0
2738,24,24,1.0
2757,20,20,1.0
2561,24,24,1.0
674,192,192,1.0
3404,12,12,1.0
1870,84,84,1.0
502,90,90,1.0
2791,16,16,1.0
770,96,96,1.0
815,30,30,1.0
3575,30,30,1.0
3309,32,32,1.0
1137,26,26,1.0
194,144,144,1.0
4120,144,144,1.0
2827,12,12,1.0
928,12,12,1.0
82,288,288,1.0
405,96,96,1.0
112,820,820,1.0
1220,12,12,1.0
965,24,24,1.0
705,48,48,1.0
157,980,980,1.0
863,18,18,1.0
1770,12,12,1.0
1369,20,20,1.0
205,272,272,1.0
426,36,36,1.0
38,480,480,1.0
332,24,24,1.0
206,288,288,1.0
892,20,20,1.0
8,720,720,1.0
2140,20,20,1.0
2100,48,48,1.0
1325,20,20,1.0
4245,96,96,1.0
411,96,96,1.0
1612,60,60,1.0
3597,90,90,1.0
2848,4,4,1.0
290,70,70,1.0
66,768,768,1.0
176,532,532,1.0
4047,72,72,1.0
2264,72,72,1.0
227,240,240,1.0
788,66,66,1.0
240,40,40,1.0
1955,72,72,1.0
1146,24,24,1.0
1630,36,36,1.0
3007,30,30,1.0
1112,32,32,1.0
2096,24,24,1.0
1207,48,48,1.0
4314,4,4,1.0
316,32,32,1.0
249,50,50,1.0
1828,24,24,1.0
854,24,24,1.0
735,96,96,1.0
4244,48,48,1.0
218,168,168,1.0
857,24,24,1.0
881,36,36,1.0
1016,24,24,1.0
164,156,156,1.0
4233,108,108,1.0
4229,12,12,1.0
4327,132,132,1.0
4077,132,132,1.0
3329,84,84,1.0
3171,30,30,1.0
4133,200,200,1.0
278,60,60,1.0
2828,16,16,1.0
1394,24,24,1.0
3489,96,96,1.0
728,99,99,1.0
4235,96,96,1.0
138,180,180,1.0
3920,12,12,1.0
116,288,288,1.0
877,36,36,1.0
4374,48,48,1.0
2656,9,9,1.0
1682,30,30,1.0
4300,60,60,1.0
2970,12,12,1.0
592,48,48,1.0
4071,48,48,1.0
3387,12,12,1.0
2668,15,15,1.0
3408,6,6,1.0
2600,18,18,1.0
2978,24,24,1.0
271,80,80,1.0
2194,12,12,1.0
701,48,48,1.0
3351,40,40,1.0
4166,96,96,1.0
245,48,48,1.0
1603,48,48,1.0
3304,120,120,1.0
4136,12,12,1.0
1929,84,84,1.0
3332,126,126,1.0
3845,24,24,1.0
3012,84,84,1.0
2887,36,36,1.0
3003,12,12,1.0
372,18,18,1.0
139,504,504,1.0
28,624,624,1.0
4264,60,60,1.0
1389,12,12,1.0
3742,12,12,1.0
736,48,48,1.0
1248,8,8,1.0
3812,36,36,1.0
3860,40,40,1.0
985,24,24,1.0
567,96,96,1.0
675,90,90,1.0
104,288,288,1.0
80,384,384,1.0
374,32,32,1.0
3703,12,12,1.0
75,480,480,1.0
497,360,360,1.0
2784,15,15,1.0
644,96,96,1.0
528,144,144,1.0
3968,24,24,1.0
3807,36,36,1.0
2,180,180,1.0
595,48,48,1.0
419,36,36,1.0
4199,192,192,1.0
823,36,36,1.0
387,40,40,1.0
2709,24,24,1.0
2498,6,6,1.0
3785,72,72,1.0
152,132,132,1.0
920,30,30,1.0
2301,24,24,1.0
2558,30,30,1.0
296,36,36,1.0
247,78,78,1.0
433,84,84,1.0
3915,24,24,1.0
53,480,480,1.0
2662,12,12,1.0
4367,264,264,1.0
696,74,74,1.0
161,144,144,1.0
1896,13,13,1.0
4122,24,24,1.0
3647,10,10,1.0
3683,6,6,1.0
582,32,32,1.0
456,48,48,1.0
494,48,48,1.0
2687,24,24,1.0
3815,60,60,1.0
2196,12,12,1.0
1182,24,24,1.0
773,99,99,1.0
2861,72,72,1.0
9,5640,5640,1.0
765,36,36,1.0
2566,2,2,1.0
1395,20,20,1.0
3032,24,24,1.0
3802,84,84,1.0
251,72,72,1.0
272,96,96,1.0
2532,24,24,1.0
339,39,39,1.0
3728,12,12,1.0
1853,4,4,1.0
117,504,504,1.0
635,72,72,1.0
4117,120,120,1.0
1396,72,72,1.0
1676,192,192,1.0
3991,78,78,1.0
3269,24,24,1.0
295,48,48,1.0
3355,24,24,1.0
1309,216,216,1.0
100,528,528,1.0
2296,36,36,1.0
2113,6,6,1.0
432,20,20,1.0
2429,48,48,1.0
301,36,36,1.0
1190,18,18,1.0
849,24,24,1.0
242,96,96,1.0
1086,12,12,1.0
2912,48,48,1.0
2375,48,48,1.0
407,72,72,1.0
2357,120,120,1.0
942,26,26,1.0
18,336,336,1.0
281,36,36,1.0
1532,24,24,1.0
4138,38,38,1.0
2083,36,36,1.0
2119,24,24,1.0
1283,48,48,1.0
2174,45,45,1.0
1833,16,16,1.0
1755,13,13,1.0
2069,13,13,1.0
2139,96,96,1.0
2459,24,24,1.0
397,192,192,1.0
196,494,494,1.0
1970,40,40,1.0
52,456,456,1.0
3629,24,24,1.0
1625,48,48,1.0
351,24,24,1.0
4298,42,42,1.0
147,380,380,1.0
1109,94,94,1.0
3664,24,24,1.0
2947,12,12,1.0
3033,4,4,1.0
158,864,864,1.0
4277,48,48,1.0
303,56,56,1.0
198,360,360,1.0
448,24,24,1.0
840,24,24,1.0
160,864,864,1.0
1864,4,4,1.0
91,504,504,1.0
11,672,672,1.0
763,60,60,1.0
180,576,576,1.0
796,30,30,1.0
154,192,192,1.0
768,192,192,1.0
13,168,168,1.0
976,24,24,1.0
458,26,26,1.0
270,36,36,1.0
1994,120,120,1.0
1177,24,24,1.0
640,96,96,1.0
780,72,72,1.0
118,240,240,1.0
834,24,24,1.0
3507,40,40,1.0
613,96,96,1.0
3975,30,30,1.0
2048,48,48,1.0
3443,72,72,1.0
2435,48,48,1.0
3948,60,60,1.0
230,96,96,1.0
4032,72,72,1.0
1946,12,12,1.0
1899,12,12,1.0
1205,48,48,1.0
879,40,40,1.0
4159,216,216,1.0
3414,45,45,1.0
