item_id,current_global_qty,max_global_qty,global_inv_level
0,348,348,1.0
1,1200,1200,1.0
2,408,408,1.0
3,1728,1728,1.0
4,340,340,1.0
5,1350,1350,1.0
6,1530,1530,1.0
7,12360,12360,1.0
8,1056,1056,1.0
9,240,240,1.0
10,190,190,1.0
11,1344,1344,1.0
12,960,960,1.0
13,990,990,1.0
14,130,130,1.0
15,150,150,1.0
16,432,432,1.0
17,2352,2352,1.0
18,144,144,1.0
19,816,816,1.0
20,720,720,1.0
21,1560,1560,1.0
22,864,864,1.0
23,384,384,1.0
24,114,114,1.0
25,1536,1536,1.0
26,2688,2688,1.0
27,2184,2184,1.0
28,2052,2052,1.0
29,120,120,1.0
30,110,110,1.0
31,360,360,1.0
32,1824,1824,1.0
33,576,576,1.0
34,105,105,1.0
35,1848,1848,1.0
36,1200,1200,1.0
37,352,352,1.0
38,1392,1392,1.0
39,95,95,1.0
40,1680,1680,1.0
41,2808,2808,1.0
42,1344,1344,1.0
43,108,108,1.0
44,960,960,1.0
45,192,192,1.0
46,2760,2760,1.0
47,1248,1248,1.0
48,528,528,1.0
49,108,108,1.0
50,432,432,1.0
51,96,96,1.0
52,1344,1344,1.0
53,432,432,1.0
54,130,130,1.0
55,1512,1512,1.0
56,1056,1056,1.0
57,96,96,1.0
58,1848,1848,1.0
59,504,504,1.0
60,1728,1728,1.0
61,100,100,1.0
62,840,840,1.0
63,72,72,1.0
64,240,240,1.0
65,744,744,1.0
66,120,120,1.0
67,108,108,1.0
68,88,88,1.0
69,108,108,1.0
70,960,960,1.0
71,120,120,1.0
72,624,624,1.0
73,2016,2016,1.0
74,60,60,1.0
75,288,288,1.0
76,80,80,1.0
77,108,108,1.0
78,96,96,1.0
79,72,72,1.0
80,96,96,1.0
81,528,528,1.0
82,432,432,1.0
83,960,960,1.0
84,1536,1536,1.0
85,212,212,1.0
86,96,96,1.0
87,72,72,1.0
88,264,264,1.0
89,1152,1152,1.0
90,72,72,1.0
91,84,84,1.0
92,2520,2520,1.0
93,78,78,1.0
94,840,840,1.0
95,100,100,1.0
96,1176,1176,1.0
97,1056,1056,1.0
98,540,540,1.0
99,111,111,1.0
100,768,768,1.0
101,70,70,1.0
102,792,792,1.0
103,576,576,1.0
104,160,160,1.0
105,56,56,1.0
106,90,90,1.0
107,1200,1200,1.0
108,56,56,1.0
109,672,672,1.0
110,648,648,1.0
111,60,60,1.0
112,1344,1344,1.0
113,60,60,1.0
114,120,120,1.0
115,96,96,1.0
116,60,60,1.0
117,1008,1008,1.0
118,192,192,1.0
119,480,480,1.0
120,840,840,1.0
121,2680,2680,1.0
122,432,432,1.0
123,2400,2400,1.0
124,72,72,1.0
125,124,124,1.0
126,64,64,1.0
127,540,540,1.0
128,624,624,1.0
129,960,960,1.0
130,90,90,1.0
131,612,612,1.0
132,960,960,1.0
133,120,120,1.0
134,48,48,1.0
135,72,72,1.0
136,1632,1632,1.0
137,84,84,1.0
138,80,80,1.0
139,624,624,1.0
140,480,480,1.0
141,576,576,1.0
142,48,48,1.0
143,54,54,1.0
144,840,840,1.0
145,288,288,1.0
146,130,130,1.0
147,384,384,1.0
148,104,104,1.0
149,60,60,1.0
150,252,252,1.0
151,60,60,1.0
152,864,864,1.0
153,672,672,1.0
154,2214,2214,1.0
155,108,108,1.0
156,432,432,1.0
157,360,360,1.0
158,144,144,1.0
159,288,288,1.0
160,480,480,1.0
161,78,78,1.0
162,50,50,1.0
163,1008,1008,1.0
164,50,50,1.0
165,528,528,1.0
166,1080,1080,1.0
167,384,384,1.0
168,120,120,1.0
169,108,108,1.0
170,36,36,1.0
171,64,64,1.0
172,480,480,1.0
173,48,48,1.0
174,768,768,1.0
175,192,192,1.0
176,48,48,1.0
177,192,192,1.0
178,384,384,1.0
179,72,72,1.0
180,48,48,1.0
181,70,70,1.0
182,48,48,1.0
183,768,768,1.0
184,1080,1080,1.0
185,144,144,1.0
186,120,120,1.0
187,30,30,1.0
188,80,80,1.0
189,1944,1944,1.0
190,1080,1080,1.0
191,576,576,1.0
192,84,84,1.0
193,336,336,1.0
194,504,504,1.0
195,576,576,1.0
196,840,840,1.0
197,288,288,1.0
198,888,888,1.0
199,360,360,1.0
200,144,144,1.0
201,840,840,1.0
202,60,60,1.0
203,480,480,1.0
204,48,48,1.0
205,576,576,1.0
206,672,672,1.0
207,45,45,1.0
208,60,60,1.0
209,45,45,1.0
210,48,48,1.0
211,40,40,1.0
212,576,576,1.0
213,48,48,1.0
214,48,48,1.0
215,192,192,1.0
216,60,60,1.0
217,384,384,1.0
218,144,144,1.0
219,168,168,1.0
220,72,72,1.0
221,630,630,1.0
222,1512,1512,1.0
223,1970,1970,1.0
224,1880,1880,1.0
225,60,60,1.0
226,40,40,1.0
227,36,36,1.0
228,168,168,1.0
229,180,180,1.0
230,432,432,1.0
231,72,72,1.0
232,48,48,1.0
233,60,60,1.0
234,624,624,1.0
235,36,36,1.0
236,3672,3672,1.0
237,192,192,1.0
238,288,288,1.0
239,444,444,1.0
240,192,192,1.0
241,288,288,1.0
242,264,264,1.0
243,440,440,1.0
244,96,96,1.0
245,288,288,1.0
246,270,270,1.0
247,288,288,1.0
248,72,72,1.0
249,48,48,1.0
250,180,180,1.0
251,60,60,1.0
252,240,240,1.0
253,75,75,1.0
254,576,576,1.0
255,48,48,1.0
256,768,768,1.0
257,216,216,1.0
258,576,576,1.0
259,32,32,1.0
260,36,36,1.0
261,24,24,1.0
262,48,48,1.0
263,40,40,1.0
264,1444,1444,1.0
265,36,36,1.0
266,24,24,1.0
267,180,180,1.0
268,576,576,1.0
269,72,72,1.0
270,288,288,1.0
271,144,144,1.0
272,432,432,1.0
273,36,36,1.0
274,72,72,1.0
275,288,288,1.0
276,144,144,1.0
277,36,36,1.0
278,360,360,1.0
279,324,324,1.0
280,144,144,1.0
281,36,36,1.0
282,288,288,1.0
283,540,540,1.0
284,192,192,1.0
285,360,360,1.0
286,720,720,1.0
287,432,432,1.0
288,792,792,1.0
289,24,24,1.0
290,52,52,1.0
291,168,168,1.0
292,40,40,1.0
293,36,36,1.0
294,36,36,1.0
295,950,950,1.0
296,144,144,1.0
297,30,30,1.0
298,760,760,1.0
299,96,96,1.0
300,48,48,1.0
301,288,288,1.0
302,836,836,1.0
303,480,480,1.0
304,240,240,1.0
305,36,36,1.0
306,40,40,1.0
307,180,180,1.0
308,72,72,1.0
309,36,36,1.0
310,36,36,1.0
311,80,80,1.0
312,240,240,1.0
313,36,36,1.0
314,936,936,1.0
315,384,384,1.0
316,48,48,1.0
317,48,48,1.0
318,24,24,1.0
319,608,608,1.0
320,180,180,1.0
321,91,91,1.0
322,20,20,1.0
323,48,48,1.0
324,384,384,1.0
325,216,216,1.0
326,144,144,1.0
327,25,25,1.0
328,48,48,1.0
329,144,144,1.0
330,90,90,1.0
331,648,648,1.0
332,40,40,1.0
333,240,240,1.0
334,288,288,1.0
335,819,819,1.0
336,30,30,1.0
337,66,66,1.0
338,30,30,1.0
339,944,944,1.0
340,24,24,1.0
341,1296,1296,1.0
342,96,96,1.0
343,629,629,1.0
344,192,192,1.0
345,24,24,1.0
346,96,96,1.0
347,36,36,1.0
348,48,48,1.0
349,48,48,1.0
350,65,65,1.0
351,192,192,1.0
352,18,18,1.0
353,240,240,1.0
354,48,48,1.0
355,288,288,1.0
356,48,48,1.0
357,372,372,1.0
358,24,24,1.0
359,24,24,1.0
360,40,40,1.0
361,144,144,1.0
362,192,192,1.0
363,288,288,1.0
364,384,384,1.0
365,48,48,1.0
366,74,74,1.0
367,40,40,1.0
368,120,120,1.0
369,204,204,1.0
370,44,44,1.0
371,336,336,1.0
372,24,24,1.0
373,703,703,1.0
374,336,336,1.0
375,192,192,1.0
376,40,40,1.0
377,96,96,1.0
378,336,336,1.0
379,48,48,1.0
380,36,36,1.0
381,60,60,1.0
382,44,44,1.0
383,39,39,1.0
384,432,432,1.0
385,240,240,1.0
386,24,24,1.0
387,192,192,1.0
388,18,18,1.0
389,168,168,1.0
390,256,256,1.0
391,192,192,1.0
392,24,24,1.0
393,24,24,1.0
394,120,120,1.0
395,222,222,1.0
396,96,96,1.0
397,432,432,1.0
398,144,144,1.0
399,120,120,1.0
400,48,48,1.0
401,12,12,1.0
402,72,72,1.0
403,180,180,1.0
404,48,48,1.0
405,16,16,1.0
406,288,288,1.0
407,96,96,1.0
408,12,12,1.0
409,384,384,1.0
410,240,240,1.0
411,24,24,1.0
412,80,80,1.0
413,32,32,1.0
414,18,18,1.0
415,48,48,1.0
416,96,96,1.0
417,108,108,1.0
418,84,84,1.0
419,80,80,1.0
420,120,120,1.0
421,740,740,1.0
422,24,24,1.0
423,28,28,1.0
424,216,216,1.0
425,144,144,1.0
426,18,18,1.0
427,18,18,1.0
428,72,72,1.0
429,192,192,1.0
430,36,36,1.0
431,36,36,1.0
432,168,168,1.0
433,39,39,1.0
434,20,20,1.0
435,144,144,1.0
436,12,12,1.0
437,384,384,1.0
438,12,12,1.0
439,20,20,1.0
440,360,360,1.0
441,48,48,1.0
442,72,72,1.0
443,24,24,1.0
444,12,12,1.0
445,90,90,1.0
446,30,30,1.0
447,1887,1887,1.0
448,48,48,1.0
449,90,90,1.0
450,72,72,1.0
451,36,36,1.0
452,20,20,1.0
453,24,24,1.0
454,36,36,1.0
455,24,24,1.0
456,90,90,1.0
457,24,24,1.0
458,48,48,1.0
459,192,192,1.0
460,36,36,1.0
461,24,24,1.0
462,42,42,1.0
463,48,48,1.0
464,18,18,1.0
465,120,120,1.0
466,72,72,1.0
467,96,96,1.0
468,144,144,1.0
469,24,24,1.0
470,96,96,1.0
471,24,24,1.0
472,90,90,1.0
473,32,32,1.0
474,205,205,1.0
475,144,144,1.0
476,96,96,1.0
477,168,168,1.0
478,336,336,1.0
479,240,240,1.0
480,144,144,1.0
481,12,12,1.0
482,26,26,1.0
483,96,96,1.0
484,24,24,1.0
485,11,11,1.0
486,144,144,1.0
487,90,90,1.0
488,36,36,1.0
489,240,240,1.0
490,10,10,1.0
491,40,40,1.0
492,240,240,1.0
493,20,20,1.0
494,24,24,1.0
495,40,40,1.0
496,12,12,1.0
497,168,168,1.0
498,32,32,1.0
499,96,96,1.0
500,8,8,1.0
501,144,144,1.0
502,24,24,1.0
503,12,12,1.0
504,18,18,1.0
505,12,12,1.0
506,192,192,1.0
507,12,12,1.0
508,12,12,1.0
509,16,16,1.0
510,96,96,1.0
511,36,36,1.0
512,24,24,1.0
513,16,16,1.0
514,24,24,1.0
515,18,18,1.0
516,20,20,1.0
517,32,32,1.0
518,12,12,1.0
519,48,48,1.0
520,24,24,1.0
521,48,48,1.0
522,185,185,1.0
523,168,168,1.0
524,24,24,1.0
525,16,16,1.0
526,96,96,1.0
527,13,13,1.0
528,36,36,1.0
529,12,12,1.0
530,20,20,1.0
531,108,108,1.0
532,96,96,1.0
533,24,24,1.0
534,120,120,1.0
535,216,216,1.0
536,9,9,1.0
537,48,48,1.0
538,288,288,1.0
539,168,168,1.0
540,96,96,1.0
541,18,18,1.0
542,48,48,1.0
543,12,12,1.0
544,36,36,1.0
545,120,120,1.0
546,40,40,1.0
547,90,90,1.0
548,24,24,1.0
549,48,48,1.0
550,12,12,1.0
551,16,16,1.0
552,36,36,1.0
553,8,8,1.0
